# Таблица построена модулем rtss.data.mortality.synthetic.RSFSR_1940 по данным в АДХ-Россия
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  25980   0.25980 0.74020 87010   3341072 33.41
1       74020   9139    0.12347 0.87653 69451   3254062 43.96
2       64881   3997    0.06160 0.93840 62883   3184612 49.08
3       60884   1941    0.03187 0.96813 59914   3121729 51.27
4       58943   1005    0.01706 0.98294 58441   3061816 51.95
5       57938   691     0.01192 0.98808 57570   3003375 51.84
6       57247   470     0.00820 0.99180 56998   2945805 51.46
7       56777   362     0.00637 0.99363 56588   2888807 50.88
8       56415   266     0.00472 0.99528 56276   2832219 50.20
9       56149   213     0.00379 0.99621 56039   2775943 49.44
10      55936   184     0.00329 0.99671 55842   2719904 48.63
11      55752   170     0.00306 0.99694 55666   2664062 47.78
12      55582   155     0.00279 0.99721 55504   2608396 46.93
13      55427   169     0.00305 0.99695 55344   2552892 46.06
14      55258   183     0.00331 0.99669 55169   2497548 45.20
15      55075   222     0.00403 0.99597 54966   2442379 44.35
16      54853   236     0.00430 0.99570 54736   2387413 43.52
17      54617   245     0.00449 0.99551 54495   2332677 42.71
18      54372   250     0.00460 0.99540 54247   2278182 41.90
19      54122   248     0.00459 0.99541 53998   2223935 41.09
20      53874   247     0.00459 0.99541 53750   2169937 40.28
21      53627   245     0.00456 0.99544 53505   2116187 39.46
22      53382   248     0.00464 0.99536 53258   2062682 38.64
23      53134   253     0.00477 0.99523 53008   2009424 37.82
24      52881   261     0.00494 0.99506 52751   1956416 37.00
25      52620   276     0.00525 0.99475 52483   1903664 36.18
26      52344   285     0.00545 0.99455 52202   1851181 35.37
27      52059   294     0.00565 0.99435 51913   1798979 34.56
28      51765   299     0.00578 0.99422 51616   1747066 33.75
29      51466   302     0.00587 0.99413 51315   1695451 32.94
30      51164   302     0.00591 0.99409 51013   1644136 32.13
31      50862   302     0.00593 0.99407 50712   1593123 31.32
32      50560   318     0.00628 0.99372 50403   1542411 30.51
33      50242   343     0.00683 0.99317 50073   1492008 29.70
34      49899   377     0.00755 0.99245 49714   1441935 28.90
35      49522   430     0.00869 0.99131 49311   1392221 28.11
36      49092   467     0.00952 0.99048 48861   1342910 27.35
37      48625   500     0.01028 0.98972 48378   1294049 26.61
38      48125   527     0.01095 0.98905 47864   1245671 25.88
39      47598   550     0.01156 0.98844 47325   1197808 25.17
40      47048   564     0.01199 0.98801 46768   1150483 24.45
41      46484   588     0.01264 0.98736 46192   1103716 23.74
42      45896   615     0.01340 0.98660 45591   1057524 23.04
