# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

0       100000  3698    0.03698 0.96302 97428   7144914 71.45
1       96302   620     0.00644 0.99356 95894   7047486 73.18
2       95682   263     0.00275 0.99725 95507   6951592 72.65
3       95419   166     0.00174 0.99826 95311   6856085 71.85
4       95253   126     0.00132 0.99868 95171   6760774 70.98
5       95127   114     0.00120 0.99880 95069   6665603 70.07
6       95013   95      0.00100 0.99900 94964   6570534 69.15
7       94918   82      0.00086 0.99914 94876   6475570 68.22
8       94836   74      0.00078 0.99922 94708   6380694 67.28
9       94762   66      0.00070 0.99930 94729   6285896 66.33
10      94696   63      0.00067 0.99933 94664   6191167 65.38
11      94633   62      0.00065 0.99935 94602   6096503 64.42
12      94571   62      0.00066 0.99934 94540   6001901 63.46
13      94509   63      0.00067 0.99933 94477   5907361 62.51
14      94446   67      0.00071 0.99929 94412   5812884 61.55
15      94379   72      0.00076 0.99924 94344   5718472 60.59
16      94307   80      0.00085 0.99915 94268   5624128 59.64
17      94227   87      0.00092 0.99908 94184   5529860 58.69
18      94140   95      0.00101 0.99899 94093   5435676 57.74
19      94045   103     0.00109 0.99891 93994   5341583 56.80
20      93942   107     0.00114 0.99886 93888   5247589 55.86
21      93835   109     0.00116 0.99884 93780   5153701 54.92
22      93726   112     0.00120 0.99880 93670   5059921 53.99
23      93614   115     0.00123 0.99877 93556   4966251 53.05
24      93499   119     0.00127 0.99873 93439   4872695 52.11
25      93380   122     0.00131 0.99869 93319   4779256 51.18
26      93258   126     0.00135 0.99865 93195   4685937 50.25
27      93132   129     0.00139 0.99861 93067   4592742 49.31
28      93003   134     0.00144 0.99856 92936   4499675 48.38
29      92869   138     0.00149 0.99851 92800   4406739 47.45
30      92731   144     0.00155 0.99845 92660   4313939 46.52
31      92587   150     0.00162 0.99838 92512   4221279 45.59
32      92437   154     0.00167 0.99833 92360   4128767 44.67
33      92283   159     0.00172 0.99828 92204   4036407 43.74
34      92124   170     0.00184 0.99816 92040   3944203 42.81
35      91954   186     0.00202 0.99798 91862   3852163 41.89
36      91768   200     0.00218 0.99782 91669   3760301 40.98
37      91568   209     0.00228 0.99772 91464   3668632 40.06
38      91359   216     0.00236 0.99764 91252   3577168 39.16
39      91143   222     0.00244 0.99756 91033   3485916 38.25
40      90921   235     0.00258 0.99742 90804   3394883 37.34
41      90686   249     0.00276 0.99724 90562   3304079 36.43
42      90437   268     0.00295 0.99705 90304   3213517 35.53
43      90169   285     0.00316 0.99684 90028   3123213 34.64
44      89884   304     0.00338 0.99662 89733   3033185 33.75
45      89580   318     0.00355 0.99645 89422   2943452 32.86
46      89262   332     0.00372 0.99628 89097   2854030 31.97
47      88930   350     0.00394 0.99606 88757   2764933 31.09
48      88580   371     0.00419 0.99581 88396   2676176 30.21
49      88209   394     0.00447 0.99553 88014   2587780 29.34
50      87815   420     0.00478 0.99522 87607   2499766 28.47
51      87395   448     0.00513 0.99487 87174   2412159 27.60
52      86947   481     0.00553 0.99447 86709   2324985 26.74
53      86466   516     0.00597 0.99403 86211   2238276 25.89
54      85950   556     0.00647 0.99353 85676   2152065 25.04
55      85394   601     0.00704 0.99296 85097   2066389 24.20
56      84793   650     0.00766 0.99234 84472   1981292 23.37
57      84143   703     0.00835 0.99165 83796   1896820 22.54
58      83440   760     0.00911 0.99089 83065   1813024 21.73
59      82680   823     0.00996 0.99004 82273   1729959 20.92
60      81857   890     0.01087 0.98913 81418   1647686 20.13
61      80967   959     0.01184 0.98816 80493   1566268 19.34
62      80008   1038    0.01297 0.98703 79496   1485775 18.57
63      78970   1126    0.01426 0.98574 78415   1406279 17.81
64      77844   1224    0.01572 0.98428 77241   1327864 17.06
65      76620   1340    0.01749 0.98251 75960   1250623 16.32
66      75280   1472    0.01956 0.98044 74555   1174663 15.60
67      73808   1605    0.02175 0.97825 73016   1100108 14.90
68      72203   1742    0.02413 0.97587 71343   1027092 14.23
69      70461   1877    0.02664 0.97336 69534   955749  13.56
70      68584   2020    0.02945 0.97055 67586   886215  12.92
71      66564   2168    0.03257 0.96743 65492   818629  12.30
72      64396   2312    0.03591 0.96409 63252   753137  11.70
73      62084   2460    0.03963 0.96037 60867   689885  11.11
74      59624   2618    0.04391 0.95609 58327   629018  10.55
75      57006   2753    0.04830 0.95170 55640   570691  10.01
76      54253   2885    0.05318 0.94682 52821   515051  9.49
77      51368   3013    0.05865 0.94135 49871   462230  9.00
78      48355   3131    0.06475 0.93525 46798   412359  8.53
79      45224   3227    0.07136 0.92864 43617   365561  8.08
80      41997   3291    0.07837 0.92163 40355   321944  7.67
81      38706   3317    0.08570 0.91430 37047   281589  7.28
82      35389   3301    0.09327 0.90673 33735   244542  6.91
83      32088   3241    0.10099 0.89901 30460   210807  6.57
84      28847   3139    0.10882 0.89118 27267   180347  6.25
85      25708   2999    0.11667 0.88333 24195   153080  5.95
86      22709   2832    0.12469 0.87531 21278   128885  5.68
87      19877   2642    0.13291 0.86709 18539   107607  5.41
88      17235   2432    0.14108 0.85892 16001   89068   5.17
89      14803   2214    0.14954 0.85046 13678   73067   4.94
90      12589   1992    0.15822 0.84178 11574   59389   4.72
91      10597   1769    0.16695 0.83305 9694    47815   4.51
92      8828    1552    0.17575 0.82425 8034    38121   4.32
93      7276    1344    0.18465 0.81535 6587    30087   4.14
94      5932    1149    0.19365 0.80635 5341    23500   3.96
95      4783    969     0.20254 0.79746 4284    18159   3.80
96      3814    807     0.21150 0.78850 3397    13875   3.64
97      3007    664     0.22076 0.77924 2664    10478   3.48
98      2343    541     0.23070 0.76930 2062    7814    3.34
99      1802    435     0.24125 0.75875 1576    5752    3.19
100     1367    345     0.25213 0.74787 1187    4176    3.05

