# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

0       100000  4484    0.04484 0.95516 96828   6299387 62.99
1       95516   655     0.00686 0.99314 95084   6202559 64.94
2       94861   275     0.00290 0.99710 94677   6107475 64.38
3       94586   184     0.00195 0.99805 94468   6012798 63.57
4       94402   152     0.00161 0.99839 94304   5918330 62.69
5       94250   136     0.00144 0.99856 94181   5824026 61.79
6       94114   128     0.00136 0.99864 94049   5729845 60.88
7       93986   122     0.00130 0.99870 93924   5635796 59.96
8       93864   115     0.00122 0.99878 93806   5541872 59.04
9       93749   105     0.00112 0.99888 93696   5448066 58.11
10      93644   98      0.00105 0.99895 93594   5354370 57.18
11      93546   92      0.00098 0.99902 93500   5260776 56.24
12      93454   92      0.00098 0.99902 93408   5167276 55.29
13      93362   93      0.00100 0.99900 93315   5073868 54.35
14      93269   102     0.00109 0.99891 93219   4980553 53.40
15      93167   116     0.00124 0.99876 93111   4887334 52.46
16      93051   138     0.00148 0.99852 92984   4794223 51.52
17      92913   156     0.00168 0.99832 92836   4701239 50.60
18      92757   173     0.00187 0.99813 92672   4608403 49.68
19      92584   189     0.00204 0.99796 92491   4515731 48.77
20      92395   200     0.00216 0.99784 92296   4423240 47.87
21      92195   207     0.00225 0.99775 92092   4330944 46.98
22      91988   216     0.00235 0.99765 91881   4238852 46.08
23      91772   235     0.00256 0.99744 91656   4146971 45.19
24      91537   255     0.00279 0.99721 91410   4055315 44.30
25      91282   268     0.00294 0.99706 91149   3963905 43.42
26      91014   273     0.00300 0.99700 90879   3872756 42.55
27      90741   280     0.00309 0.99691 90602   3781877 41.68
28      90461   289     0.00320 0.99680 90317   3691275 40.81
29      90172   301     0.00334 0.99666 90022   3600958 39.93
30      89871   312     0.00347 0.99653 89716   3510936 39.07
31      89559   324     0.00362 0.99638 89398   3421220 38.20
32      89235   334     0.00374 0.99626 89069   3331822 37.34
