# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

0       100000  4289    0.04289 0.95711 96832   6302701 63.03
1       95711   481     0.00503 0.99497 95401   6205869 64.84
2       95230   186     0.00195 0.99805 95114   6110468 64.17
3       95044   135     0.00142 0.99858 94964   6015354 63.29
4       94909   116     0.00122 0.99878 94840   5920390 62.38
5       94793   110     0.00116 0.99884 94738   5825550 61.46
6       94683   108     0.00114 0.99886 94629   5730812 60.53
7       94575   107     0.00113 0.99887 94522   5636183 59.59
8       94468   103     0.00109 0.99891 94417   5541661 58.66
9       94365   97      0.00103 0.99897 94316   5447244 57.73
10      94268   91      0.00097 0.99903 94222   5352928 56.78
11      94177   85      0.00090 0.99910 94135   5258706 55.84
12      94092   85      0.00090 0.99910 94050   5164571 54.89
13      94007   86      0.00092 0.99908 93964   5070521 53.94
14      93921   93      0.00099 0.99901 93876   4976557 52.99
15      93828   105     0.00112 0.99888 93777   4882681 52.04
16      93723   125     0.00133 0.99867 93663   4788904 51.10
17      93598   142     0.00152 0.99848 93529   4695241 50.16
18      93456   161     0.00172 0.99828 93378   4601712 49.24
19      93295   179     0.00192 0.99808 93207   4508334 48.32
20      93116   193     0.00207 0.99793 93021   4415127 47.42
21      92923   197     0.00212 0.99788 92825   4322106 46.51
22      92726   204     0.00220 0.99780 92625   4229281 45.61
23      92522   227     0.00245 0.99755 92411   4136656 44.71
24      92295   246     0.00267 0.99733 92173   4044245 43.82
25      92049   258     0.00280 0.99720 91921   3952072 42.93
26      91791   259     0.00282 0.99718 91662   3860151 42.05
27      91532   264     0.00288 0.99712 91400   3768489 41.17
28      91268   271     0.00297 0.99703 91134   3677089 40.29
29      90997   283     0.00311 0.99689 90857   3585955 39.41
30      90714   293     0.00323 0.99677 90569   3495098 38.53
31      90421   307     0.00340 0.99660 90269   3404529 37.65
32      90114   316     0.00351 0.99649 89957   3314260 36.78
33      89798   335     0.00373 0.99627 89633   3224303 35.91
34      89463   359     0.00401 0.99599 89286   3134670 35.04
35      89104   387     0.00434 0.99566 88913   3045384 34.18
36      88717   418     0.00471 0.99529 88511   2956471 33.32
37      88299   449     0.00508 0.99492 88077   2867960 32.48
38      87850   470     0.00535 0.99465 87617   2779883 31.64
39      87380   485     0.00555 0.99445 87139   2692266 30.81
40      86895   503     0.00579 0.99421 86646   2605127 29.98
41      86392   524     0.00606 0.99394 86132   2518481 29.15
42      85868   550     0.00640 0.99360 85595   2432349 28.33
43      85318   583     0.00683 0.99317 85030   2346754 27.51
44      84735   620     0.00732 0.99268 84428   2261724 26.69
45      84115   655     0.00779 0.99221 83790   2177296 25.88
46      83460   673     0.00806 0.99194 83126   2093506 25.08
47      82787   714     0.00863 0.99137 82434   2010380 24.28
48      82073   767     0.00935 0.99065 81695   1927946 23.49
