# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  4019    0.04019 0.95981 97189   6812830 68.13
                1       95981   624     0.00650 0.99350 95564   6715641 69.97
                2       95357   243     0.00255 0.99745 95201   6620077 69.42
                3       95114   157     0.00165 0.99835 95018   6524876 68.60
                4       94957   116     0.00122 0.99878 94886   6429858 67.71
                                                                        
                5       94841   102     0.00108 0.99892 94789   6334972 66.80
                6       94739   95      0.00100 0.99900 94692   6240183 65.87
                7       94644   92      0.00097 0.99903 94598   6145491 64.93
                8       94552   86      0.00091 0.99909 94508   6050893 64.00
                9       94466   77      0.00081 0.99919 94426   5956385 63.05
                                                                        
                10      94389   69      0.00073 0.99927 94355   5861959 62.10
                11      94320   65      0.00069 0.99931 94287   5767604 61.15
                12      94255   65      0.00069 0.99931 94223   5673317 60.19
                13      94190   70      0.00074 0.99926 94155   5579094 59.23
                14      94120   72      0.00077 0.99923 94084   5484939 58.28
                                                                        
                15      94048   76      0.00081 0.99919 94011   5390855 57.32
                16      93972   85      0.00090 0.99910 93931   5296844 56.37
                17      93887   100     0.00107 0.99893 93838   5202913 55.42
                18      93787   117     0.00125 0.99875 93729   5109075 54.48
                19      93670   131     0.00140 0.99860 93606   5015346 53.54
                                                                        
                20      93539   141     0.00151 0.99849 93469   4921740 52.62
                21      93398   148     0.00159 0.99841 93325   4828271 51.70
                22      93250   159     0.00170 0.99830 93172   4734946 50.78
                23      93091   165     0.00177 0.99823 93008   4641774 49.86
                24      92926   169     0.00182 0.99818 92842   4548766 48.95
                                                                        
                25      92757   173     0.00187 0.99813 92670   4455924 48.04
                26      92584   179     0.00193 0.99807 92496   4363254 47.13
                27      92405   188     0.00204 0.99796 92312   4270758 46.22
                28      92217   197     0.00214 0.99786 92119   4178446 45.31
                29      92020   203     0.00221 0.99779 91920   4086327 44.41
                                                                        
                30      91817   210     0.00229 0.99771 91713   3994407 43.50
                31      91607   216     0.00236 0.99764 91499   3902694 42.60
                32      91391   222     0.00243 0.99757 91280   3811195 41.70
                33      91169   228     0.00250 0.99750 91056   3719915 40.80
                34      90941   235     0.00258 0.99742 90824   3628859 39.90
                                                                        
                35      90706   243     0.00268 0.99732 90586   3538035 39.01
                36      90463   252     0.00279 0.99721 90338   3447449 38.11
                37      90211   265     0.00294 0.99706 90080   3357111 37.21
                38      89946   281     0.00312 0.99688 89806   3267031 36.32
                39      89665   298     0.00332 0.99668 89518   3177225 35.43
                                                                        
                40      89367   318     0.00356 0.99644 89210   3087707 34.55
                41      89049   338     0.00380 0.99620 88882   2998497 33.67
                42      88711   357     0.00402 0.99598 88535   2909615 32.80
                43      88354   375     0.00424 0.99576 88168   2821080 31.93
