# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  3735    0.03735 0.96265 97589   7176268 71.76
                1       96265   925     0.00961 0.99039 95631   7078679 73.53
                2       95340   429     0.00450 0.99550 95033   6983048 73.24
                3       94911   247     0.00260 0.99740 94738   6888015 72.57
                4       94664   169     0.00178 0.99822 94553   6793277 71.76
                                                                        
                5       94495   132     0.00140 0.99860 94427   6698724 70.89
                6       94363   119     0.00126 0.99874 94303   6604297 69.99
                7       94244   106     0.00112 0.99888 94190   6509994 69.08
                8       94138   90      0.00096 0.99904 94092   6415804 68.15
                9       94048   82      0.00087 0.99913 94006   6321712 67.22
                                                                        
                10      93966   76      0.00081 0.99919 93928   6227706 66.28
                11      93890   72      0.00077 0.99923 93854   6133778 65.33
                12      93818   73      0.00078 0.99922 93781   6039924 64.38
                13      93745   74      0.00079 0.99921 93708   5946143 63.43
                14      93671   78      0.00083 0.99917 93632   5852435 62.48
                                                                        
                15      93593   83      0.00089 0.99911 93553   5758803 61.53
                16      93510   91      0.00097 0.99903 93465   5665250 60.58
                17      93419   106     0.00113 0.99887 93367   5571785 59.64
                18      93313   118     0.00126 0.99874 93255   5478418 58.71
                19      93195   129     0.00138 0.99862 93132   5385163 57.78
                                                                        
                20      93066   134     0.00144 0.99856 92999   5292031 56.86
                21      92932   139     0.00150 0.99850 92862   5199032 55.94
                22      92793   142     0.00153 0.99847 92722   5106170 55.03
                23      92651   144     0.00155 0.99845 92579   5013448 54.11
                24      92507   144     0.00156 0.99844 92435   4920869 53.19
                                                                        
                25      92363   145     0.00157 0.99843 92291   4828434 52.28
                26      92218   147     0.00159 0.99841 92144   4736143 51.36
                27      92071   152     0.00165 0.99835 91995   4643999 50.44
                28      91919   159     0.00173 0.99827 91840   4552004 49.52
                29      91760   162     0.00176 0.99824 91679   4460164 48.61
                                                                        
                30      91598   166     0.00181 0.99819 91515   4368485 47.69
                31      91432   170     0.00186 0.99814 91347   4276970 46.78
                32      91262   174     0.00191 0.99809 91175   4185623 45.86
                33      91088   179     0.00197 0.99803 90998   4094448 44.95
                34      90909   186     0.00205 0.99795 90817   4003450 44.04
                                                                        
                35      90723   194     0.00214 0.99786 90627   3912633 43.13
                36      90529   204     0.00225 0.99775 90428   3822006 42.22
                37      90325   213     0.00236 0.99764 90220   3731578 41.31
                38      90112   224     0.00249 0.99751 90001   3641358 40.41
                39      89888   235     0.00261 0.99739 89771   3551357 39.51
                                                                        
                40      89653   244     0.00272 0.99728 89532   3461586 38.61
                41      89409   252     0.00282 0.99718 89284   3372054 37.71
                42      89157   262     0.00294 0.99706 89027   3282770 36.82
                43      88895   273     0.00307 0.99693 88760   3193743 35.93
                44      88622   281     0.00317 0.99683 88482   3104983 35.04
                                                                        
                45      88341   290     0.00328 0.99672 88197   3016501 34.15
                46      88051   299     0.00339 0.99661 87903   2928304 33.26
                47      87752   316     0.00360 0.99640 87596   2840401 32.37
                48      87436   339     0.00388 0.99612 87268   2752805 31.48
                49      87097   366     0.00420 0.99580 86916   2665537 30.60
                                                                        
                50      86731   392     0.00452 0.99548 86537   2578621 29.73
                51      86339   416     0.00482 0.99518 86133   2492084 28.86
                52      85923   441     0.00513 0.99487 85705   2405951 28.00
                53      85482   469     0.00549 0.99451 85249   2320246 27.14
                54      85013   499     0.00587 0.99413 84767   2234997 26.29
                                                                        
                55      84514   533     0.00631 0.99369 84250   2150230 25.44
                56      83981   570     0.00679 0.99321 83699   2065980 24.60
                57      83411   610     0.00731 0.99269 83109   1982281 23.77
                58      82801   653     0.00789 0.99211 82479   1899172 22.94
                59      82148   702     0.00855 0.99145 81801   1816693 22.11
                                                                        
                60      81446   754     0.00926 0.99074 81073   1734892 21.30
                61      80692   810     0.01004 0.98996 80292   1653819 20.50
                62      79882   876     0.01097 0.98903 79450   1573527 19.70
                63      79006   953     0.01206 0.98794 78536   1494077 18.91
                64      78053   1039    0.01331 0.98669 77542   1415541 18.14
                                                                        
                65      77014   1144    0.01486 0.98514 76452   1337999 17.37
                66      75870   1268    0.01671 0.98329 75246   1261547 16.63
                67      74602   1394    0.01868 0.98132 73916   1186301 15.90
                68      73208   1523    0.02080 0.97920 72457   1112385 15.19
                69      71685   1656    0.02310 0.97690 70868   1039928 14.51
                                                                        
                70      70029   1798    0.02567 0.97433 69142   969060  13.84
                71      68231   1948    0.02855 0.97145 67270   899918  13.19
                72      66283   2104    0.03174 0.96826 65244   832648  12.56
                73      64179   2259    0.03520 0.96480 63063   767404  11.96
                74      61920   2416    0.03901 0.96099 60724   704341  11.37
                                                                        
                75      59504   2556    0.04296 0.95704 58237   643617  10.82
                76      56948   2683    0.04712 0.95288 55617   585380  10.28
                77      54265   2815    0.05188 0.94812 52868   529763  9.76
                78      51450   2949    0.05732 0.94268 49986   476895  9.27
                79      48501   3076    0.06343 0.93657 46972   426909  8.80
                                                                        
                80      45425   3175    0.06989 0.93011 43844   379937  8.36
                81      42250   3228    0.07641 0.92359 40639   336093  7.95
                82      39022   3242    0.08309 0.91691 37401   295454  7.57
                83      35780   3226    0.09016 0.90984 34164   258053  7.21
                84      32554   3179    0.09765 0.90235 30958   223889  6.88
                                                                        
                85      29375   3084    0.10500 0.89500 27823   192931  6.57
                86      26291   2944    0.11196 0.88804 24806   165108  6.28
                87      23347   2775    0.11885 0.88115 21945   140302  6.01
                88      20572   2583    0.12557 0.87443 19264   118357  5.75
                89      17989   2392    0.13298 0.86702 16777   99093   5.51
                                                                        
                90      15597   2191    0.14047 0.85953 14485   82316   5.28
                91      13406   1985    0.14808 0.85192 12396   67831   5.06
                92      11421   1779    0.15577 0.84423 10515   55435   4.85
                93      9642    1577    0.16359 0.83641 8837    44920   4.66
                94      8065    1383    0.17149 0.82851 7358    36083   4.47
                                                                        
                95      6682    1199    0.17950 0.82050 6067    28725   4.30
                96      5483    1029    0.18762 0.81238 4955    22658   4.13
