# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  3677    0.03677 0.96323 97558   7167859 71.68
                1       96323   797     0.00827 0.99173 95782   7070301 73.40
                2       95526   355     0.00372 0.99628 95280   6974519 73.01
                3       95171   207     0.00217 0.99783 95031   6879239 72.28
                4       94964   141     0.00149 0.99851 94873   6784208 71.44
                                                                        
                5       94823   111     0.00117 0.99883 94766   6689335 70.55
                6       94712   102     0.00108 0.99892 94660   6594569 69.63
                7       94610   91      0.00096 0.99904 94563   6499909 68.70
                8       94519   78      0.00083 0.99917 94479   6405346 67.77
                9       94441   71      0.00075 0.99925 94406   6310867 66.82
                                                                        
                10      94370   66      0.00070 0.99930 94337   6216461 65.87
                11      94304   62      0.00066 0.99934 94273   6122124 64.92
                12      94242   63      0.00067 0.99933 94210   6027851 63.96
                13      94179   66      0.00070 0.99930 94146   5933641 63.00
                14      94113   69      0.00073 0.99927 94079   5839495 62.05
                                                                        
                15      94044   72      0.00077 0.99923 94008   5745416 61.09
                16      93972   78      0.00083 0.99917 93934   5651408 60.14
                17      93894   89      0.00095 0.99905 93850   5557474 59.19
                18      93805   98      0.00104 0.99896 93757   5463624 58.24
                19      93707   106     0.00113 0.99887 93654   5369867 57.30
                                                                        
                20      93601   110     0.00117 0.99883 93546   5276213 56.37
                21      93491   115     0.00123 0.99877 93434   5182667 55.43
                22      93376   119     0.00127 0.99873 93316   5089233 54.50
                23      93257   121     0.00130 0.99870 93197   4995917 53.57
                24      93136   123     0.00132 0.99868 93074   4902720 52.64
                                                                        
                25      93013   126     0.00135 0.99865 92950   4809646 51.71
                26      92887   128     0.00138 0.99862 92823   4716696 50.78
                27      92759   135     0.00145 0.99855 92693   4623873 49.85
                28      92624   141     0.00152 0.99848 92553   4531180 48.92
                29      92483   143     0.00155 0.99845 92412   4438627 47.99
                                                                        
                30      92340   148     0.00160 0.99840 92266   4346215 47.07
                31      92192   152     0.00165 0.99835 92116   4253949 46.14
                32      92040   157     0.00171 0.99829 91961   4161833 45.22
                33      91883   163     0.00177 0.99823 91803   4069872 44.29
                34      91720   170     0.00185 0.99815 91636   3978069 43.37
                                                                        
                35      91550   179     0.00195 0.99805 91461   3886433 42.45
                36      91371   187     0.00205 0.99795 91279   3794972 41.53
                37      91184   198     0.00217 0.99783 91086   3703693 40.62
                38      90986   210     0.00231 0.99769 90882   3612607 39.70
                39      90776   222     0.00245 0.99755 90666   3521725 38.80
                                                                        
                40      90554   235     0.00259 0.99741 90437   3431059 37.89
                41      90319   247     0.00273 0.99727 90197   3340622 36.99
                42      90072   259     0.00287 0.99713 89943   3250425 36.09
                43      89813   273     0.00304 0.99696 89678   3160482 35.19
                44      89540   284     0.00317 0.99683 89399   3070804 34.30
                                                                        
                45      89256   293     0.00328 0.99672 89110   2981405 33.40
                46      88963   306     0.00344 0.99656 88811   2892295 32.51
                47      88657   328     0.00370 0.99630 88495   2803484 31.62
                48      88329   356     0.00403 0.99597 88153   2714989 30.74
                49      87973   386     0.00439 0.99561 87782   2626836 29.86
                                                                        
                50      87587   415     0.00474 0.99526 87382   2539054 28.99
                51      87172   443     0.00508 0.99492 86952   2451672 28.12
                52      86729   472     0.00544 0.99456 86496   2364720 27.27
                53      86257   505     0.00586 0.99414 86008   2278224 26.41
                54      85752   542     0.00632 0.99368 85484   2192216 25.56
                                                                        
                55      85210   582     0.00683 0.99317 84922   2106732 24.72
                56      84628   625     0.00739 0.99261 84319   2021810 23.89
                57      84003   673     0.00801 0.99199 83671   1937491 23.06
                58      83330   724     0.00869 0.99131 82972   1853820 22.25
                59      82606   781     0.00946 0.99054 82220   1770848 21.44
                                                                        
                60      81825   841     0.01028 0.98972 81410   1688628 20.64
                61      80984   906     0.01119 0.98881 80537   1607218 19.85
                62      80078   980     0.01224 0.98776 79595   1526681 19.06
                63      79098   1065    0.01346 0.98654 78572   1447086 18.29
                64      78033   1158    0.01484 0.98516 77462   1368514 17.54
                                                                        
                65      76875   1269    0.01651 0.98349 76251   1291052 16.79
                66      75606   1396    0.01847 0.98153 74919   1214801 16.07
                67      74210   1525    0.02055 0.97945 73458   1139882 15.36
                68      72685   1657    0.02279 0.97721 71868   1066424 14.67
                69      71028   1792    0.02523 0.97477 70144   994556  14.00
                                                                        
                70      69236   1934    0.02793 0.97207 68281   924412  13.35
                71      67302   2082    0.03094 0.96906 66273   856131  12.72
                72      65220   2234    0.03425 0.96575 64116   789858  12.11
                73      62986   2383    0.03784 0.96216 61806   725742  11.52
                74      60603   2533    0.04179 0.95821 59349   663936  10.96
                                                                        
                75      58070   2668    0.04594 0.95406 56747   604587  10.41
                76      55402   2792    0.05039 0.94961 54017   547840  9.89
