# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  3592    0.03592 0.96408 97515   7141781 71.42
                1       96408   609     0.00632 0.99368 96004   7044266 73.07
                2       95799   244     0.00255 0.99745 95643   6948262 72.53
                3       95555   147     0.00154 0.99846 95465   6852619 71.71
                4       95408   106     0.00111 0.99889 95342   6757154 70.82
                                                                        
                5       95302   83      0.00087 0.99913 95260   6661812 69.90
                6       95219   79      0.00083 0.99917 95179   6566552 68.96
                7       95140   71      0.00075 0.99925 95104   6471373 68.02
                8       95069   64      0.00067 0.99933 95036   6376269 67.07
                9       95005   56      0.00059 0.99941 94977   6281233 66.11
                                                                        
                10      94949   52      0.00055 0.99945 94923   6186256 65.15
                11      94897   51      0.00054 0.99946 94871   6091333 64.19
                12      94846   52      0.00055 0.99945 94820   5996462 63.22
                13      94794   54      0.00057 0.99943 94767   5901642 62.26
                14      94740   57      0.00060 0.99940 94712   5806875 61.29
                                                                        
                15      94683   61      0.00064 0.99936 94652   5712163 60.33
                16      94622   64      0.00068 0.99932 94590   5617511 59.37
                17      94558   71      0.00075 0.99925 94524   5522921 58.41
                18      94487   78      0.00083 0.99917 94449   5428397 57.45
                19      94409   85      0.00090 0.99910 94367   5333948 56.50
                                                                        
                20      94324   91      0.00096 0.99904 94279   5239581 55.55
                21      94233   94      0.00100 0.99900 94186   5145302 54.60
                22      94139   98      0.00104 0.99896 94090   5051116 53.66
                23      94041   101     0.00107 0.99893 93991   4957026 52.71
                24      93940   104     0.00111 0.99889 93888   4863035 51.77
                                                                        
                25      93836   108     0.00115 0.99885 93782   4769147 50.82
                26      93728   112     0.00120 0.99880 93672   4675365 49.88
                27      93616   118     0.00126 0.99874 93557   4581693 48.94
                28      93498   123     0.00132 0.99868 93437   4488136 48.00
                29      93375   126     0.00135 0.99865 93312   4394699 47.06
                                                                        
                30      93249   131     0.00141 0.99859 93183   4301387 46.13
                31      93118   137     0.00147 0.99853 93050   4208204 45.19
                32      92981   142     0.00153 0.99847 92910   4115154 44.26
                33      92839   149     0.00160 0.99840 92765   4022244 43.32
                34      92690   156     0.00168 0.99832 92613   3929479 42.39
                                                                        
                35      92534   164     0.00177 0.99823 92453   3836866 41.46
                36      92370   174     0.00188 0.99812 92284   3744413 40.54
                37      92196   184     0.00200 0.99800 92105   3652129 39.61
                38      92012   197     0.00214 0.99786 91914   3560024 38.69
                39      91815   211     0.00230 0.99770 91711   3468110 37.77
                                                                        
                40      91604   225     0.00246 0.99754 91492   3376399 36.86
                41      91379   241     0.00264 0.99736 91260   3284907 35.95
                42      91138   257     0.00282 0.99718 91010   3193647 35.04
                43      90881   274     0.00301 0.99699 90745   3102637 34.14
                44      90607   287     0.00317 0.99683 90465   3011892 33.24
                                                                        
                45      90320   297     0.00329 0.99671 90172   2921427 32.35
                46      90023   314     0.00349 0.99651 89868   2831255 31.45
                47      89709   341     0.00380 0.99620 89541   2741387 30.56
                48      89368   374     0.00418 0.99582 89184   2651846 29.67
                49      88994   408     0.00459 0.99541 88793   2562662 28.80
                                                                        
                50      88586   440     0.00497 0.99503 88369   2473869 27.93
                51      88146   472     0.00535 0.99465 87913   2385500 27.06
                52      87,674  508     0.00579 0.99421 87423   2297587 26.21
                53      87166   547     0.00628 0.99372 86895   2210164 25.36
                54      86619   592     0.00683 0.99317 86327   2123269 24.51
                                                                        
                55      86027   641     0.00745 0.99255 85711   2036942 23.68
                56      85386   694     0.00813 0.99187 85044   1951231 22.85
                57      84692   752     0.00888 0.99112 84321   1866187 22.03
                58      83940   815     0.00971 0.99029 83537   1781866 21.23
                59      83125   884     0.01064 0.98936 82689   1698329 20.43
                                                                        
                60      82241   957     0.01164 0.98836 81769   1615640 19.65
                61      81284   1035    0.01273 0.98727 80773   1533871 18.87
                62      80249   1121    0.01397 0.98603 79697   1453098 18.11
                63      79128   1217    0.01538 0.98462 78527   1373401 17.36
                64      77911   1322    0.01697 0.98303 77259   1294874 16.62
                                                                        
                65      76589   1442    0.01883 0.98117 75879   1217615 15.90
                66      75147   1576    0.02097 0.97903 74370   1141736 15.19
                67      73571   1711    0.02326 0.97674 72727   1067366 14.51
                68      71860   1849    0.02573 0.97427 70947   994639  13.84
                69      70011   1988    0.02839 0.97161 69029   923692  13.19
                                                                        
                70      68023   2138    0.03143 0.96857 66966   854663  12.56
                71      65885   2284    0.03466 0.96534 64755   787697  11.96
                72      63601   2428    0.03818 0.96182 62399   722942  11.37
                73      61173   2571    0.04202 0.95798 59900   660543  10.80
                74      58602   2706    0.04618 0.95382 57260   600643  10.25
                                                                        
                75      55896   2835    0.05072 0.94928 54489   543383  9.72
                76      53061   2960    0.05578 0.94422 51591   488894  9.21
                77      50,101  3086    0.06159 0.93841 48568   437303  8.73
                78      47015   3211    0.06829 0.93171 45420   388735  8.27
                79      43804   3315    0.07568 0.92432 42153   343315  7.84
                                                                        
                80      40489   3374    0.08333 0.91667 38805   301162  7.44
                81      37115   3376    0.09095 0.90905 35425   262357  7.07
                82      33739   3326    0.09857 0.90143 32070   226932  6.73
                83      30413   3236    0.10639 0.89361 28786   194862  6.41
                84      27177   3108    0.11437 0.88563 25611   166076  6.11
                                                                        
                85      24069   2944    0.12231 0.87769 22582   140465  5.84
                86      21125   2747    0.13004 0.86996 19735   117883  5.58
                87      18378   2524    0.13734 0.86266 17098   98148   5.34
                88      15854   2304    0.14535 0.85465 14683   81050   5.11
                89      13550   2078    0.15338 0.84662 12492   66367   4.90
                                                                        
                90      11472   1853    0.16149 0.83851 10526   53875   4.70
                91      9619    1632    0.16965 0.83035 8785    43349   4.51
                92      7987    1421    0.17789 0.82211 7260    34564   4.33
                93      6566    1223    0.18620 0.81380 5938    27304   4.16
                94      5343    1040    0.19457 0.80543 4808    21366   4.00
                                                                        
                95      4303    874     0.20300 0.79700 3853    16558   3.85
                96      3429    725     0.21148 0.78852 3055    12705   3.71
                97      2704    595     0.22003 0.77997 2396    9650    3.57
                98      2109    482     0.22863 0.77137 1859    7254    3.44
                99      1627    386     0.23731 0.76269 1427    5395    3.32
                100     1241    305     0.24602 0.75398 1083    3968    3.20
