# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  4424    0.04424 0.95576 97001   6441895 64.42
                1       95576   814     0.00852 0.99148 95017   6344894 66.39
                2       94762   353     0.00372 0.99628 94515   6249877 65.95
                3       94409   218     0.00231 0.99769 94264   6155362 65.20
                4       94191   162     0.00172 0.99828 94084   6061098 64.35
                                                                        
                5       94029   134     0.00143 0.99857 93961   5967014 63.46
                6       93895   130     0.00138 0.99862 93830   5873053 62.55
                7       93765   123     0.00131 0.99869 93703   5779223 61.64
                8       93642   113     0.00121 0.99879 93584   5685520 60.72
                9       93529   104     0.00111 0.99889 93476   5591936 59.79
                                                                        
                10      93425   96      0.00103 0.99897 93376   5498460 58.85
                11      93329   90      0.00096 0.99904 93284   5405084 57.91
                12      93239   89      0.00095 0.99905 93195   5311800 56.97
                13      93150   89      0.00096 0.99904 93105   5218605 56.02
                14      93061   95      0.00102 0.99898 93015   5125500 55.08
                                                                        
                15      92966   105     0.00113 0.99887 92914   5032485 54.13
                16      92861   123     0.00132 0.99868 92802   4939571 53.19
                17      92738   146     0.00157 0.99843 92667   4846769 52.26
                18      92592   167     0.00180 0.99820 92509   4754102 51.34
                19      92425   181     0.00196 0.99804 92336   4661593 50.44
                                                                        
                20      92244   189     0.00205 0.99795 92150   4569257 49.53
                21      92055   200     0.00217 0.99783 91956   4477107 48.64
                22      91855   214     0.00233 0.99767 91749   4385151 47.74
                23      91641   228     0.00249 0.99751 91528   4293402 46.85
                24      91413   243     0.00266 0.99734 91293   4201874 45.97
                                                                        
                25      91170   249     0.00273 0.99727 91045   4110581 45.09
                26      90921   255     0.00280 0.99720 90795   4019536 44.21
                27      90666   262     0.00289 0.99711 90536   3928741 43.33
                28      90404   274     0.00303 0.99697 90268   3838205 42.46
                29      90130   285     0.00316 0.99684 89988   3747937 41.58
                                                                        
                30      89845   295     0.00328 0.99672 89699   3657949 40.71
