# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  4424    0.04424 0.95576 96880   6368712 63.69
                1       95576   637     0.00666 0.99334 95148   6271832 65.62
                2       94939   243     0.00256 0.99744 94782   6176684 65.06
                3       94696   166     0.00175 0.99825 94595   6081902 64.23
                4       94530   126     0.00133 0.99867 94454   5987307 63.34
                                                                        
                5       94404   112     0.00119 0.99881 94347   5892853 62.42
                6       94292   111     0.00118 0.99882 94237   5798506 61.50
                7       94181   108     0.00115 0.99885 94127   5704269 60.57
                8       94073   103     0.00110 0.99890 94021   5610142 59.64
                9       93970   97      0.00103 0.99897 93921   5516121 58.70
                                                                        
                10      93873   87      0.00093 0.99907 93828   5422200 57.76
                11      93786   83      0.00089 0.99911 93745   5328372 56.81
                12      93703   79      0.00084 0.99916 93663   5234627 55.86
                13      93624   84      0.00090 0.99910 93582   5140964 54.91
                14      93540   89      0.00095 0.99905 93497   5047382 53.96
                                                                        
                15      93451   98      0.00105 0.99895 93403   4953885 53.01
                16      93353   111     0.00119 0.99881 93298   4860482 52.07
                17      93242   133     0.00143 0.99857 93178   4767184 51.13
                18      93109   161     0.00173 0.99827 93030   4674006 50.20
                19      92948   177     0.00190 0.99810 92861   4580976 49.29
                                                                        
                20      92771   193     0.00208 0.99792 92675   4488115 48.38
                21      92578   206     0.00222 0.99778 92476   4395440 47.48
                22      92372   219     0.00237 0.99763 92264   4302964 46.58
                23      92153   227     0.00246 0.99754 92040   4210700 45.69
                24      91926   234     0.00255 0.99745 91809   4118660 44.80
                                                                        
                25      91692   239     0.00261 0.99739 91574   4026851 43.92
                26      91453   248     0.00271 0.99729 91330   3935277 43.03
                27      91205   259     0.00284 0.99716 91076   3843947 42.15
                28      90946   272     0.00299 0.99701 90811   3752871 41.26
                29      90674   283     0.00312 0.99688 90534   3662060 40.39
                                                                        
                30      90391   292     0.00323 0.99677 90246   3571526 39.51
                31      90099   302     0.00335 0.99665 89949   3481280 38.64
                32      89797   313     0.00349 0.99651 89641   3391331 37.77
                33      89484   326     0.00364 0.99636 89322   3301690 36.90
                34      89158   341     0.00382 0.99618 88989   3212368 36.03
                                                                        
                35      88817   356     0.00401 0.99599 88640   3123379 35.17
                36      88461   372     0.00420 0.99580 88276   3034739 34.31
                37      88089   388     0.00440 0.99560 87896   2946463 33.45
                38      87701   405     0.00462 0.99538 87499   2858567 32.59
                39      87296   424     0.00486 0.99514 87086   2771068 31.74
                                                                        
                40      86872   452     0.00520 0.99480 86648   2683982 30.90
                41      86420   477     0.00552 0.99448 86184   2597334 30.05
                42      85943   498     0.00579 0.99421 85696   2511150 29.22
                43      85445   520     0.00608 0.99392 85187   2425454 28.39
                44      84925   540     0.00636 0.99364 84657   2340267 27.56
                                                                        
                45      84385   568     0.00673 0.99327 84104   2255610 26.73
                46      83817   605     0.00722 0.99278 83518   2171506 25.91
                47      83212   657     0.00789 0.99211 82889   2087988 25.09
                48      82555   718     0.00870 0.99130 82201   2005099 24.29
                49      81837   781     0.00954 0.99046 81451   1922898 23.50
                                                                        
                50      81056   841     0.01038 0.98962 80641   1841447 22.72
                51      80215   900     0.01122 0.98878 79770   1760806 21.95
                52      79315   972     0.01225 0.98775 78835   1681036 21.19
                53      78343   1051    0.01342 0.98658 77824   1602201 20.45
                54      77292   1140    0.01475 0.98525 76730   1524377 19.72
                                                                        
                55      76152   1233    0.01619 0.98381 75544   1447647 19.01
                56      74919   1328    0.01772 0.98228 74263   1372103 18.31
                57      73591   1425    0.01936 0.98064 72886   1297840 17.64
                58      72166   1526    0.02115 0.97885 71412   1224954 16.97
                59      70640   1630    0.02307 0.97693 69833   1153542 16.33
                                                                        
                60      69010   1729    0.02506 0.97494 68154   1083709 15.70
                61      67281   1820    0.02705 0.97295 66378   1015555 15.09
                62      65461   1905    0.02910 0.97090 64515   949177  14.50
                63      63556   1985    0.03124 0.96876 62571   884662  13.92
                64      61571   2062    0.03349 0.96651 60546   822091  13.35
                                                                        
                65      59509   2140    0.03596 0.96404 58446   761545  12.80
                66      57369   2221    0.03871 0.96129 56265   703099  12.26
                67      55148   2298    0.04167 0.95833 54005   646834  11.73
                68      52850   2369    0.04482 0.95518 51672   592829  11.22
                69      50481   2432    0.04818 0.95182 49270   541157  10.72
                                                                        
                70      48049   2493    0.05188 0.94812 46807   491887  10.24
                71      45556   2541    0.05577 0.94423 44290   445080  9.77
                72      43015   2578    0.05993 0.94007 41729   400790  9.32
                73      40437   2605    0.06443 0.93557 39136   359061  8.88
                74      37832   2619    0.06923 0.93077 36523   319925  8.46
                                                                        
                75      35213   2616    0.07430 0.92570 33904   283402  8.05
                76      32597   2600    0.07976 0.92024 31295   249498  7.65
                77      29997   2575    0.08583 0.91417 28707   218203  7.27
                78      27422   2542    0.09270 0.90730 26148   189496  6.91
                79      24880   2495    0.10029 0.89971 23628   163348  6.57
                                                                        
                80      22385   2425    0.10832 0.89168 21165   139720  6.24
                81      19960   2325    0.11649 0.88351 18789   118555  5.94
                82      17635   2200    0.12475 0.87525 16524   99766   5.66
                83      15435   2055    0.13314 0.86686 14394   83242   5.39
                84      13380   1898    0.14182 0.85818 12418   68848   5.15
                                                                        
                85      11482   1733    0.15092 0.84908 10602   56430   4.91
                86      9749    1561    0.16012 0.83988 8953    45828   4.70
                87      8188    1383    0.16891 0.83109 7481    36875   4.50
                88      6805    1199    0.17625 0.82375 6192    29394   4.32
                89      5606    1038    0.18518 0.81482 5074    23202   4.14
                                                                        
                90      4568    887     0.19421 0.80579 4112    18128   3.97
                91      3681    749     0.20336 0.79664 3296    14016   3.81
                92      2932    623     0.21259 0.78741 2610    10720   3.66
                93      2309    512     0.22192 0.77808 2044    8110    3.51
                94      1797    416     0.23137 0.76863 1582    6066    3.38
                                                                        
                95      1381    333     0.24090 0.75910 1209    4484    3.25
                96      1048    263     0.25052 0.74948 911     3275    3.12
                97      785     204     0.26022 0.73978 679     2364    3.01
                98      581     157     0.27004 0.72996 499     1685    2.90
                99      424     119     0.27992 0.72008 361     1186    2.80
                100     305     88      0.28992 0.71008 259     825     2.70
