# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  16407   0.16407 0.83593 89037   4607669 46.08
                1       83593   5403    0.06463 0.93537 80513   4518632 54.06
                2       78190   1877    0.02401 0.97599 77067   4438119 56.76
                3       76313   1009    0.01322 0.98678 75764   4361052 57.15
                4       75304   797     0.01059 0.98941 74889   4285288 56.91
                                                                        
                5       74507   597     0.00801 0.99199 74194   4210399 56.51
                6       73910   460     0.00622 0.99378 73670   4136205 55.96
                7       73450   365     0.00497 0.99503 73262   4062535 55.31
                8       73085   305     0.00417 0.99583 72927   3989273 54.58
                9       72780   237     0.00326 0.99674 72657   3916346 53.81
                                                                        
                10      72543   192     0.00265 0.99735 72444   3843689 52.98
                11      72351   169     0.00233 0.99767 72265   3771245 52.12
                12      72182   165     0.00229 0.99771 72100   3698980 51.25
                13      72017   181     0.00251 0.99749 71927   3626880 50.36
                14      71836   198     0.00276 0.99724 71738   3554953 49.49
                                                                        
                15      71638   216     0.00302 0.99698 71532   3483215 48.62
                16      71422   239     0.00334 0.99666 71304   3411683 47.77
                17      71183   263     0.00370 0.99630 71054   3340379 46.93
                18      70920   292     0.00412 0.99588 70776   3269325 46.10
                19      70628   318     0.00450 0.99550 70471   3198549 45.29
                                                                        
                20      70310   338     0.00481 0.99519 70142   3128078 44.49
                21      69972   353     0.00505 0.99495 69797   3057936 43.70
                22      69619   363     0.00522 0.99478 69439   2988139 42.92
                23      69256   373     0.00538 0.99462 69071   2918700 42.14
                24      68883   381     0.00553 0.99447 68694   2849629 41.37
                                                                        
                25      68502   395     0.00576 0.99424 68305   2780935 40.60
                26      68107   403     0.00592 0.99408 67906   2712630 39.83
                27      67704   405     0.00598 0.99402 67502   2644724 39.06
                28      67299   406     0.00604 0.99396 67096   2577222 38.30
                29      66893   413     0.00617 0.99383 66687   2510126 37.52
                                                                        
                30      66480   422     0.00635 0.99365 66270   2443439 36.75
                31      66058   433     0.00655 0.99345 65843   2377169 35.99
                32      65625   444     0.00677 0.99323 65404   2311326 35.22
                33      65181   456     0.00700 0.99300 64954   2245922 34.46
                34      64725   467     0.00722 0.99278 64493   2180968 33.70
                                                                        
                35      64258   480     0.00747 0.99253 64019   2116475 32.94
                36      63778   493     0.00773 0.99227 63533   2052456 32.18
                37      63285   509     0.00804 0.99196 63031   1988923 31.43
                38      62776   525     0.00836 0.99164 62516   1925892 30.68
                39      62251   547     0.00878 0.99122 61980   1863376 29.93
                                                                        
                40      61704   573     0.00929 0.99071 61420   1801396 29.19
                41      61131   598     0.00979 0.99021 60834   1739976 28.46
                42      60533   623     0.01029 0.98971 60224   1679142 27.74
                43      59910   651     0.01087 0.98913 59587   1618918 27.02
                44      59259   676     0.01140 0.98860 58923   1559331 26.31
                                                                        
                45      58583   698     0.01192 0.98808 58236   1500408 25.61
                46      57885   720     0.01244 0.98756 57527   1442172 24.91
                47      57165   747     0.01307 0.98693 56794   1384645 24.22
                48      56418   769     0.01363 0.98637 56036   1327851 23.54
                49      55649   798     0.01434 0.98566 55253   1271815 22.85
                                                                        
                50      54851   835     0.01522 0.98478 54437   1216562 22.18
                51      54016   878     0.01626 0.98374 53580   1162125 21.51
                52      53138   916     0.01723 0.98277 52683   1108545 20.86
                53      52222   961     0.01840 0.98160 51745   1055862 20.22
                54      51261   996     0.01943 0.98057 50766   1004117 19.59
                                                                        
                55      50265   1026    0.02042 0.97958 49754   953351  18.97
                56      49239   1051    0.02135 0.97865 48716   903597  18.35
                57      48188   1084    0.02249 0.97751 47648   854881  17.74
                58      47104   1110    0.02357 0.97643 46551   807233  17.14
                59      45994   1144    0.02487 0.97513 45425   760682  16.54
                                                                        
                60      44850   1181    0.02633 0.97367 44264   715257  15.95
                61      43669   1231    0.02820 0.97180 43058   670993  15.37
                62      42438   1270    0.02992 0.97008 41806   627935  14.80
                63      41168   1310    0.03182 0.96818 40516   586129  14.24
                64      39858   1346    0.03376 0.96624 39188   545613  13.69
                                                                        
                65      38512   1380    0.03584 0.96416 37825   506425  13.15
                66      37132   1417    0.03816 0.96184 36427   468600  12.62
                67      35715   1456    0.04077 0.95923 34990   432173  12.10
                68      34259   1491    0.04353 0.95647 33517   397183  11.59
                69      32768   1534    0.04680 0.95320 32005   363666  11.10
                                                                        
                70      31234   1577    0.05050 0.94950 30449   331661  10.62
                71      29657   1618    0.05457 0.94543 28851   301212  10.16
                72      28039   1649    0.05882 0.94118 27218   272361  9.71
                73      26390   1680    0.06367 0.93633 25551   245143  9.29
                74      24710   1679    0.06793 0.93207 23870   219592  8.89
                                                                        
                75      23031   1664    0.07226 0.92774 22197   195722  8.50
                76      21367   1638    0.07664 0.92336 20546   173525  8.12
                77      19729   1612    0.08169 0.91831 18920   152979  7.75
                78      18117   1575    0.08694 0.91306 17327   134059  7.40
                79      16542   1544    0.09331 0.90669 15767   116732  7.06
                                                                        
                80      14998   1492    0.09948 0.90052 14248   100965  6.73
                81      13506   1446    0.10706 0.89294 12778   86717   6.42
                82      12060   1375    0.11405 0.88595 11366   73939   6.13
                83      10685   1295    0.12124 0.87876 10031   62573   5.86
                84      9390    1203    0.12807 0.87193 8780    52542   5.60
                                                                        
                85      8187    1104    0.13483 0.86517 7627    43762   5.35
                86      7083    1005    0.14182 0.85818 6573    36135   5.10
                87      6078    906     0.14909 0.85091 5617    29562   4.86
                88      5172    811     0.15681 0.84319 4759    23945   4.63
                89      4361    724     0.16613 0.83387 3992    19186   4.40
                                                                        
                90      3637    635     0.17455 0.82545 3313    15194   4.18
                91      3002    555     0.18498 0.81502 2719    11881   3.96
                92      2447    480     0.19634 0.80366 2201    9162    3.74
                93      1967    410     0.20840 0.79160 1756    6961    3.54
                94      1557    345     0.22127 0.77873 1380    5205    3.34
                                                                        
                95      1212    285     0.23492 0.76508 1065    3825    3.16
                96      927     231     0.24938 0.75062 807     2760    2.98
                97      696     184     0.26465 0.73535 600     1953    2.81
                98      512     144     0.28074 0.71926 437     1353    2.64
                99      368     109     0.29767 0.70233 311     916     2.49
                100     259     82      0.31544 0.68456 216     605     2.34
