# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  15232   0.15232 0.84768 89961   4942497 49.42
                1       84768   5212    0.06149 0.93851 81802   4852536 57.24
                2       79556   1846    0.02321 0.97679 78459   4770734 59.97
                3       77710   1025    0.01319 0.98681 77152   4692275 60.38
                4       76685   776     0.01012 0.98988 76278   4615123 60.18
                                                                        
                5       75909   599     0.00789 0.99211 75595   4538845 59.79
                6       75310   451     0.00599 0.99401 75075   4463250 59.27
                7       74859   349     0.00466 0.99534 74678   4388175 58.62
                8       74510   288     0.00386 0.99614 74361   4313497 57.89
                9       74222   220     0.00296 0.99704 74107   4239136 57.11
                                                                        
                10      74002   175     0.00237 0.99763 73912   4165029 56.28
                11      73827   154     0.00208 0.99792 73749   4091117 55.41
                12      73673   153     0.00207 0.99793 73597   4017368 54.53
                13      73520   171     0.00233 0.99767 73435   3943771 53.64
                14      73349   184     0.00251 0.99749 73257   3870336 52.77
                                                                        
                15      73165   198     0.00270 0.99730 73067   3797079 51.90
                16      72967   212     0.00290 0.99710 72863   3724012 51.04
                17      72755   232     0.00319 0.99681 72642   3651149 50.18
                18      72523   258     0.00356 0.99644 72396   3578507 49.34
                19      72265   281     0.00389 0.99611 72126   3506111 48.52
                                                                        
                20      71984   299     0.00415 0.99585 71835   3433985 47.70
                21      71685   313     0.00436 0.99564 71529   3362150 46.90
                22      71372   328     0.00459 0.99541 71209   3290621 46.11
                23      71044   344     0.00484 0.99516 70873   3220412 45.33
                24      70700   356     0.00504 0.99496 70523   3149539 44.55
                                                                        
                25      70344   363     0.00516 0.99484 70162   3079016 43.77
                26      69981   366     0.00523 0.99477 69798   3008854 43.00
                27      69615   369     0.00530 0.99470 69431   2939056 42.22
                28      69246   372     0.00537 0.99463 69060   2869625 41.44
                29      68874   375     0.00545 0.99455 68687   2800565 40.66
                                                                        
                30      68499   381     0.00556 0.99444 68310   2731878 39.88
                31      68118   388     0.00570 0.99430 67925   2663568 39.10
                32      67730   396     0.00584 0.99416 67533   2595643 38.32
                33      67334   403     0.00598 0.99402 67134   2528110 37.55
                34      66931   410     0.00612 0.99388 66727   2460976 36.77
                                                                        
                35      66521   416     0.00626 0.99374 66313   2394249 35.99
                36      66105   423     0.00640 0.99360 65894   2327936 35.22
                37      65682   431     0.00656 0.99344 65468   2262042 34.44
                38      65251   438     0.00672 0.99328 65033   2196574 33.66
                39      64813   448     0.00691 0.99309 64589   2131541 32.89
                                                                        
                40      64365   460     0.00714 0.99286 64135   2066952 32.11
                41      63905   474     0.00741 0.99259 63669   2002817 31.34
                42      63431   488     0.00770 0.99230 63189   1939148 30.57
                43      62943   507     0.00805 0.99195 62691   1875959 29.80
                44      62436   521     0.00834 0.99166 62177   1813268 29.04
                                                                        
                45      61915   528     0.00852 0.99148 61652   1751091 28.28
                46      61387   532     0.00867 0.99133 61123   1689439 27.52
                47      60855   540     0.00887 0.99113 60587   1628316 26.76
                48      60315   548     0.00909 0.99091 60043   1567729 25.99
                49      59767   567     0.00948 0.99052 59486   1507686 25.23
                                                                        
                50      59200   600     0.01014 0.98986 58903   1448200 24.46
                51      58600   643     0.01098 0.98902 58282   1389297 23.71
                52      57,957  687     0.01186 0.98814 57617   1331015 22.97
                53      57270   735     0.01283 0.98717 56907   1273398 22.23
                54      56535   776     0.01372 0.98628 56151   1216491 21.52
                                                                        
                55      55759   806     0.01445 0.98555 55358   1160340 20.81
                56      54953   830     0.01511 0.98489 54540   1104982 20.11
                57      54123   860     0.01589 0.98411 53697   1050442 19.41
                58      53263   893     0.01677 0.98323 52820   996745  18.71
                59      52370   934     0.01784 0.98216 51907   943925  18.02
                                                                        
                60      51436   986     0.01917 0.98083 50949   892018  17.34
                61      50450   1066    0.02112 0.97888 49923   841069  16.67
                62      49384   1128    0.02284 0.97716 48825   791146  16.02
                63      48256   1185    0.02455 0.97545 47669   742321  15.38
                64      47071   1242    0.02639 0.97361 46455   694652  14.76
                                                                        
                65      45829   1299    0.02835 0.97165 45184   648197  14.14
                66      44530   1359    0.03052 0.96948 43856   603013  13.54
                67      43171   1423    0.03297 0.96703 42466   559157  12.95
                68      41748   1495    0.03581 0.96419 41006   516691  12.38
                69      40253   1573    0.03909 0.96091 39473   475685  11.82
                                                                        
                70      38680   1655    0.04279 0.95721 37859   436212  11.28
                71      37025   1735    0.04685 0.95315 36163   398353  10.76
                72      35290   1804    0.05112 0.94888 34393   362190  10.26
                73      33486   1856    0.05542 0.94458 32562   327797  9.79
                74      31630   1888    0.05968 0.94032 30688   295235  9.33
                                                                        
                75      29742   1901    0.06393 0.93607 28792   264547  8.89
                76      27841   1903    0.06834 0.93166 26889   235755  8.47
                77      25,938  1909    0.07359 0.92641 24983   208866  8.05
                78      24029   1907    0.07935 0.92065 23075   183883  7.65
                79      22122   1903    0.08601 0.91399 21170   160808  7.27
                                                                        
                80      20219   1884    0.09320 0.90680 19276   139638  6.91
                81      18335   1860    0.10147 0.89853 17402   120362  6.56
                82      16475   1800    0.10923 0.89077 15570   102960  6.25
                83      14675   1712    0.11669 0.88331 13812   87390   5.96
                84      12963   1607    0.12393 0.87607 12151   73578   5.68
                                                                        
                85      11356   1489    0.13111 0.86889 10602   61427   5.41
                86      9867    1365    0.13835 0.86165 9175    50825   5.15
                87      8502    1240    0.14580 0.85420 7872    41650   4.90
                88      7262    1117    0.15377 0.84623 6693    33778   4.65
                89      6145    998     0.16245 0.83755 5636    27085   4.41
                                                                        
                90      5147    886     0.17213 0.82787 4695    21449   4.17
                91      4261    780     0.18306 0.81694 3861    16754   3.93
                92      3481    679     0.19493 0.80507 3133    12893   3.70
                93      2802    581     0.20720 0.79280 2503    9760    3.48
                94      2221    490     0.22049 0.77951 1769    7257    3.27
                                                                        
                95      1731    406     0.23443 0.76557 1521    5488    3.17
                96      1325    330     0.24902 0.75098 1154    3967    2.99
                97      995     263     0.26423 0.73577 859     2813    2.83
                98      732     205     0.28006 0.71994 626     1954    2.67
                99      527     156     0.29649 0.70351 446     1328    2.52
                100     371     116     0.31351 0.68649 311     882     2.38
