# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  15162   0.15162 0.84838 90920   4968689 49.69
                1       84838   6285    0.07408 0.92592 80395   4877769 57.50
                2       78553   2463    0.03136 0.96864 76838   4797374 61.07
                3       76090   1269    0.01668 0.98332 75224   4720536 62.04
                4       74821   772     0.01032 0.98968 74286   4645312 62.09
                                                                        
                5       74049   604     0.00816 0.99184 73734   4571026 61.73
                6       73445   470     0.00640 0.99360 73200   4497292 61.23
                7       72975   366     0.00501 0.99499 72784   4424092 60.62
                8       72609   287     0.00395 0.99605 72460   4351308 59.93
                9       72322   231     0.00319 0.99681 72203   4278848 59.16
                                                                        
                10      72091   193     0.00268 0.99732 71993   4206645 58.35
                11      71898   172     0.00239 0.99761 71811   4134652 57.51
                12      71726   164     0.00229 0.99771 71644   4062841 56.64
                13      71562   167     0.00234 0.99766 71480   3991197 55.77
                14      71395   178     0.00250 0.99750 71307   3919717 54.90
                                                                        
                15      71217   194     0.00273 0.99727 71122   3848410 54.04
                16      71023   214     0.00301 0.99699 70918   3777288 53.18
                17      70809   232     0.00328 0.99672 70694   3706370 52.34
                18      70577   249     0.00353 0.99647 70454   3635676 51.51
                19      70328   261     0.00371 0.99629 70199   3565222 50.69
                                                                        
                20      70067   269     0.00384 0.99616 69934   3495023 49.88
                21      69798   276     0.00395 0.99605 69661   3425089 49.07
                22      69522   282     0.00405 0.99595 69381   3355428 48.26
                23      69240   286     0.00413 0.99587 69097   3286047 47.46
                24      68954   289     0.00419 0.99581 68810   3216950 46.65
                                                                        
                25      68665   293     0.00427 0.99573 68519   3148140 45.85
                26      68372   296     0.00433 0.99567 68224   3079621 45.04
                27      68076   299     0.00439 0.99561 67927   3011397 44.24
                28      67777   302     0.00445 0.99555 67626   2943470 43.43
                29      67475   306     0.00453 0.99547 67322   2875844 42.62
                                                                        
                30      67169   312     0.00464 0.99536 67014   2808522 41.81
                31      66857   318     0.00476 0.99524 66699   2741508 41.01
                32      66539   327     0.00491 0.99509 66377   2674809 40.20
                33      66212   336     0.00507 0.99493 66045   2608432 39.40
                34      65876   345     0.00524 0.99476 65705   2542387 38.59
                                                                        
                35      65531   354     0.00540 0.99460 65355   2476682 37.79
                36      65177   362     0.00555 0.99445 64997   2411327 37.00
                37      64815   369     0.00570 0.99430 64632   2346330 36.20
                38      64446   377     0.00585 0.99415 64259   2281698 35.40
                39      64069   385     0.00601 0.99399 63878   2217439 34.61
                                                                        
                40      63684   391     0.00614 0.99386 63489   2153561 33.82
                41      63293   395     0.00624 0.99376 63096   2090072 33.02
                42      62898   400     0.00636 0.99364 62698   2026976 32.23
                43      62498   406     0.00650 0.99350 62296   1964278 31.43
                44      62092   412     0.00664 0.99336 61887   1901982 30.63
                                                                        
                45      61680   423     0.00686 0.99314 61470   1840095 29.83
                46      61257   439     0.00716 0.99284 61039   1778625 29.04
                47      60818   456     0.00749 0.99251 60591   1717586 28.24
                48      60362   474     0.00785 0.99215 60127   1656995 27.45
                49      59888   493     0.00823 0.99177 59644   1596868 26.66
                                                                        
