# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  18607   0.18607 0.81393 89131   4123622 41.24
                1       81393   7949    0.09766 0.90234 75971   4034491 49.57
                2       73444   2475    0.03370 0.96630 71868   3958520 53.90
                3       70969   1130    0.01592 0.98408 70267   3886652 54.77
                4       69839   652     0.00934 0.99066 69435   3816385 54.65
                                                                        
                5       69187   489     0.00707 0.99293 68932   3746950 54.16
                6       68698   381     0.00554 0.99446 68501   3678018 53.54
                7       68317   319     0.00467 0.99533 68153   3609517 52.83
                8       67998   273     0.00402 0.99598 67859   3541364 52.08
                9       67725   236     0.00348 0.99652 67604   3473505 51.29
                                                                        
                10      67489   207     0.00306 0.99694 67384   3405901 50.47
                11      67282   183     0.00272 0.99728 67190   3338517 49.62
                12      67099   172     0.00256 0.99744 67012   3271327 48.75
                13      66927   169     0.00253 0.99747 66843   3204316 47.88
                14      66758   167     0.00250 0.99750 66675   3137472 47.00
                                                                        
                15      66591   173     0.00260 0.99740 66506   3070797 46.11
                16      66418   191     0.00288 0.99712 66325   3004291 45.23
                17      66227   220     0.00332 0.99668 66120   2937966 44.36
                18      66007   255     0.00386 0.99614 65883   2871846 43.51
                19      65752   281     0.00427 0.99573 65614   2805963 42.67
                                                                        
                20      65471   299     0.00456 0.99544 65323   2740349 41.86
                21      65172   311     0.00477 0.99523 65018   2675026 41.05
                22      64861   318     0.00491 0.99509 64702   2610008 40.24
                23      64543   322     0.00499 0.99501 64382   2545306 39.44
                24      64221   324     0.00505 0.99495 64059   2480924 38.63
                                                                        
                25      63897   326     0.00510 0.99490 63734   2416865 37.82
                26      63571   328     0.00516 0.99484 63407   2353131 37.02
                27      63243   332     0.00525 0.99475 63077   2289724 36.21
                28      62911   339     0.00539 0.99461 62743   2226647 35.39
                29      62572   351     0.00561 0.99439 62398   2163904 34.58
                                                                        
