YEAR,RATE
1893,1.52
1894,1.79
1895,1.23
1896,1.50
1897,1.50
1898,1.49
1899,1.50
1900,1.09
1901,1.09
1902,1.09
1903,1.09
1904,1.08
1905,1.09
1906,1.09
1907,1.09
1908,1.09
1909,1.08
1910,-0.51
1911,-0.50
1912,-0.51
1913,-0.51
1914,-0.50
1915,-0.51
1916,-0.51
1917,-2.41
1918,0.27
1919,-0.25
1920,0.39
1921,1.19
1922,1.67
1923,1.67
1924,1.67
1925,1.67
1926,1.68
1927,1.68
1928,1.69
1929,1.71
1930,1.73
1931,1.74
1932,1.74
1933,1.74
1934,1.75
1935,1.75
1936,1.76
1937,1.75
1938,1.77
1939,2.18
1940,2.43
1941,2.43
1942,2.55
1943,2.53
1944,2.63
1945,2.29
1946,3.09
1947,2.83
1948,2.83
1949,4.34
1950,4.16
1951,2.94
1952,2.97
1953,3.01
1954,3.05
1955,3.08
1956,3.11
1957,3.13
1958,3.17
1959,2.97
1960,3.27
1961,3.32
1962,3.34
1963,3.36
1964,4.48
1965,3.43
1966,3.42
1967,3.43
1968,3.42
1969,3.91
1970,3.52
1971,3.33
1972,3.32
1973,3.31
1974,3.28
1975,3.11
1976,3.02
1977,2.94
1978,2.75
1979,2.77
1980,2.43
1981,2.35
1982,1.58
1983,2.11
1984,2.05
1985,1.98
1986,1.94
1987,1.86
1988,1.84
1989,2.00
1990,1.88
1991,1.87
1992,1.86
1993,1.63
1994,1.61
1995,1.70
1996,1.65
1997,1.61
1998,1.57
1999,1.53
2000,1.42
2001,1.39
2002,1.36
2003,1.34
2004,1.05
2005,1.41
2006,1.39
2007,1.37
2008,1.35
2009,1.40
2010,1.43
2011,1.38
2012,1.31
2013,1.25
2014,1.18
2015,1.13
2016,1.08
2017,1.00
2018,0.93
2019,0.84
2020,0.74
2021,1.33
2022,1.31
