# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  12977   0.12977 0.87023 93512   5494798 54.95
1       87023   3445    0.03958 0.96042 85301   5401287 62.07
2       83578   1253    0.01499 0.98501 82952   5315986 63.61
3       82325   605     0.00735 0.99265 82023   5233035 63.57
4       81720   373     0.00457 0.99543 81534   5151012 63.03
5       81347   277     0.00341 0.99659 81203   5069479 62.32
6       81070   231     0.00285 0.99715 80952   4988276 61.53
7       80839   205     0.00253 0.99747 80735   4907325 60.70
8       80634   187     0.00231 0.99769 80539   4826590 59.86
9       80447   172     0.00214 0.99786 80360   4746051 59.00
10      80275   159     0.00198 0.99802 80195   4665691 58.12
11      80116   151     0.00188 0.99812 80040   4585496 57.24
12      79965   147     0.00184 0.99816 79891   4505456 56.34
13      79818   148     0.00186 0.99814 79744   4425565 55.45
14      79670   154     0.00193 0.99807 79594   4345821 54.55
15      79516   164     0.00206 0.99794 79435   4266227 53.65
16      79352   178     0.00224 0.99776 79264   4186792 52.76
17      79174   195     0.00246 0.99754 79078   4107528 51.88
18      78979   214     0.00271 0.99729 78874   4028450 51.01
19      78765   234     0.00297 0.99703 78650   3949576 50.14
20      78531   250     0.00319 0.99681 78407   3870927 49.29
21      78281   268     0.00342 0.99658 78148   3792519 48.45
22      78013   282     0.00361 0.99639 77873   3714371 47.61
23      77731   293     0.00377 0.99623 77585   3636498 46.78
24      77438   301     0.00388 0.99612 77288   3558913 45.96
25      77137   295     0.00383 0.99617 76989   3481625 45.14
26      76842   299     0.00389 0.99611 76693   3404636 44.31
27      76543   302     0.00394 0.99606 76392   3327943 43.48
28      76241   305     0.00400 0.99600 76089   3251551 42.65
29      75936   310     0.00408 0.99592 75781   3175462 41.82
30      75626   316     0.00418 0.99582 75469   3099680 40.99
31      75310   324     0.00430 0.99570 75149   3024212 40.16
32      74986   332     0.00443 0.99557 74821   2949063 39.33
33      74654   341     0.00457 0.99543 74484   2874242 38.50
34      74313   351     0.00472 0.99528 74138   2799758 37.68
35      73962   359     0.00486 0.99514 73783   2725620 36.85
36      73603   370     0.00502 0.99498 73419   2651836 36.03
37      73233   380     0.00519 0.99481 73044   2578418 35.21
38      72853   391     0.00537 0.99463 72659   2505374 34.39
39      72462   404     0.00557 0.99443 72261   2432715 33.57
40      72058   416     0.00578 0.99422 71851   2360454 32.76
41      71642   434     0.00606 0.99394 71427   2288603 31.94
42      71208   456     0.00640 0.99360 70982   2217176 31.14
43      70752   482     0.00681 0.99319 70513   2146194 30.33
44      70270   512     0.00729 0.99271 70016   2075681 29.54
45      69758   525     0.00752 0.99248 69497   2005665 28.75
46      69233   558     0.00805 0.99195 68957   1936168 27.97
47      68675   589     0.00858 0.99142 68383   1867211 27.19
48      68086   618     0.00908 0.99092 67779   1798828 26.42
49      67468   644     0.00955 0.99045 67149   1731049 25.66
50      66824   681     0.01019 0.98981 66486   1663900 24.90
51      66143   705     0.01066 0.98934 65793   1597414 24.15
52      65438   730     0.01116 0.98884 65075   1531622 23.41
53      64708   759     0.01173 0.98827 64331   1466546 22.66
54      63949   793     0.01240 0.98760 63556   1402215 21.93
55      63156   834     0.01321 0.98679 62743   1338660 21.20
56      62322   883     0.01417 0.98583 61885   1275917 20.47
57      61439   940     0.01530 0.98470 60974   1214032 19.76
58      60499   1006    0.01662 0.98338 60002   1153058 19.06
59      59493   1078    0.01812 0.98188 58960   1093056 18.37
60      58415   1144    0.01959 0.98041 57849   1034096 17.70
61      57271   1221    0.02132 0.97868 56667   976247  17.05
62      56050   1294    0.02309 0.97691 55409   919581  16.41
63      54756   1361    0.02486 0.97514 54081   864172  15.78
64      53395   1422    0.02664 0.97336 52689   810091  15.17
65      51973   1473    0.02834 0.97166 51241   757402  14.57
66      50500   1536    0.03041 0.96959 49738   706161  13.98
67      48964   1607    0.03282 0.96718 48167   656423  13.41
68      47357   1690    0.03569 0.96431 46519   608256  12.84
69      45667   1785    0.03908 0.96092 44782   561737  12.30
70      43882   1877    0.04277 0.95723 42951   516955  11.78
71      42005   1976    0.04704 0.95296 41025   474003  11.28
72      40029   2062    0.05152 0.94848 39004   432979  10.82
73      37967   2127    0.05603 0.94397 36908   393974  10.38
74      35840   2168    0.06050 0.93950 34758   357066  9.96
75      33672   2173    0.06454 0.93546 32586   322308  9.57
76      31499   2174    0.06902 0.93098 30412   289723  9.20
77      29325   2162    0.07373 0.92627 28243   259311  8.84
78      27163   2139    0.07876 0.92124 26091   231069  8.51
79      25024   2106    0.08415 0.91585 23967   204977  8.19
80      22918   2038    0.08894 0.91106 21894   181011  7.90
81      20880   1974    0.09456 0.90544 19887   159117  7.62
82      18906   1891    0.10002 0.89998 17953   139230  7.36
83      17015   1789    0.10513 0.89487 16111   121278  7.13
84      15226   1671    0.10973 0.89027 14380   105166  6.91
85      13555   1525    0.11249 0.88751 12781   90787   6.70
86      12030   1395    0.11599 0.88401 11322   78006   6.48
87      10635   1266    0.11906 0.88094 9991    66684   6.27
88      9369    1141    0.12176 0.87824 8788    56693   6.05
89      8228    1022    0.12417 0.87583 7707    47904   5.82
90      7206    911     0.12637 0.87363 6742    40197   5.58
91      6295    808     0.12842 0.87158 5883    33455   5.31
92      5487    716     0.13040 0.86960 5122    27572   5.03
93      4771    632     0.13238 0.86762 4448    22451   4.71
94      4139    556     0.13441 0.86559 3855    18002   4.35
95      3583    489     0.13656 0.86344 3333    14147   3.95
96      3094    430     0.13886 0.86114 2874    10814   3.50
97      2664    377     0.14135 0.85865 2471    7940    2.98
98      2287    330     0.14408 0.85592 2118    5468    2.39
99      1957    288     0.14706 0.85294 1810    3350    1.71
100     1669    251     0.15030 0.84970 1540    1540    0.92
