# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  7370    0.07370 0.92630 96315   6651002 66.51
1       92630   1737    0.01875 0.98125 91762   6554687 70.76
2       90893   584     0.00642 0.99358 90601   6462926 71.10
3       90309   280     0.00310 0.99690 90169   6372325 70.56
4       90029   182     0.00202 0.99798 89938   6282156 69.78
5       89847   147     0.00164 0.99836 89771   6192218 68.92
6       89700   133     0.00149 0.99851 89633   6102446 68.03
7       89567   125     0.00140 0.99860 89504   6012814 67.13
8       89442   116     0.00130 0.99870 89383   5923310 66.23
9       89326   105     0.00117 0.99883 89273   5833927 65.31
10      89221   92      0.00104 0.99896 89174   5744654 64.39
11      89129   83      0.00093 0.99907 89087   5655480 63.45
12      89046   76      0.00086 0.99914 89008   5566393 62.51
13      88970   74      0.00083 0.99917 88933   5477386 61.56
14      88896   75      0.00085 0.99915 88859   5388453 60.62
15      88821   80      0.00090 0.99910 88782   5299594 59.67
16      88741   87      0.00098 0.99902 88698   5210812 58.72
17      88654   96      0.00108 0.99892 88607   5122114 57.78
18      88558   107     0.00120 0.99880 88505   5033507 56.84
19      88451   118     0.00133 0.99867 88393   4945002 55.91
20      88333   128     0.00145 0.99855 88270   4856609 54.98
21      88205   137     0.00155 0.99845 88137   4768339 54.06
22      88068   143     0.00162 0.99838 87997   4680202 53.14
23      87925   147     0.00167 0.99833 87852   4592205 52.23
24      87778   149     0.00170 0.99830 87704   4504354 51.32
25      87629   150     0.00172 0.99828 87554   4416650 50.40
26      87479   152     0.00174 0.99826 87403   4329096 49.49
27      87327   155     0.00178 0.99822 87250   4241693 48.57
28      87172   160     0.00184 0.99816 87093   4154443 47.66
29      87012   168     0.00193 0.99807 86929   4067350 46.74
30      86844   176     0.00203 0.99797 86757   3980422 45.83
31      86668   185     0.00213 0.99787 86576   3893665 44.93
32      86483   192     0.00222 0.99778 86388   3807089 44.02
33      86291   197     0.00228 0.99772 86193   3720701 43.12
34      86094   200     0.00232 0.99768 85994   3634508 42.22
35      85894   202     0.00235 0.99765 85793   3548514 41.31
36      85692   205     0.00240 0.99760 85590   3462721 40.41
37      85487   210     0.00246 0.99754 85383   3377131 39.50
38      85277   219     0.00256 0.99744 85168   3291749 38.60
39      85058   230     0.00271 0.99729 84944   3206580 37.70
40      84828   245     0.00289 0.99711 84707   3121636 36.80
41      84583   261     0.00309 0.99691 84454   3036929 35.90
42      84322   278     0.00330 0.99670 84184   2952475 35.01
43      84044   294     0.00350 0.99650 83898   2868291 34.13
44      83750   310     0.00370 0.99630 83596   2784393 33.25
45      83440   324     0.00388 0.99612 83279   2700797 32.37
46      83116   338     0.00407 0.99593 82948   2617517 31.49
47      82778   353     0.00427 0.99573 82603   2534569 30.62
48      82425   370     0.00449 0.99551 82242   2451966 29.75
49      82055   390     0.00475 0.99525 81862   2369725 28.88
50      81665   414     0.00507 0.99493 81460   2287863 28.02
51      81251   442     0.00544 0.99456 81033   2206403 27.16
52      80809   477     0.00590 0.99410 80574   2125370 26.30
53      80332   517     0.00644 0.99356 80077   2044797 25.45
54      79815   564     0.00707 0.99293 79537   1964719 24.62
55      79251   616     0.00777 0.99223 78947   1885182 23.79
56      78635   671     0.00854 0.99146 78304   1806235 22.97
57      77964   728     0.00933 0.99067 77605   1727931 22.16
58      77236   784     0.01015 0.98985 76849   1650326 21.37
59      76452   840     0.01098 0.98902 76037   1573477 20.58
60      75612   897     0.01186 0.98814 75168   1497441 19.80
61      74715   959     0.01284 0.98716 74241   1422272 19.04
62      73756   1031    0.01398 0.98602 73247   1348031 18.28
63      72725   1116    0.01534 0.98466 72175   1274784 17.53
64      71609   1215    0.01697 0.98303 71010   1202609 16.79
65      70394   1328    0.01886 0.98114 69740   1131599 16.08
