# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  6431    0.06431 0.93569 96785   5966489 59.66
1       93569   1301    0.01390 0.98610 92919   5869705 62.73
2       92268   408     0.00442 0.99558 92064   5776786 62.61
3       91860   199     0.00217 0.99783 91761   5684722 61.88
4       91661   142     0.00154 0.99846 91590   5592962 61.02
5       91519   131     0.00144 0.99856 91453   5501372 60.11
6       91388   137     0.00150 0.99850 91320   5409918 59.20
7       91251   144     0.00157 0.99843 91179   5318598 58.29
8       91107   142     0.00156 0.99844 91035   5227419 57.38
9       90965   131     0.00144 0.99856 90898   5136384 56.47
10      90834   114     0.00126 0.99874 90776   5045485 55.55
11      90720   101     0.00111 0.99889 90669   4954710 54.62
12      90619   95      0.00104 0.99896 90571   4864041 53.68
13      90524   96      0.00106 0.99894 90476   4773470 52.73
14      90428   105     0.00116 0.99884 90377   4682993 51.79
15      90323   122     0.00135 0.99865 90264   4592617 50.85
16      90201   145     0.00161 0.99839 90131   4502353 49.91
17      90056   171     0.00189 0.99811 89973   4412222 48.99
18      89885   194     0.00216 0.99784 89790   4322250 48.09
19      89691   212     0.00237 0.99763 89586   4232460 47.19
20      89479   224     0.00250 0.99750 89368   4142874 46.30
21      89255   233     0.00261 0.99739 89139   4053506 45.41
22      89022   242     0.00272 0.99728 88902   3964367 44.53
23      88780   255     0.00287 0.99713 88654   3875465 43.65
24      88525   271     0.00306 0.99694 88391   3786811 42.78
25      88254   291     0.00329 0.99671 88110   3698420 41.91
26      87963   312     0.00354 0.99646 87809   3610310 41.04
27      87651   332     0.00378 0.99622 87487   3522501 40.19
28      87319   349     0.00399 0.99601 87146   3435015 39.34
29      86970   361     0.00415 0.99585 86790   3347869 38.49
30      86609   370     0.00428 0.99572 86425   3261079 37.65
31      86239   378     0.00438 0.99562 86051   3174654 36.81
32      85861   385     0.00449 0.99551 85669   3088603 35.97
33      85476   394     0.00461 0.99539 85280   3002934 35.13
34      85082   406     0.00477 0.99523 84880   2917654 34.29
35      84676   420     0.00496 0.99504 84467   2832774 33.45
36      84256   438     0.00519 0.99481 84039   2748307 32.62
37      83818   458     0.00547 0.99453 83591   2664268 31.79
38      83360   482     0.00578 0.99422 83121   2580677 30.96
39      82878   508     0.00613 0.99387 82626   2497556 30.14
40      82370   535     0.00650 0.99350 82105   2414930 29.32
41      81835   563     0.00688 0.99312 81556   2332825 28.51
42      81272   590     0.00726 0.99274 80979   2251270 27.70
43      80682   616     0.00763 0.99237 80376   2170290 26.90
44      80066   642     0.00802 0.99198 79747   2089914 26.10
45      79424   672     0.00846 0.99154 79091   2010167 25.31
46      78752   709     0.00900 0.99100 78401   1931076 24.52
47      78043   757     0.00970 0.99030 77669   1852675 23.74
48      77286   818     0.01058 0.98942 76883   1775006 22.97
49      76468   893     0.01168 0.98832 76028   1698123 22.21
50      75575   980     0.01297 0.98703 75092   1622095 21.46
51      74595   1072    0.01437 0.98563 74067   1547003 20.74
52      73523   1162    0.01580 0.98420 72949   1472936 20.03
53      72361   1244    0.01719 0.98281 71745   1399987 19.35
54      71117   1315    0.01850 0.98150 70465   1328241 18.68
55      69802   1379    0.01975 0.98025 69118   1257776 18.02
56      68423   1441    0.02106 0.97894 67708   1188659 17.37
57      66982   1510    0.02254 0.97746 66233   1120951 16.74
58      65472   1588    0.02426 0.97574 64685   1054717 16.11
59      63884   1678    0.02626 0.97374 63053   990033  15.50
60      62206   1774    0.02852 0.97148 61327   926980  14.90
61      60432   1868    0.03092 0.96908 59505   865653  14.32
62      58564   1952    0.03333 0.96667 57594   806147  13.77
63      56612   2020    0.03569 0.96431 55607   748553  13.22
64      54592   2072    0.03796 0.96204 53560   692946  12.69
65      52520   2113    0.04023 0.95977 51467   639386  12.17
66      50407   2151    0.04268 0.95732 49335   587919  11.66
67      48256   2195    0.04548 0.95452 47162   538585  11.16
68      46061   2245    0.04874 0.95126 44943   491422  10.67
69      43816   2300    0.05249 0.94751 42670   446479  10.19
70      41516   2351    0.05664 0.94336 40344   403809  9.73
71      39165   2386    0.06092 0.93908 37974   363465  9.28
72      36779   2394    0.06510 0.93490 35582   325491  8.85
73      34385   2376    0.06909 0.93091 33195   289909  8.43
74      32009   2335    0.07295 0.92705 30838   256715  8.02
75      29674   2285    0.07701 0.92299 28528   225877  7.61
76      27389   2242    0.08187 0.91813 26265   197349  7.21
77      25147   2215    0.08809 0.91191 24038   171084  6.80
78      22932   2204    0.09610 0.90390 21829   147046  6.41
79      20728   2200    0.10613 0.89387 19627   125217  6.04
80      18528   2188    0.11808 0.88192 17432   105590  5.70
81      16340   2144    0.13118 0.86882 15262   88158   5.40
82      14196   2052    0.14453 0.85547 13160   72896   5.13
83      12144   1908    0.15714 0.84286 11176   59736   4.92
84      10236   1721    0.16817 0.83183 9359    48559   4.74
85      8515    1508    0.17714 0.82286 7743    39201   4.60
86      7007    1290    0.18411 0.81589 6344    31457   4.49
87      5717    1082    0.18926 0.81074 5160    25113   4.39
88      4635    894     0.19287 0.80713 4173    19954   4.31
89      3741    730     0.19524 0.80476 3363    15780   4.22
90      3011    592     0.19668 0.80332 2705    12417   4.12
91      2419    478     0.19751 0.80249 2171    9713    4.02
92      1941    384     0.19801 0.80199 1742    7541    3.89
93      1557    309     0.19846 0.80154 1397    5799    3.72
94      1248    248     0.19906 0.80094 1119    4402    3.53
95      1000    200     0.20002 0.79998 896     3283    3.28
96      800     161     0.20150 0.79850 717     2387    2.98
97      639     130     0.20362 0.79638 572     1670    2.61
98      509     105     0.20648 0.79352 455     1098    2.16
99      404     85      0.21016 0.78984 360     644     1.59
100     319     68      0.21471 0.78529 284     284     0.89
