# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

0       100000  4113    0.04113 0.95887 97121   6790631 67.91
1       95887   639     0.00666 0.99334 95479   6693510 69.81
2       95248   270     0.00283 0.99717 95081   6598031 69.27
3       94978   176     0.00185 0.99815 94877   6502950 68.47
4       94802   140     0.00148 0.99852 94725   6408073 67.59
5       94662   130     0.00137 0.99868 94596   6313348 66.69
6       94532   115     0.00122 0.99878 94474   6218752 65.78
7       94417   103     0.00109 0.99891 94365   6124278 64.86
8       94314   94      0.00100 0.99900 94266   6029913 63.93
9       94220   87      0.00092 0.99908 94176   5935647 63.00
10      94133   81      0.00086 0.99914 94093   5841471 62.06
11      94052   78      0.00083 0.99917 94013   5747378 61.11
12      93974   77      0.00082 0.99918 93936   5653365 60.16
13      93897   79      0.00084 0.99916 93858   5559429 59.21
14      93818   85      0.00091 0.99909 93777   5465571 58.26
15      93733   94      0.00100 0.99900 93687   5371794 57.31
16      93639   110     0.00117 0.99883 93585   5278107 56.37
17      93529   124     0.00133 0.99867 93468   5184522 55.43
18      93405   135     0.00144 0.99856 93339   5091054 54.51
19      93270   147     0.00158 0.99842 93198   4997715 53.58
20      93123   155     0.00166 0.99834 93047   4904517 52.67
21      92968   159     0.00171 0.99829 92889   4811470 51.75
22      92809   167     0.00180 0.99820 92727   4718581 50.84
23      92642   178     0.00192 0.99808 92554   4625854 49.93
24      92464   189     0.00204 0.99796 92370   4533300 49.03
25      92275   198     0.00215 0.99785 92177   4440930 48.13
26      92077   202     0.00219 0.99781 91976   4348753 47.23
27      91875   208     0.00226 0.99774 91772   4256777 46.33
28      91667   215     0.00234 0.99766 91561   4165005 45.44
29      91452   221     0.00242 0.99758 91343   4073444 44.54
30      91231   229     0.00251 0.99749 91118   3982101 43.65
31      91002   236     0.00259 0.99741 90884   3890983 42.76
32      90766   240     0.00264 0.99736 90646   3800099 41.87
33      90526   242     0.00267 0.99733 90405   3709453 40.98
34      90284   251     0.00278 0.99722 90160   3619048 40.09
35      90033   272     0.00302 0.99698 89899   3528888 39.20
36      89761   294     0.00327 0.99673 89616   3438989 38.31
37      89467   308     0.00344 0.99656 89314   3349373 37.44
38      89159   320     0.00359 0.99641 89000   3260059 36.56
39      88839   327     0.00368 0.99632 88677   3171059 35.69
40      88512   342     0.00386 0.99614 88342   3082382 34.82
41      88170   359     0.00407 0.99593 87993   2994040 33.96
42      87811   380     0.00433 0.99567 87623   2906047 33.09
43      87431   408     0.00467 0.99533 37229   2818424 32.24
44      87023   433     0.00497 0.99503 86809   2731195 31.38
45      86590   451     0.00521 0.99479 86367   2644386 30.54
46      86139   470     0.00546 0.99454 85906   2558019 29.70
47      85669   498     0.00581 0.99419 85422   2472113 28.86
48      85171   529     0.00621 0.99379 84910   2386691 28.02
49      84642   563     0.00665 0.99335 84364   2301781 27.19
50      84079   599     0.00712 0.99288 83783   2217417 26.37
51      83480   637     0.00763 0.99237 83165   2133634 25.56
52      82843   681     0.00822 0.99178 82507   2050469 24.75
53      82162   730     0.00888 0.99112 81801   1967962 23.95
54      81432   783     0.00961 0.99039 81046   1886161 23.16
55      80649   840     0.01042 0.98958 80234   1805115 22.38
56      79809   901     0.01129 0.98871 79364   1724881 21.61
57      78908   964     0.01222 0.98778 78432   1645517 20.85
58      77944   1033    0.01325 0.98675 77434   1567085 20.11
59      76911   1106    0.01438 0.98562 76364   1489651 19.37
60      75805   1181    0.01558 0.98442 75221   1413287 18.64
61      74624   1259    0.01687 0.98313 74002   1338066 17.93
62      73365   1341    0.01828 0.98172 72702   1264064 17.23
63      72024   1430    0.01986 0.98015 71317   1191362 16.54
64      70594   1522    0.02156 0.97844 69841   1120045 15.87
65      69072   1625    0.02352 0.97648 68269   1050204 15.20
66      67447   1735    0.02573 0.97427 66589   981935  14.56
67      65712   1844    0.02806 0.97194 64799   915346  13.93
68      63868   1950    0.03053 0.96947 62902   850547  13.32
69      61918   2054    0.03317 0.96683 60900   787645  12.72
70      59864   2164    0.03615 0.96385 58791   726745  12.14
71      57700   2273    0.03939 0.96061 56573   667954  11.58
72      55427   2377    0.04289 0.95711 54247   611381  11.03
73      53050   2472    0.04660 0.95340 51822   557134  10.50
74      50578   2563    0.05067 0.94933 49304   505312  9.99
75      48015   2647    0.05513 0.94487 46699   456008  9.50
76      45368   2724    0.06005 0.93995 44012   409309  9.02
77      42644   2793    0.06549 0.93451 41253   365297  8.57
78      39851   2850    0.07151 0.92849 38430   324044  8.13
79      37001   2886    0.07800 0.92200 35560   285614  7.72
80      34115   2895    0.08487 0.91513 32667   250054  7.33
81      31220   2874    0.09206 0.90794 29780   217387  6.96
82      28346   2820    0.09949 0.90051 26930   187607  6.62
83      25526   2734    0.10712 0.89288 24151   160677  6.29
84      22792   2620    0.11495 0.88505 21471   136526  5.99
85      20172   2481    0.12300 0.87700 18920   115055  5.70
86      17691   2320    0.13113 0.86887 16517   96135   5.43
87      15371   2143    0.13939 0.86061 14285   79618   5.18
88      13228   1957    0.14791 0.85209 12234   65333   4.94
89      11271   1767    0.15679 0.84321 10372   53099   4.71
90      9504    1577    0.16589 0.83411 8700    42727   4.50
91      7927    1388    0.17506 0.82494 7217    34027   4.29
92      6539    1205    0.18434 0.81566 5922    26810   4.10
93      5334    1034    0.19378 0.80622 4803    20888   3.92
94      4300    875     0.20341 0.79659 3850    16085   3.74
95      3425    730     0.21303 0.78697 3049    12235   3.57
96      2695    600     0.22269 0.77731 2385    9186    3.41
97      2095    489     0.23359 0.76641 1842    6801    3.25
98      1606    394     0.24547 0.75453 1402    4959    3.09
99      1212    313     0.25825 0.74175 1050    3557    2.93
100     899     244     0.27133 0.72867 772     2507    2.79

