# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

0       100000  3833    0.03833 0.96167 97174   6791911 67.92
1       96167   464     0.00482 0.99518 95873   6694737 69.62
2       95703   176     0.00184 0.99816 95594   6598864 68.95
3       95527   124     0.00130 0.99870 95453   6503270 68.08
4       95403   105     0.00110 0.99890 95340   6407817 67.17
5       95298   102     0.00107 0.99893 95246   6312477 66.24
6       95196   93      0.00098 0.99902 95149   6217231 65.31
7       95103   86      0.00090 0.99910 95060   6122082 64.37
8       95017   82      0.00086 0.99914 94976   6027022 63.43
9       94935   76      0.00080 0.99920 94897   5932046 62.49
10      94859   72      0.00076 0.99924 94823   5837149 61.53
11      94787   66      0.00070 0.99930 94754   5742326 60.58
12      94721   68      0.00072 0.99928 94687   5647572 59.62
13      94653   70      0.00074 0.99926 94618   5552885 58.67
14      94583   75      0.00079 0.99921 94547   5458267 57.71
15      94508   82      0.00087 0.99913 94468   5363720 56.75
16      94426   95      0.00101 0.99899 94380   5269252 55.80
17      94331   102     0.00108 0.99892 94281   5174872 54.86
18      94229   120     0.00127 0.99873 94170   5080591 53.92
19      94109   132     0.00140 0.99860 94044   4986421 52.99
20      93977   134     0.00143 0.99857 93911   4892377 52.06
21      93843   147     0.00157 0.99843 93771   4798466 51.13
22      93696   156     0.00166 0.99834 93619   4704695 50.21
23      93540   164     0.00175 0.99825 93459   4611076 49.30
24      93376   172     0.00184 0.99816 93291   4517617 48.38
25      93204   180     0.00193 0.99807 93115   4424326 47.47
26      93024   187     0.00201 0.99799 92932   4331211 46.56
27      92837   192     0.00207 0.99793 92742   4238279 45.65
28      92645   199     0.00215 0.99785 92547   4145537 44.75
29      92446   207     0.00224 0.99776 92344   4052990 43.84
30      92239   214     0.00232 0.99768 92133   3960646 42.94
31      92025   222     0.00241 0.99759 91915   3868513 42.04
32      91803   227     0.00247 0.99753 91690   3776598 41.14
33      91576   229     0.00250 0.99750 91462   3684908 40.24
34      91347   238     0.00260 0.99740 91229   3593446 39.34
35      91109   257     0.00282 0.99718 90983   3502217 38.44
36      90852   277     0.00305 0.99695 90716   3411234 37.55
37      90575   293     0.00323 0.99677 90430   3320518 36.66
38      90282   306     0.00339 0.99661 90130   3230088 35.78
39      89976   316     0.00351 0.99649 89819   3139958 34.90
40      89660   319     0.00356 0.99644 89502   3050139 34.02
41      89341   340     0.00381 0.99619 89173   2960637 33.14
42      89001   374     0.00420 0.99580 88817   2871464 32.26
43      88627   404     0.00456 0.99544 88428   2782647 31.40
44      88223   436     0.00494 0.99506 88007   2694219 30.54
45      87787   458     0.00522 0.99478 87560   2606212 29.69
46      87329   480     0.00550 0.99450 87091   2518652 28.84
47      86849   511     0.00588 0.99412 86597   2431561 28.00
48      86338   547     0.00633 0.99367 86068   2344964 27.16
49      85791   584     0.00681 0.99319 85502   2258896 26.33
50      85207   625     0.00733 0.99267 84898   2173394 25.51
51      84582   667     0.00789 0.99211 84253   2088496 24.69
52      83915   717     0.00854 0.99146 83561   2004243 23.88
53      83198   772     0.00928 0.99072 82817   1920682 23.09
54      82426   833     0.01011 0.98989 82015   1837865 22.30
55      81593   898     0.01101 0.98899 81150   1755850 21.52
56      80695   968     0.01199 0.98801 80218   1674700 20.75
57      79727   1040    0.01305 0.98695 79214   1594482 20.00
58      78687   1118    0.01421 0.98579 78135   1515268 19.26
59      77569   1202    0.01549 0.98451 76975   1437133 18.53
60      76367   1288    0.01686 0.98314 75730   1360158 17.81
61      75079   1376    0.01833 0.98167 74399   1284428 17.11
62      73703   1470    0.01994 0.98006 72976   1210029 16.42
63      72233   1569    0.02172 0.97828 71457   1137053 15.74
64      70664   1672    0.02366 0.97634 69837   1065596 15.08
65      68992   1783    0.02585 0.97415 68110   995759  14.43
66      67209   1900    0.02827 0.97173 66269   927649  13.80
67      65309   2014    0.03084 0.96916 64312   861380  13.19
68      63295   2125    0.03357 0.96643 62243   797068  12.59
69      61170   2233    0.03650 0.96350 60063   734825  12.01
70      58937   2339    0.03968 0.96032 57777   674762  11.45
71      56598   2443    0.04316 0.95684 55385   616985  10.90
72      54155   2537    0.04685 0.95315 52895   561600  10.37
73      51618   2627    0.05089 0.94911 50312   508705  9.86
74      48991   2709    0.05530 0.94470 47644   458393  9.36
75      46282   2792    0.06033 0.93967 44892   410749  8.87
76      43490   2863    0.06582 0.93418 42065   365857  8.41
77      40627   2928    0.07206 0.92794 39168   323792  7.97
78      37699   2973    0.07885 0.92115 36216   284624  7.55
79      34726   2995    0.08626 0.91374 33229   248408  7.15
80      31731   2984    0.09404 0.90596 30236   215179  6.78
81      28747   2933    0.10203 0.89797 27275   184943  6.43
82      25814   2842    0.11010 0.88990 24384   157668  6.11
83      22972   2716    0.11825 0.88175 21603   133284  5.80
84      20256   2564    0.12659 0.87341 18960   111681  5.51
85      17692   2392    0.13521 0.86479 16481   92721   5.24
86      15300   2204    0.14408 0.85592 14182   76240   4.98
87      13096   2007    0.15323 0.84677 12076   62058   4.74
88      11089   1805    0.16273 0.83727 10170   49982   4.51
89      9284    1603    0.17271 0.82729 8466    39812   4.29
90      7681    1405    0.18289 0.81711 6963    31346   4.08
91      6276    1213    0.19327 0.80673 5654    24383   3.89
92      5063    1033    0.20400 0.79600 4533    18729   3.70
93      4030    867     0.21506 0.78494 3582    14196   3.52
94      3163    716     0.22652 0.77348 2793    10614   3.36
95      2447    583     0.23824 0.76176 2146    7821    3.20
96      1864    466     0.25022 0.74978 1622    5675    3.04
97      1398    367     0.26278 0.73722 1207    4053    2.90
98      1031    285     0.27599 0.72401 883     2846    2.76
99      746     216     0.28982 0.71018 633     1963    2.63
100     530     161     0.30369 0.69631 446     1330    2.51

