# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

0       100000  3411    0.03411 0.96589 97533   7148004 71.48
1       96589   443     0.00459 0.99541 96307   7050471 72.99
2       96146   166     0.00173 0.99827 96045   6954164 72.33
3       95980   114     0.00119 0.99881 95912   6858119 71.45
4       95866   92      0.00096 0.99904 95809   6762207 70.54
5       95774   85      0.00089 0.99911 95731   6666398 69.61
6       95689   74      0.00077 0.99923 95651   6570667 68.67
7       95615   64      0.00067 0.99933 95582   6475016 67.72
8       95551   59      0.00062 0.99938 95522   6379434 66.76
9       95492   53      0.00056 0.99944 95466   6283912 65.81
10      95439   52      0.00054 0.99946 95413   6188446 64.84
11      95387   51      0.00053 0.99947 95362   6093033 63.88
12      95336   51      0.00054 0.99946 95311   5997671 62.91
13      95285   53      0.00056 0.99944 95259   5902360 61.94
14      95232   57      0.00060 0.99940 95204   5807101 60.98
15      95175   59      0.00062 0.99938 95146   5711897 60.01
16      95116   65      0.00068 0.99932 95084   5616751 59.05
17      95051   70      0.00074 0.99926 95017   5521667 58.09
18      94981   80      0.00084 0.99916 94942   5426650 57.13
19      94901   84      0.00089 0.99911 94859   5331708 56.18
20      94817   89      0.00094 0.99906 94773   5236849 55.23
21      94728   91      0.00096 0.99904 94683   5142076 54.28
22      94637   94      0.00099 0.99901 94590   5047393 53.33
23      94543   97      0.00103 0.99897 94495   4952803 52.39
24      94446   100     0.00106 0.99894 94396   4858308 51.44
25      94346   104     0.00110 0.99890 94294   4763912 50.49
26      94242   107     0.00114 0.99886 94189   4669618 49.55
27      94135   112     0.00119 0.99881 94079   4575429 48.60
28      94023   117     0.00124 0.99876 93965   4481350 47.66
29      93906   122     0.00130 0.99870 93845   4387385 46.72
30      93784   128     0.00136 0.99864 93721   4293540 45.78
31      93656   134     0.00143 0.99857 93589   4199819 44.84
32      93522   139     0.00149 0.99851 93453   4106230 43.91
33      93383   140     0.00150 0.99850 93314   4012777 42.97
34      93243   151     0.00162 0.99838 93169   3919463 42.03
35      93092   170     0.00183 0.99817 93008   3826294 41.10
36      92922   183     0.00197 0.99803 92832   3733286 40.18
37      92739   192     0.00207 0.99793 92644   3640454 39.25
38      92547   199     0.00215 0.99785 92449   3547810 38.34
39      92348   207     0.00224 0.99776 92246   3455361 37.42
40      92141   224     0.00243 0.99757 92030   3363115 36.50
41      91917   242     0.00263 0.99737 91797   3271085 35.59
42      91675   261     0.00285 0.99715 91547   3179288 34.68
43      91414   282     0.00308 0.99692 91275   3087741 33.78
44      91132   303     0.00333 0.99667 90983   2996466 32.88
