# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1978-1979.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2319    0.02319 0.97681 98841   6861990 68.62
1       97681   281     0.00288 0.99712 97541   6763149 69.24
2       97400   120     0.00123 0.99877 97340   6665609 68.44
3       97280   85      0.00087 0.99913 97238   6568269 67.52
4       97195   74      0.00076 0.99924 97158   6471031 66.58
5       97121   69      0.00071 0.99929 97086   6373873 65.63
6       97052   65      0.00067 0.99933 97019   6276787 64.67
7       96987   62      0.00064 0.99936 96956   6179768 63.72
8       96925   58      0.00060 0.99940 96896   6082812 62.76
9       96867   54      0.00056 0.99944 96840   5985917 61.80
10      96813   50      0.00052 0.99948 96788   5889077 60.83
11      96763   49      0.00050 0.99950 96739   5792289 59.86
12      96714   50      0.00051 0.99949 96689   5695551 58.89
13      96664   54      0.00056 0.99944 96638   5598861 57.92
14      96610   62      0.00064 0.99936 96580   5502224 56.95
15      96548   75      0.00077 0.99923 96512   5405644 55.99
16      96473   91      0.00095 0.99905 96429   5309132 55.03
17      96382   111     0.00115 0.99885 96328   5212703 54.08
18      96271   132     0.00137 0.99863 96207   5116375 53.15
19      96139   152     0.00158 0.99842 96065   5020168 52.22
20      95987   168     0.00175 0.99825 95904   4924104 51.30
21      95819   183     0.00191 0.99809 95729   4828200 50.39
22      95636   195     0.00204 0.99796 95539   4732471 49.48
23      95441   206     0.00216 0.99784 95339   4636932 48.58
24      95235   217     0.00228 0.99772 95127   4541593 47.69
25      95018   228     0.00240 0.99760 94905   4446465 46.80
26      94790   238     0.00251 0.99749 94672   4351560 45.91
27      94552   249     0.00263 0.99737 94428   4256888 45.02
28      94303   259     0.00274 0.99726 94174   4162460 44.14
29      94044   270     0.00287 0.99713 93910   4068286 43.26
30      93774   281     0.00300 0.99700 93635   3974376 42.38
31      93493   295     0.00316 0.99684 93347   3880741 41.51
32      93198   311     0.00334 0.99666 93044   3787394 40.64
33      92887   330     0.00356 0.99644 92724   3694351 39.77
34      92557   352     0.00381 0.99619 92383   3601627 38.91
35      92205   377     0.00408 0.99592 92019   3509244 38.06
36      91828   401     0.00437 0.99563 91629   3417225 37.21
37      91427   424     0.00464 0.99536 91217   3325596 36.37
38      91003   446     0.00490 0.99510 90782   3234379 35.54
39      90557   465     0.00514 0.99486 90326   3143597 34.71
40      90092   485     0.00538 0.99462 89851   3053271 33.89
41      89607   505     0.00564 0.99436 89356   2963420 33.07
42      89102   530     0.00595 0.99405 88839   2874064 32.26
43      88572   561     0.00633 0.99367 88294   2785224 31.45
44      88011   597     0.00678 0.99322 87716   2696930 30.64
45      87414   637     0.00729 0.99271 87099   2609214 29.85
46      86777   680     0.00784 0.99216 86441   2522115 29.06
47      86097   723     0.00839 0.99161 85739   2435675 28.29
48      85374   762     0.00893 0.99107 84996   2349936 27.53
49      84612   798     0.00943 0.99057 84216   2264940 26.77
50      83814   829     0.00989 0.99011 83402   2180724 26.02
51      82985   858     0.01034 0.98966 82558   2097322 25.27
52      82127   886     0.01079 0.98921 81686   2014764 24.53
53      81241   915     0.01126 0.98874 80786   1933077 23.79
54      80326   946     0.01178 0.98822 79856   1852291 23.06
55      79380   982     0.01237 0.98763 78892   1772435 22.33
56      78398   1024    0.01306 0.98694 77890   1693543 21.60
57      77374   1074    0.01387 0.98613 76841   1615653 20.88
58      76300   1131    0.01482 0.98518 75740   1538812 20.17
59      75169   1196    0.01591 0.98409 74577   1463072 19.46
60      73973   1267    0.01713 0.98287 73346   1388496 18.77
61      72706   1341    0.01844 0.98156 72042   1315150 18.09
62      71365   1414    0.01981 0.98019 70664   1243108 17.42
63      69951   1485    0.02122 0.97878 69214   1172444 16.76
64      68466   1552    0.02267 0.97733 67696   1103230 16.11
65      66914   1617    0.02416 0.97584 66111   1035535 15.48
66      65297   1682    0.02577 0.97423 64462   969424  14.85
67      63615   1751    0.02753 0.97247 62746   904962  14.23
68      61864   1826    0.02952 0.97048 60958   842217  13.61
69      60038   1909    0.03179 0.96821 59091   781259  13.01
70      58129   2001    0.03442 0.96558 57137   722168  12.42
71      56128   2102    0.03745 0.96255 55086   665032  11.85
72      54026   2212    0.04094 0.95906 52929   609946  11.29
73      51814   2328    0.04493 0.95507 50660   557017  10.75
74      49486   2447    0.04945 0.95055 48272   506357  10.23
75      47039   2562    0.05446 0.94554 45767   458085  9.74
76      44477   2663    0.05988 0.94012 43153   412318  9.27
77      41814   2743    0.06560 0.93440 40448   369165  8.83
78      39071   2792    0.07146 0.92854 37678   328717  8.41
79      36279   2804    0.07728 0.92272 34876   291039  8.02
80      33475   2774    0.08287 0.91713 32084   256163  7.65
81      30701   2703    0.08803 0.91197 29342   224079  7.30
82      27998   2594    0.09266 0.90734 26691   194737  6.96
83      25404   2460    0.09683 0.90317 24162   168046  6.61
84      22944   2312    0.10079 0.89921 21776   143884  6.27
85      20632   2166    0.10498 0.89502 19537   122108  5.92
86      18466   2034    0.11014 0.88986 17439   102571  5.55
87      16432   1921    0.11691 0.88309 15463   85132   5.18
88      14511   1827    0.12590 0.87410 13590   69669   4.80
89      12684   1745    0.13761 0.86239 11805   56079   4.42
90      10939   1667    0.15243 0.84757 10099   44274   4.05
91      9272    1580    0.17043 0.82957 8474    34175   3.69
92      7692    1474    0.19162 0.80838 6945    25702   3.34
93      6218    1342    0.21590 0.78410 5535    18756   3.02
94      4876    1185    0.24302 0.75698 4270    13221   2.71
95      3691    1006    0.27254 0.72746 3173    8952    2.43
96      2685    816     0.30383 0.69617 2261    5779    2.15
97      1869    628     0.33607 0.66393 1540    3518    1.88
98      1241    457     0.36838 0.63162 999     1978    1.59
99      784     313     0.39986 0.60014 617     979     1.25
100     471     202     0.42982 0.57018 362     362     0.77
