# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1978-1979.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1955    0.01955 0.98045 99023   5493337 54.93
1       98045   255     0.00260 0.99740 97918   5394314 55.02
2       97790   108     0.00110 0.99890 97736   5296397 54.16
3       97682   74      0.00076 0.99924 97645   5198661 53.22
4       97608   61      0.00063 0.99937 97578   5101016 52.26
5       97547   86      0.00088 0.99912 97508   5003438 51.29
6       97461   146     0.00150 0.99850 97395   4905931 50.34
7       97315   243     0.00250 0.99750 97201   4808536 49.41
8       97072   327     0.00337 0.99663 96912   4711335 48.53
9       96745   328     0.00339 0.99661 96578   4614423 47.70
10      96417   259     0.00269 0.99731 96282   4517845 46.86
11      96158   196     0.00203 0.99797 96056   4421563 45.98
12      95962   158     0.00165 0.99835 95881   4325507 45.08
13      95804   145     0.00152 0.99848 95731   4229626 44.15
14      95659   155     0.00162 0.99838 95583   4133895 43.21
15      95504   185     0.00193 0.99807 95415   4038312 42.28
16      95319   230     0.00242 0.99758 95208   3942897 41.37
17      95089   284     0.00299 0.99701 94951   3847689 40.46
18      94805   332     0.00350 0.99650 94642   3752738 39.58
19      94473   360     0.00381 0.99619 94294   3658096 38.72
20      94113   367     0.00390 0.99610 93930   3563801 37.87
21      93746   363     0.00387 0.99613 93564   3469872 37.01
22      93383   357     0.00382 0.99618 93204   3376308 36.16
23      93026   356     0.00383 0.99617 92848   3283103 35.29
24      92670   364     0.00393 0.99607 92489   3190255 34.43
25      92306   381     0.00413 0.99587 92117   3097766 33.56
26      91925   405     0.00441 0.99559 91725   3005649 32.70
27      91520   435     0.00475 0.99525 91305   2913924 31.84
28      91085   469     0.00514 0.99486 90853   2822619 30.99
29      90616   505     0.00557 0.99443 90367   2731765 30.15
30      90111   544     0.00603 0.99397 89842   2641399 29.31
31      89567   583     0.00651 0.99349 89279   2551557 28.49
32      88984   624     0.00701 0.99299 88675   2462278 27.67
33      88360   665     0.00753 0.99247 88031   2373602 26.86
34      87695   707     0.00806 0.99194 87345   2285571 26.06
35      86988   750     0.00862 0.99138 86617   2198226 25.27
36      86238   793     0.00919 0.99081 85845   2111610 24.49
37      85445   837     0.00980 0.99020 85030   2025765 23.71
38      84608   884     0.01045 0.98955 84170   1940734 22.94
39      83724   933     0.01115 0.98885 83262   1856564 22.17
40      82791   987     0.01193 0.98807 82302   1773303 21.42
41      81804   1048    0.01281 0.98719 81285   1691000 20.67
42      80756   1116    0.01382 0.98618 80204   1609715 19.93
43      79640   1192    0.01497 0.98503 79051   1529511 19.21
44      78448   1277    0.01628 0.98372 77817   1450460 18.49
45      77171   1370    0.01775 0.98225 76494   1372643 17.79
46      75801   1468    0.01936 0.98064 75075   1296149 17.10
47      74333   1567    0.02108 0.97892 73558   1221074 16.43
48      72766   1667    0.02290 0.97710 71941   1147516 15.77
49      71099   1763    0.02480 0.97520 70225   1075576 15.13
50      69336   1857    0.02678 0.97322 68415   1005350 14.50
51      67479   1947    0.02885 0.97115 66513   936935  13.88
52      65532   2035    0.03105 0.96895 64522   870422  13.28
53      63497   2121    0.03340 0.96660 62444   805900  12.69
54      61376   2205    0.03593 0.96407 60281   743457  12.11
55      59171   2290    0.03869 0.96131 58033   683176  11.55
56      56881   2374    0.04173 0.95827 55701   625143  10.99
57      54507   2457    0.04509 0.95491 53285   569442  10.45
58      52050   2540    0.04880 0.95120 50787   516157  9.92
