# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1978-1979.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1860    0.01860 0.98140 99070   7407673 74.08
1       98140   192     0.00196 0.99804 98044   7308603 74.47
2       97948   88      0.00090 0.99910 97904   7210559 73.62
3       97860   62      0.00063 0.99937 97829   7112655 72.68
4       97798   52      0.00053 0.99947 97772   7014826 71.73
5       97746   45      0.00046 0.99954 97723   6917054 70.77
6       97701   40      0.00041 0.99959 97681   6819331 69.80
7       97661   37      0.00038 0.99962 97642   6721651 68.83
8       97624   35      0.00036 0.99964 97606   6624008 67.85
9       97589   33      0.00034 0.99966 97572   6526402 66.88
10      97556   32      0.00033 0.99967 97540   6428830 65.90
11      97524   32      0.00033 0.99967 97508   6331290 64.92
12      97492   33      0.00033 0.99967 97476   6233782 63.94
13      97459   34      0.00035 0.99965 97442   6136306 62.96
14      97425   36      0.00037 0.99963 97407   6038864 61.98
15      97389   39      0.00040 0.99960 97370   5941457 61.01
16      97350   42      0.00043 0.99957 97329   5844087 60.03
17      97308   46      0.00047 0.99953 97285   5746758 59.06
18      97262   50      0.00051 0.99949 97237   5649472 58.09
19      97212   54      0.00055 0.99945 97185   5552235 57.11
20      97158   57      0.00059 0.99941 97130   5455050 56.15
21      97101   61      0.00063 0.99937 97071   5357920 55.18
22      97040   64      0.00066 0.99934 97008   5260849 54.21
23      96976   67      0.00069 0.99931 96943   5163841 53.25
24      96909   69      0.00072 0.99928 96875   5066898 52.29
25      96840   72      0.00075 0.99925 96804   4970024 51.32
26      96768   76      0.00078 0.99922 96730   4873219 50.36
27      96692   80      0.00083 0.99917 96652   4776489 49.40
28      96612   86      0.00089 0.99911 96570   4679836 48.44
29      96526   93      0.00096 0.99904 96480   4583267 47.48
30      96433   101     0.00105 0.99895 96383   4486787 46.53
31      96332   110     0.00115 0.99885 96278   4390404 45.58
32      96222   120     0.00125 0.99875 96163   4294126 44.63
33      96102   130     0.00135 0.99865 96038   4197963 43.68
34      95972   139     0.00145 0.99855 95903   4101925 42.74
35      95833   148     0.00155 0.99845 95760   4006022 41.80
36      95685   158     0.00165 0.99835 95607   3910262 40.87
37      95527   167     0.00175 0.99825 95444   3814655 39.93
38      95360   178     0.00187 0.99813 95272   3719211 39.00
39      95182   190     0.00200 0.99800 95088   3623939 38.07
40      94992   204     0.00214 0.99786 94891   3528851 37.15
41      94788   220     0.00232 0.99768 94679   3433960 36.23
