# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1978-1979.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2866    0.02866 0.97134 98567   6059766 60.60
1       97134   436     0.00449 0.99551 96916   5961199 61.37
2       96698   185     0.00191 0.99809 96606   5864283 60.65
3       96513   127     0.00132 0.99868 96450   5767678 59.76
4       96386   127     0.00132 0.99868 96323   5671228 58.84
5       96259   122     0.00127 0.99873 96197   5574906 57.92
6       96137   113     0.00118 0.99882 96080   5478708 56.99
7       96024   102     0.00106 0.99894 95972   5382629 56.06
8       95922   89      0.00093 0.99907 95877   5286657 55.11
9       95833   78      0.00081 0.99919 95793   5190780 54.16
10      95755   70      0.00073 0.99927 95720   5094987 53.21
11      95685   67      0.00070 0.99930 95651   4999267 52.25
12      95618   69      0.00072 0.99928 95584   4903616 51.28
13      95549   78      0.00082 0.99918 95511   4808032 50.32
14      95471   96      0.00101 0.99899 95425   4712521 49.36
15      95375   126     0.00132 0.99868 95315   4617096 48.41
16      95249   167     0.00176 0.99824 95169   4521781 47.47
17      95082   220     0.00231 0.99769 94977   4426612 46.56
18      94862   278     0.00293 0.99707 94728   4331635 45.66
19      94584   333     0.00352 0.99648 94422   4236907 44.80
20      94251   378     0.00401 0.99599 94065   4142486 43.95
21      93873   412     0.00439 0.99561 93670   4048420 43.13
22      93461   439     0.00469 0.99531 93244   3954751 42.31
23      93022   460     0.00495 0.99505 92794   3861507 41.51
24      92562   480     0.00518 0.99482 92324   3768713 40.72
25      92082   498     0.00541 0.99459 91835   3676390 39.93
26      91584   517     0.00564 0.99436 91327   3584555 39.14
27      91067   535     0.00587 0.99413 90801   3493228 38.36
28      90532   553     0.00611 0.99389 90257   3402427 37.58
29      89979   572     0.00636 0.99364 89695   3312170 36.81
30      89407   593     0.00663 0.99337 89112   3222476 36.04
31      88814   616     0.00694 0.99306 88508   3133363 35.28
32      88198   644     0.00730 0.99270 87878   3044855 34.52
33      87554   675     0.00771 0.99229 87219   2956977 33.77
34      86879   709     0.00816 0.99184 86527   2869757 33.03
35      86170   744     0.00864 0.99136 85801   2783230 32.30
36      85426   778     0.00910 0.99090 85040   2697429 31.58
37      84648   807     0.00953 0.99047 84247   2612390 30.86
38      83841   831     0.00991 0.99009 83427   2528143 30.15
39      83010   850     0.01023 0.98977 82586   2444716 29.45
40      82160   865     0.01053 0.98947 81729   2362129 28.75
41      81295   881     0.01084 0.98916 80856   2280400 28.05
42      80414   900     0.01120 0.98880 79966   2199544 27.35
43      79514   925     0.01163 0.98837 79054   2119579 26.66
44      78589   956     0.01216 0.98784 78114   2040525 25.96
45      77633   992     0.01278 0.98722 77140   1962411 25.28
46      76641   1031    0.01345 0.98655 76129   1885271 24.60
47      75610   1072    0.01418 0.98582 75077   1809142 23.93
48      74538   1112    0.01492 0.98508 73985   1734065 23.26
49      73426   1152    0.01569 0.98431 72853   1660079 22.61
50      72274   1191    0.01647 0.98353 71682   1587226 21.96
51      71083   1229    0.01730 0.98270 70472   1515544 21.32
52      69854   1269    0.01817 0.98183 69223   1445073 20.69
53      68585   1310    0.01911 0.98089 67934   1375850 20.06
54      67275   1354    0.02012 0.97988 66602   1307916 19.44
55      65921   1399    0.02123 0.97877 65225   1241314 18.83
56      64522   1447    0.02243 0.97757 63803   1176089 18.23
57      63075   1497    0.02373 0.97627 62331   1112287 17.63
58      61578   1548    0.02513 0.97487 60808   1049956 17.05
59      60030   1598    0.02662 0.97338 59235   989148  16.48
60      58432   1647    0.02819 0.97181 57612   929912  15.91
61      56785   1692    0.02980 0.97020 55943   872300  15.36
62      55093   1732    0.03144 0.96856 54230   816357  14.82
63      53361   1768    0.03312 0.96688 52480   762127  14.28
64      51593   1799    0.03486 0.96514 50696   709648  13.75
65      49794   1828    0.03672 0.96328 48883   658952  13.23
66      47966   1860    0.03879 0.96121 47039   610069  12.72
67      46106   1897    0.04115 0.95885 45161   563030  12.21
68      44209   1940    0.04388 0.95612 43243   517869  11.71
69      42269   1987    0.04701 0.95299 41280   474627  11.23
70      40282   2037    0.05056 0.94944 39267   433347  10.76
71      38245   2082    0.05445 0.94555 37207   394080  10.30
72      36163   2120    0.05863 0.94137 35106   356872  9.87
73      34043   2146    0.06304 0.93696 32972   321766  9.45
74      31897   2158    0.06764 0.93236 30818   288795  9.05
75      29739   2154    0.07242 0.92758 28661   257976  8.67
76      27585   2135    0.07741 0.92259 26515   229315  8.31
77      25450   2103    0.08262 0.91738 24395   202800  7.97
78      23347   2054    0.08798 0.91202 22315   178405  7.64
79      21293   1989    0.09341 0.90659 20292   156090  7.33
80      19304   1906    0.09871 0.90129 18343   135797  7.03
81      17398   1803    0.10360 0.89640 16487   117454  6.75
82      15595   1683    0.10792 0.89208 14743   100967  6.47
83      13912   1554    0.11169 0.88831 13124   86224   6.20
84      12358   1423    0.11512 0.88488 11636   73100   5.92
85      10935   1298    0.11870 0.88130 10276   61464   5.62
86      9637    1187    0.12318 0.87682 9035    51188   5.31
87      8450    1092    0.12922 0.87078 7897    42153   4.99
88      7358    1011    0.13737 0.86263 6846    34256   4.66
89      6347    940     0.14808 0.85192 5871    27410   4.32
90      5407    874     0.16163 0.83837 4964    21539   3.98
91      4533    807     0.17799 0.82201 4124    16574   3.66
92      3726    734     0.19708 0.80292 3353    12450   3.34
93      2992    655     0.21876 0.78124 2658    9098    3.04
94      2337    567     0.24275 0.75725 2046    6440    2.76
95      1770    475     0.26862 0.73138 1525    4394    2.48
96      1295    383     0.29585 0.70415 1096    2869    2.22
97      912     295     0.32377 0.67623 758     1773    1.94
98      617     217     0.35168 0.64832 503     1016    1.65
99      400     152     0.37891 0.62109 319     513     1.28
100     248     100     0.40493 0.59507 194     194     0.78
