# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1978-1979.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2628    0.02628 0.97372 98686   4026338 40.26
1       97372   301     0.00309 0.99691 97222   3927652 40.34
2       97071   132     0.00136 0.99864 97005   3830430 39.46
3       96939   94      0.00097 0.99903 96892   3733425 38.51
4       96845   90      0.00093 0.99907 96800   3636533 37.55
5       96755   136     0.00141 0.99859 96693   3539733 36.58
6       96619   245     0.00254 0.99746 96508   3443040 35.64
7       96374   419     0.00434 0.99566 96178   3346531 34.72
8       95955   570     0.00594 0.99406 95676   3250353 33.87
9       95385   574     0.00602 0.99398 95093   3154677 33.07
10      94811   455     0.00480 0.99520 94574   3059584 32.27
11      94356   346     0.00367 0.99633 94176   2965010 31.42
12      94010   286     0.00304 0.99696 93864   2870834 30.54
13      93724   274     0.00292 0.99708 93588   2776970 29.63
14      93450   310     0.00332 0.99668 93300   2683382 28.71
15      93140   403     0.00432 0.99568 92949   2590081 27.81
16      92737   557     0.00600 0.99400 92474   2497133 26.93
17      92180   765     0.00830 0.99170 91816   2404659 26.09
18      91415   993     0.01087 0.98913 90936   2312843 25.30
19      90422   1185    0.01311 0.98689 89842   2221907 24.57
20      89237   1300    0.01457 0.98543 88594   2132065 23.89
21      87937   1361    0.01547 0.98453 87261   2043471 23.24
22      86576   1397    0.01613 0.98387 85881   1956210 22.60
23      85179   1434    0.01683 0.98317 84466   1870330 21.96
24      83745   1486    0.01774 0.98226 83007   1785864 21.33
25      82259   1554    0.01889 0.98111 81488   1702857 20.70
26      80705   1625    0.02013 0.97987 79898   1621369 20.09
27      79080   1686    0.02132 0.97868 78241   1541471 19.49
28      77394   1732    0.02238 0.97762 76531   1463230 18.91
29      75662   1761    0.02328 0.97672 74784   1386699 18.33
30      73901   1781    0.02410 0.97590 73012   1311915 17.75
31      72120   1806    0.02504 0.97496 71220   1238903 17.18
32      70314   1845    0.02624 0.97376 69396   1167683 16.61
33      68469   1904    0.02780 0.97220 67523   1098287 16.04
34      66565   1981    0.02977 0.97023 65581   1030765 15.49
35      64584   2071    0.03207 0.96793 63556   965183  14.94
36      62513   2158    0.03452 0.96548 61441   901627  14.42
37      60355   2228    0.03692 0.96308 59246   840187  13.92
38      58127   2275    0.03913 0.96087 56992   780941  13.44
39      55852   2296    0.04111 0.95889 54705   723949  12.96
40      53556   2299    0.04292 0.95708 52407   669244  12.50
41      51257   2296    0.04480 0.95520 50109   616837  12.03
42      48961   2297    0.04692 0.95308 47813   566728  11.58
43      46664   2308    0.04945 0.95055 45511   518915  11.12
44      44356   2327    0.05246 0.94754 43194   473404  10.67
45      42029   2351    0.05593 0.94407 40855   430210  10.24
46      39678   2371    0.05975 0.94025 38494   389354  9.81
47      37307   2380    0.06379 0.93621 36117   350861  9.40
48      34927   2372    0.06793 0.93207 33740   314744  9.01
49      32555   2347    0.07210 0.92790 31379   281004  8.63
50      30208   2305    0.07631 0.92369 29051   249625  8.26
51      27903   2250    0.08063 0.91937 26773   220574  7.91
52      25653   2184    0.08514 0.91486 24555   193801  7.55
53      23469   2111    0.08994 0.91006 22407   169246  7.21
54      21358   2032    0.09513 0.90487 20335   146838  6.88
55      19326   1948    0.10081 0.89919 18345   126503  6.55
56      17378   1861    0.10708 0.89292 16440   108158  6.22
57      15517   1769    0.11403 0.88597 14625   91718   5.91
58      13748   1673    0.12169 0.87831 12903   77094   5.61
59      12075   1571    0.13008 0.86992 11281   64190   5.32
60      10504   1461    0.13912 0.86088 9764    52910   5.04
61      9043    1344    0.14864 0.85136 8361    43146   4.77
62      7699    1220    0.15850 0.84150 7079    34785   4.52
63      6479    1093    0.16862 0.83138 5922    27706   4.28
64      5386    964     0.17902 0.82098 4893    21784   4.04
65      4422    840     0.18985 0.81015 3992    16891   3.82
66      3582    722     0.20143 0.79857 3212    12899   3.60
67      2860    612     0.21408 0.78592 2545    9687    3.39
68      2248    513     0.22809 0.77191 1984    7142    3.18
69      1735    423     0.24369 0.75631 1516    5159    2.97
70      1312    342     0.26102 0.73898 1135    3642    2.78
71      970     272     0.28007 0.71993 829     2507    2.59
72      698     210     0.30079 0.69921 588     1679    2.41
73      488     158     0.32311 0.67689 405     1091    2.24
74      330     114     0.34686 0.65314 270     686     2.08
75      216     80      0.37180 0.62820 174     416     1.93
76      136     54      0.39761 0.60239 107     242     1.78
77      82      35      0.42393 0.57607 63      135     1.65
78      47      21      0.45037 0.54963 36      72      1.54
79      26      12      0.47653 0.52347 19      37      1.41
80      14      7       0.50207 0.49793 10      17      1.23
81      7       4       0.52669 0.47331 5       7       1.01
82      3       2       0.55025 0.44975 2       2       0.76
83      1       1       0.57290 0.42710 0       0       0.42
84      0       0       0.59504 0.40496 0       0       0.00
85      0       0       0.61740 0.38260 0       0       0.00
86      0       0       0.64113 0.35887 0       0       0.00
87      0       0       0.66720 0.33280 0       0       0.00
88      0       0       0.69639 0.30361 0       0       0.00
89      0       0       0.72918 0.27082 0       0       0.00
90      0       0       0.76575 0.23425 0       0       0.00
91      0       0       0.80576 0.19424 0       0       0.00
92      0       0       0.84887 0.15113 0       0       0.00
93      0       0       0.89470 0.10530 0       0       0.00
94      0       0       0.94282 0.05718 0       0       0.00
95      0       0       0.99279 0.00721 0       0       0.00
96      0       0       1.00000 0.00000 0       0       0.00
97      0       0       1.00000 0.00000 0       0       0.00
98      0       0       1.00000 0.00000 0       0       0.00
99      0       0       1.00000 0.00000 0       0       0.00
100     0       0       1.00000 0.00000 0       0       0.00
