# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1978-1979.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2517    0.02517 0.97483 98742   6353611 63.54
1       97483   238     0.00244 0.99756 97364   6254869 64.16
2       97245   107     0.00110 0.99890 97192   6157505 63.32
3       97138   79      0.00081 0.99919 97099   6060314 62.39
4       97059   72      0.00074 0.99926 97023   5963215 61.44
5       96987   70      0.00072 0.99928 96952   5866192 60.48
6       96917   69      0.00072 0.99928 96882   5769241 59.53
7       96848   68      0.00071 0.99929 96814   5672358 58.57
8       96780   66      0.00068 0.99932 96747   5575544 57.61
9       96714   63      0.00065 0.99935 96682   5478798 56.65
10      96651   59      0.00061 0.99939 96621   5382115 55.69
11      96592   58      0.00060 0.99940 96563   5285494 54.72
12      96534   59      0.00061 0.99939 96505   5188931 53.75
13      96475   64      0.00066 0.99934 96444   5092426 52.78
14      96411   74      0.00076 0.99924 96375   4995983 51.82
15      96337   88      0.00092 0.99908 96294   4899608 50.86
16      96249   108     0.00113 0.99887 96197   4803313 49.91
17      96141   133     0.00138 0.99862 96077   4707116 48.96
18      96008   160     0.00166 0.99834 95930   4611040 48.03
19      95848   187     0.00195 0.99805 95757   4515109 47.11
20      95661   213     0.00223 0.99777 95557   4419353 46.20
21      95448   237     0.00249 0.99751 95331   4323796 45.30
22      95211   259     0.00272 0.99728 95083   4228465 44.41
23      94952   280     0.00295 0.99705 94814   4133381 43.53
24      94672   298     0.00315 0.99685 94525   4038568 42.66
25      94374   316     0.00335 0.99665 94217   3944043 41.79
26      94058   332     0.00353 0.99647 93893   3849826 40.93
27      93726   346     0.00370 0.99630 93554   3755933 40.07
28      93380   360     0.00386 0.99614 93201   3662378 39.22
29      93020   374     0.00402 0.99598 92834   3569177 38.37
30      92646   389     0.00420 0.99580 92453   3476343 37.52
31      92257   407     0.00441 0.99559 92055   3383890 36.68
32      91850   428     0.00466 0.99534 91638   3291835 35.84
33      91422   455     0.00498 0.99502 91197   3200197 35.00
34      90967   486     0.00534 0.99466 90727   3109000 34.18
35      90481   521     0.00576 0.99424 90223   3018273 33.36
36      89960   557     0.00619 0.99381 89684   2928050 32.55
37      89403   592     0.00662 0.99338 89110   2838366 31.75
38      88811   624     0.00703 0.99297 88502   2749256 30.96
39      88187   653     0.00740 0.99260 87863   2660754 30.17
40      87534   680     0.00777 0.99223 87196   2572891 29.39
41      86854   708     0.00815 0.99185 86503   2485695 28.62
42      86146   740     0.00859 0.99141 85779   2399193 27.85
43      85406   778     0.00911 0.99089 85020   2313414 27.09
44      84628   823     0.00972 0.99028 84221   2228393 26.33
45      83805   874     0.01043 0.98957 83372   2144173 25.59
46      82931   929     0.01121 0.98879 82471   2060800 24.85
47      82002   987     0.01203 0.98797 81513   1978329 24.13
48      81015   1044    0.01289 0.98711 80498   1896816 23.41
49      79971   1100    0.01376 0.98624 79426   1816318 22.71
50      78871   1155    0.01464 0.98536 78298   1736892 22.02
51      77716   1208    0.01554 0.98446 77116   1658594 21.34
52      76508   1261    0.01648 0.98352 75882   1581478 20.67
53      75247   1314    0.01746 0.98254 74595   1505596 20.01
54      73933   1369    0.01852 0.98148 73253   1431002 19.36
55      72564   1427    0.01966 0.98034 71856   1357748 18.71
56      71137   1489    0.02093 0.97907 70398   1285893 18.08
57      69648   1557    0.02235 0.97765 68875   1215495 17.45
58      68091   1630    0.02393 0.97607 67282   1146620 16.84
59      66461   1708    0.02570 0.97430 65614   1079337 16.24
60      64753   1788    0.02762 0.97238 63866   1013724 15.66
61      62965   1868    0.02967 0.97033 62038   949858  15.09
62      61097   1944    0.03182 0.96818 60131   887821  14.53
63      59153   2013    0.03403 0.96597 58152   827690  13.99
64      57140   2074    0.03630 0.96370 56108   769538  13.47
65      55066   2128    0.03864 0.96136 54006   713430  12.96
66      52938   2176    0.04110 0.95890 51854   659424  12.46
67      50762   2220    0.04373 0.95627 49656   607570  11.97
68      48542   2261    0.04658 0.95342 47415   557914  11.49
69      46281   2300    0.04970 0.95030 45134   510499  11.03
70      43981   2337    0.05313 0.94687 42815   465365  10.58
71      41644   2370    0.05690 0.94310 40462   422550  10.15
72      39274   2397    0.06104 0.93896 38078   382088  9.73
73      36877   2418    0.06556 0.93444 35669   344011  9.33
74      34459   2427    0.07042 0.92958 33246   308341  8.95
75      32032   2420    0.07556 0.92444 30821   275096  8.59
76      29612   2395    0.08087 0.91913 28411   244275  8.25
77      27217   2347    0.08624 0.91376 26039   215864  7.93
78      24870   2277    0.09155 0.90845 23725   189825  7.63
79      22593   2186    0.09675 0.90325 21492   166100  7.35
80      20407   2078    0.10183 0.89817 19359   144609  7.09
81      18329   1958    0.10683 0.89317 17340   125250  6.83
82      16371   1830    0.11181 0.88819 15445   107911  6.59
83      14541   1698    0.11679 0.88321 13681   92465   6.36
84      12843   1564    0.12179 0.87821 12050   78784   6.13
85      11279   1430    0.12679 0.87321 10553   66735   5.92
86      9849    1297    0.13173 0.86827 9190    56182   5.70
87      8552    1168    0.13657 0.86343 7957    46992   5.49
88      7384    1043    0.14128 0.85872 6852    39035   5.29
89      6341    925     0.14587 0.85413 5869    32182   5.08
90      5416    814     0.15034 0.84966 5000    26313   4.86
91      4602    712     0.15474 0.84526 4238    21313   4.63
92      3890    619     0.15913 0.84087 3573    17075   4.39
93      3271    535     0.16354 0.83646 2997    13502   4.13
94      2736    460     0.16803 0.83197 2500    10505   3.84
95      2276    393     0.17264 0.82736 2074    8005    3.52
96      1883    334     0.17740 0.82260 1711    5931    3.15
97      1549    282     0.18236 0.81764 1404    4220    2.72
98      1267    238     0.18754 0.81246 1145    2816    2.22
99      1029    199     0.19297 0.80703 926     1671    1.62
100     830     165     0.19867 0.80133 745     745     0.90
