# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2067    0.02067 0.97933 98967   7025890 70.26
1       97933   333     0.00340 0.99660 97767   6926924 70.73
2       97600   160     0.00164 0.99836 97520   6829157 69.97
3       97440   112     0.00115 0.99885 97384   6731637 69.08
4       97328   95      0.00098 0.99902 97281   6634253 68.16
5       97233   85      0.00088 0.99912 97190   6536973 67.23
6       97148   78      0.00080 0.99920 97108   6439783 66.29
7       97070   70      0.00072 0.99928 97034   6342674 65.34
8       97000   63      0.00065 0.99935 96968   6245640 64.39
9       96937   57      0.00059 0.99941 96908   6148672 63.43
10      96880   52      0.00054 0.99946 96854   6051764 62.47
11      96828   49      0.00051 0.99949 96803   5954910 61.50
12      96779   50      0.00051 0.99949 96754   5858107 60.53
13      96729   53      0.00055 0.99945 96703   5761353 59.56
14      96676   61      0.00063 0.99937 96646   5664650 58.59
15      96615   72      0.00075 0.99925 96580   5568003 57.63
16      96543   89      0.00092 0.99908 96500   5471423 56.67
17      96454   109     0.00113 0.99887 96401   5374923 55.73
18      96345   132     0.00137 0.99863 96281   5278522 54.79
19      96213   156     0.00162 0.99838 96137   5182241 53.86
20      96057   179     0.00186 0.99814 95969   5086104 52.95
21      95878   201     0.00209 0.99791 95779   4990135 52.05
22      95677   221     0.00231 0.99769 95568   4894355 51.15
23      95456   240     0.00251 0.99749 95337   4798787 50.27
24      95216   256     0.00269 0.99731 95089   4703450 49.40
25      94960   269     0.00283 0.99717 94826   4608361 48.53
26      94691   279     0.00294 0.99706 94552   4513534 47.67
27      94412   284     0.00300 0.99700 94270   4418982 46.81
28      94128   285     0.00303 0.99697 93985   4324712 45.95
29      93843   283     0.00302 0.99698 93701   4230726 45.08
30      93560   281     0.00301 0.99699 93419   4137025 44.22
31      93279   280     0.00301 0.99699 93139   4043606 43.35
32      92999   283     0.00304 0.99696 92858   3950467 42.48
33      92716   289     0.00312 0.99688 92572   3857609 41.61
34      92427   301     0.00325 0.99675 92278   3765036 40.74
35      92126   316     0.00343 0.99657 91969   3672759 39.87
36      91810   335     0.00365 0.99635 91644   3580789 39.00
37      91475   356     0.00389 0.99611 91299   3489145 38.14
38      91119   379     0.00416 0.99584 90931   3397846 37.29
39      90740   402     0.00443 0.99557 90541   3306915 36.44
40      90338   426     0.00472 0.99528 90127   3216374 35.60
41      89912   451     0.00502 0.99498 89689   3126247 34.77
42      89461   478     0.00534 0.99466 89224   3036558 33.94
43      88983   506     0.00569 0.99431 88732   2947334 33.12
44      88477   537     0.00606 0.99394 88211   2858602 32.31
45      87940   568     0.00646 0.99354 87659   2770390 31.50
46      87372   602     0.00689 0.99311 87074   2682732 30.70
47      86770   636     0.00733 0.99267 86455   2595658 29.91
48      86134   672     0.00780 0.99220 85801   2509203 29.13
49      85462   708     0.00829 0.99171 85111   2423402 28.36
50      84754   747     0.00881 0.99119 84384   2338291 27.59
51      84007   788     0.00938 0.99062 83617   2253907 26.83
52      83219   832     0.01000 0.99000 82807   2170291 26.08
53      82387   880     0.01069 0.98931 81951   2087484 25.34
54      81507   931     0.01143 0.98857 81046   2005533 24.61
55      80576   984     0.01222 0.98778 80088   1924487 23.88
56      79592   1038    0.01304 0.98696 79077   1844398 23.17
57      78554   1089    0.01386 0.98614 78014   1765321 22.47
58      77465   1138    0.01469 0.98531 76900   1687307 21.78
59      76327   1184    0.01551 0.98449 75739   1610407 21.10
60      75143   1228    0.01635 0.98365 74533   1534669 20.42
61      73915   1274    0.01724 0.98276 73282   1460136 19.75
62      72641   1324    0.01822 0.98178 71983   1386854 19.09
63      71317   1378    0.01932 0.98068 70633   1314870 18.44
64      69939   1439    0.02057 0.97943 69225   1244238 17.79
65      68500   1506    0.02198 0.97802 67753   1175013 17.15
66      66994   1578    0.02355 0.97645 66211   1107260 16.53
67      65416   1653    0.02527 0.97473 64596   1041049 15.91
68      63763   1731    0.02714 0.97286 62904   976453  15.31
69      62032   1809    0.02917 0.97083 61134   913549  14.73
70      60223   1888    0.03135 0.96865 59286   852415  14.15
71      58335   1965    0.03369 0.96631 57359   793129  13.60
72      56370   2041    0.03621 0.96379 55356   735771  13.05
