# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-MortalityRates-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1938    0.01938 0.98062 99031   5013385 50.13
1       98062   215     0.00219 0.99781 97955   4914354 50.11
2       97847   106     0.00108 0.99892 97794   4816400 49.22
3       97741   74      0.00076 0.99924 97704   4718606 48.28
4       97667   65      0.00067 0.99933 97635   4620902 47.31
5       97602   96      0.00098 0.99902 97558   4523267 46.34
6       97506   170     0.00174 0.99826 97429   4425709 45.39
7       97336   290     0.00298 0.99702 97200   4328280 44.47
8       97046   393     0.00405 0.99595 96854   4231080 43.60
9       96653   391     0.00405 0.99595 96454   4134226 42.77
10      96262   304     0.00316 0.99684 96103   4037772 41.95
11      95958   227     0.00237 0.99763 95840   3941669 41.08
12      95731   184     0.00192 0.99808 95637   3845829 40.17
13      95547   173     0.00181 0.99819 95461   3750193 39.25
14      95374   191     0.00200 0.99800 95281   3654732 38.32
15      95183   241     0.00253 0.99747 95068   3559451 37.40
16      94942   322     0.00339 0.99661 94789   3464383 36.49
17      94620   425     0.00450 0.99550 94416   3369594 35.61
18      94195   529     0.00562 0.99438 93938   3275178 34.77
19      93666   605     0.00646 0.99354 93368   3181240 33.96
20      93061   637     0.00684 0.99316 92744   3087872 33.18
21      92424   642     0.00695 0.99305 92103   2995128 32.41
22      91782   638     0.00695 0.99305 91463   2903025 31.63
23      91144   636     0.00698 0.99302 90826   2811562 30.85
24      90508   645     0.00713 0.99287 90187   2720736 30.06
25      89863   665     0.00740 0.99260 89533   2630549 29.27
26      89198   693     0.00777 0.99223 88854   2541016 28.49
27      88505   726     0.00820 0.99180 88145   2452162 27.71
28      87779   761     0.00867 0.99133 87401   2364018 26.93
29      87018   797     0.00915 0.99085 86622   2276616 26.16
30      86221   831     0.00964 0.99036 85808   2189994 25.40
31      85390   866     0.01014 0.98986 84960   2104185 24.64
32      84524   901     0.01066 0.98934 84076   2019225 23.89
33      83623   937     0.01121 0.98879 83158   1935149 23.14
34      82686   976     0.01180 0.98820 82201   1851991 22.40
35      81710   1019    0.01247 0.98753 81204   1769790 21.66
36      80691   1068    0.01324 0.98676 80161   1688586 20.93
37      79623   1126    0.01414 0.98586 79065   1608424 20.20
38      78497   1194    0.01521 0.98479 77906   1529359 19.48
39      77303   1271    0.01644 0.98356 76674   1451453 18.78
40      76032   1358    0.01786 0.98214 75361   1374779 18.08
41      74674   1451    0.01943 0.98057 73956   1299418 17.40
42      73223   1548    0.02114 0.97886 72457   1225462 16.74
43      71675   1646    0.02297 0.97703 70860   1153004 16.09
44      70029   1743    0.02490 0.97510 69166   1082144 15.45
45      68286   1838    0.02692 0.97308 67375   1012979 14.83
46      66448   1930    0.02905 0.97095 65491   945604  14.23
47      64518   2020    0.03130 0.96870 63515   880113  13.64
48      62498   2107    0.03371 0.96629 61452   816598  13.07
49      60391   2193    0.03632 0.96368 59302   755146  12.50
50      58198   2280    0.03917 0.96083 57065   695845  11.96
51      55918   2368    0.04235 0.95765 54741   638779  11.42
52      53550   2458    0.04591 0.95409 52329   584038  10.91
53      51092   2548    0.04988 0.95012 49825   531709  10.41
54      48544   2633    0.05424 0.94576 47234   481884  9.93
55      45911   2704    0.05890 0.94110 44564   434650  9.47
56      43207   2751    0.06366 0.93634 41834   390086  9.03
57      40456   2765    0.06836 0.93164 39073   348252  8.61
58      37691   2747    0.07288 0.92712 36315   309179  8.20
59      34944   2699    0.07725 0.92275 33590   272864  7.81
60      32245   2632    0.08163 0.91837 30923   239274  7.42
61      29613   2559    0.08641 0.91359 28327   208351  7.04
62      27054   2487    0.09193 0.90807 25805   180024  6.65
63      24567   2419    0.09848 0.90152 23352   154219  6.28
64      22148   2353    0.10624 0.89376 20966   130867  5.91
65      19795   2282    0.11526 0.88474 18647   109901  5.55
66      17513   2195    0.12535 0.87465 16407   91254   5.21
67      15318   2088    0.13629 0.86371 14264   74847   4.89
68      13230   1957    0.14793 0.85207 12240   60583   4.58
69      11273   1806    0.16017 0.83983 10357   48343   4.29
70      9467    1638    0.17306 0.82694 8634    37986   4.01
71      7829    1463    0.18686 0.81314 7083    29352   3.75
72      6366    1285    0.20183 0.79817 5709    22270   3.50
73      5081    1108    0.21815 0.78185 4513    16561   3.26
74      3973    937     0.23595 0.76405 3491    12048   3.03
75      3036    775     0.25517 0.74483 2635    8558    2.82
76      2261    623     0.27555 0.72445 1937    5922    2.62
77      1638    486     0.29688 0.70312 1384    3985    2.43
78      1152    368     0.31904 0.68096 959     2600    2.26
79      784     268     0.34211 0.65789 643     1642    2.09
80      516     189     0.36645 0.63355 416     999     1.94
81      327     128     0.39280 0.60720 259     583     1.78
82      199     84      0.42189 0.57811 154     325     1.63
83      115     52      0.45442 0.54558 87      171     1.49
84      63      31      0.49100 0.50900 46      84      1.33
85      32      17      0.53203 0.46797 23      38      1.19
86      15      9       0.57762 0.42238 10      15      1.03
87      6       4       0.62778 0.37222 4       5       0.92
88      2       1       0.68248 0.31752 1       2       0.92
89      1       1       0.74156 0.25844 0       0       0.46
90      0       0       0.80477 0.19523 0       0       0.00
91      0       0       0.87173 0.12827 0       0       0.00
92      0       0       0.94195 0.05805 0       0       0.00
93      0       0       1.00000 0.00000 0       0       0.00
94      0       0       1.00000 0.00000 0       0       0.00
95      0       0       1.00000 0.00000 0       0       0.00
96      0       0       1.00000 0.00000 0       0       0.00
97      0       0       1.00000 0.00000 0       0       0.00
98      0       0       1.00000 0.00000 0       0       0.00
99      0       0       1.00000 0.00000 0       0       0.00
100     0       0       1.00000 0.00000 0       0       0.00
