# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1883    0.01883 0.98117 99059   7150709 71.51
1       98117   166     0.00169 0.99831 98034   7051651 71.87
2       97951   83      0.00085 0.99915 97910   6953617 70.99
3       97868   58      0.00059 0.99941 97839   6855707 70.05
4       97810   53      0.00054 0.99946 97784   6757868 69.09
5       97757   51      0.00052 0.99948 97731   6660085 68.13
6       97706   50      0.00051 0.99949 97681   6562354 67.16
7       97656   48      0.00049 0.99951 97632   6464673 66.20
8       97608   45      0.00047 0.99953 97585   6367041 65.23
9       97563   42      0.00043 0.99957 97542   6269456 64.26
10      97521   39      0.00040 0.99960 97501   6171914 63.29
11      97482   37      0.00038 0.99962 97463   6074413 62.31
12      97445   38      0.00039 0.99961 97426   5976949 61.34
13      97407   41      0.00042 0.99958 97387   5879523 60.36
14      97366   46      0.00048 0.99952 97344   5782136 59.39
15      97320   55      0.00057 0.99943 97293   5684793 58.41
16      97265   66      0.00068 0.99932 97233   5587499 57.45
17      97199   79      0.00081 0.99919 97161   5490266 56.48
18      97120   90      0.00093 0.99907 97076   5393106 55.53
19      97030   100     0.00103 0.99897 96981   5296030 54.58
20      96930   106     0.00109 0.99891 96877   5199049 53.64
21      96824   110     0.00113 0.99887 96769   5102172 52.70
22      96714   112     0.00116 0.99884 96658   5005402 51.75
23      96602   113     0.00117 0.99883 96546   4908744 50.81
24      96489   114     0.00119 0.99881 96432   4812199 49.87
25      96375   117     0.00121 0.99879 96317   4715767 48.93
26      96258   120     0.00125 0.99875 96198   4619450 47.99
27      96138   126     0.00131 0.99869 96076   4523252 47.05
28      96012   133     0.00139 0.99861 95946   4427176 46.11
29      95879   143     0.00149 0.99851 95808   4331230 45.17
30      95736   154     0.00161 0.99839 95660   4235421 44.24
31      95582   166     0.00174 0.99826 95500   4139761 43.31
32      95416   179     0.00188 0.99812 95328   4044261 42.39
33      95237   191     0.00201 0.99799 95143   3948934 41.46
