# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-AbridgedMortalityTable-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1770    0.01770 0.98230 99115   7505430 75.05
1       98230   309     0.00315 0.99685 98076   7406315 75.40
2       97921   140     0.00143 0.99857 97851   7308240 74.63
3       97781   91      0.00093 0.99907 97736   7210389 73.74
4       97690   78      0.00080 0.99920 97651   7112653 72.81
5       97612   68      0.00069 0.99931 97577   7015002 71.87
6       97544   59      0.00061 0.99939 97514   6917425 70.92
7       97485   51      0.00053 0.99947 97459   6819911 69.96
8       97434   44      0.00046 0.99954 97412   6722453 68.99
9       97390   39      0.00040 0.99960 97370   6625041 68.03
10      97351   35      0.00036 0.99964 97333   6527671 67.05
11      97316   33      0.00034 0.99966 97299   6430338 66.08
12      97283   34      0.00035 0.99965 97266   6333038 65.10
13      97249   37      0.00038 0.99962 97231   6235772 64.12
14      97212   42      0.00044 0.99956 97192   6138541 63.15
15      97170   51      0.00052 0.99948 97145   6041350 62.17
16      97119   61      0.00063 0.99937 97089   5944204 61.21
17      97058   72      0.00074 0.99926 97023   5847115 60.24
18      96986   81      0.00083 0.99917 96946   5750092 59.29
19      96905   87      0.00090 0.99910 96862   5653146 58.34
20      96818   90      0.00093 0.99907 96773   5556284 57.39
21      96728   91      0.00094 0.99906 96683   5459511 56.44
22      96637   93      0.00096 0.99904 96591   5362828 55.49
23      96544   94      0.00098 0.99902 96497   5266238 54.55
24      96450   98      0.00101 0.99899 96401   5169741 53.60
25      96352   102     0.00106 0.99894 96301   5073339 52.65
26      96250   106     0.00111 0.99889 96197   4977038 51.71
27      96144   111     0.00115 0.99885 96089   4880841 50.77
28      96033   115     0.00119 0.99881 95976   4784752 49.82
29      95918   118     0.00123 0.99877 95859   4688776 48.88
30      95800   121     0.00126 0.99874 95740   4592917 47.94
31      95679   125     0.00130 0.99870 95617   4497177 47.00
32      95554   129     0.00135 0.99865 95490   4401560 46.06
33      95425   135     0.00142 0.99858 95358   4306070 45.13
34      95290   143     0.00150 0.99850 95219   4210712 44.19
35      95147   152     0.00160 0.99840 95072   4115493 43.25
36      94995   163     0.00172 0.99828 94914   4020421 42.32
37      94832   175     0.00185 0.99815 94746   3925506 41.39
38      94657   188     0.00199 0.99801 94564   3830761 40.47
39      94469   202     0.00214 0.99786 94369   3736197 39.55
40      94267   216     0.00230 0.99770 94160   3641828 38.63
41      94051   232     0.00246 0.99754 93936   3547667 37.72
42      93819   248     0.00264 0.99736 93696   3453731 36.81
43      93571   265     0.00283 0.99717 93440   3360035 35.91
44      93306   283     0.00304 0.99696 93166   3266595 35.01
45      93023   303     0.00326 0.99674 92873   3173429 34.11
46      92720   325     0.00351 0.99649 92559   3080555 33.22
47      92395   349     0.00378 0.99622 92223   2987996 32.34
48      92046   376     0.00408 0.99592 91860   2895773 31.46
49      91670   405     0.00441 0.99559 91470   2803913 30.59
50      91265   436     0.00478 0.99522 91050   2712443 29.72
51      90829   469     0.00517 0.99483 90597   2621393 28.86
52      90360   504     0.00558 0.99442 90111   2530796 28.01
53      89856   541     0.00602 0.99398 89589   2440685 27.16
54      89315   579     0.00648 0.99352 89029   2351096 26.32
55      88736   619     0.00697 0.99303 88430   2262068 25.49
56      88117   660     0.00749 0.99251 87791   2173638 24.67
57      87457   703     0.00804 0.99196 87109   2085847 23.85
58      86754   749     0.00863 0.99137 86384   1998738 23.04
59      86005   799     0.00929 0.99071 85610   1912355 22.24
60      85206   854     0.01002 0.98998 84784   1826745 21.44
61      84352   915     0.01085 0.98915 83900   1741961 20.65
62      83437   985     0.01180 0.98820 82951   1658061 19.87
63      82452   1063    0.01290 0.98710 81927   1575110 19.10
64      81389   1152    0.01416 0.98584 80821   1493183 18.35
65      80237   1251    0.01559 0.98441 79620   1412362 17.60
66      78986   1357    0.01718 0.98282 78317   1332742 16.87
67      77629   1469    0.01892 0.98108 76904   1254425 16.16
68      76160   1584    0.02080 0.97920 75378   1177521 15.46
69      74576   1702    0.02283 0.97717 73735   1102144 14.78
70      72874   1823    0.02501 0.97499 71973   1028409 14.11
71      71051   1946    0.02739 0.97261 70088   956436  13.46
72      69105   2074    0.03001 0.96999 68079   886348  12.83
73      67031   2206    0.03290 0.96710 65939   818269  12.21
74      64825   2339    0.03608 0.96392 63667   752330  11.61
75      62486   2470    0.03953 0.96047 61262   688663  11.02
76      60016   2593    0.04321 0.95679 58729   627402  10.45
77      57423   2704    0.04708 0.95292 56080   568672  9.90
78      54719   2798    0.05113 0.94887 53327   512593  9.37
79      51921   2875    0.05538 0.94462 50489   459266  8.85
80      49046   2939    0.05993 0.94007 47582   408776  8.33
81      46107   2997    0.06499 0.93501 44613   361195  7.83
