# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-MortalityRates-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1633    0.01633 0.98367 99184   5735514 57.36
1       98367   196     0.00199 0.99801 98269   5636330 57.30
2       98171   95      0.00097 0.99903 98124   5538061 56.41
3       98076   62      0.00063 0.99937 98045   5439938 55.47
4       98014   54      0.00055 0.99945 97987   5341893 54.50
5       97960   76      0.00078 0.99922 97925   5243906 53.53
6       97884   130     0.00133 0.99867 97825   5145980 52.57
7       97754   211     0.00216 0.99784 97655   5048156 51.64
8       97543   277     0.00284 0.99716 97407   4950501 50.75
9       97266   271     0.00279 0.99721 97128   4853094 49.90
10      96995   212     0.00218 0.99782 96884   4755966 49.03
11      96783   159     0.00164 0.99836 96700   4659082 48.14
12      96624   129     0.00134 0.99866 96558   4562382 47.22
13      96495   120     0.00125 0.99875 96435   4465824 46.28
14      96375   130     0.00135 0.99865 96312   4369389 45.34
15      96245   158     0.00164 0.99836 96169   4273078 44.40
16      96087   200     0.00208 0.99792 95991   4176909 43.47
17      95887   249     0.00259 0.99741 95766   4080918 42.56
18      95638   289     0.00303 0.99697 95496   3985152 41.67
19      95349   310     0.00325 0.99675 95195   3889656 40.79
20      95039   310     0.00326 0.99674 94884   3794461 39.93
21      94729   299     0.00316 0.99684 94579   3699577 39.05
22      94430   288     0.00305 0.99695 94285   3604999 38.18
23      94142   283     0.00300 0.99700 94000   3510713 37.29
24      93859   285     0.00303 0.99697 93717   3416713 36.40
25      93574   294     0.00315 0.99685 93428   3322996 35.51
26      93280   310     0.00332 0.99668 93126   3229568 34.62
27      92970   329     0.00354 0.99646 92807   3136441 33.74
28      92641   351     0.00379 0.99621 92467   3043634 32.85
29      92290   374     0.00405 0.99595 92105   2951167 31.98
30      91916   398     0.00433 0.99567 91719   2859062 31.11
31      91518   423     0.00462 0.99538 91309   2767343 30.24
32      91095   449     0.00493 0.99507 90873   2676034 29.38
33      90646   476     0.00526 0.99474 90410   2585162 28.52
34      90170   506     0.00562 0.99438 89920   2494751 27.67
35      89664   539     0.00602 0.99398 89397   2404832 26.82
36      89125   577     0.00647 0.99353 88840   2315434 25.98
37      88548   619     0.00699 0.99301 88242   2226594 25.15
38      87929   668     0.00759 0.99241 87599   2138352 24.32
39      87261   723     0.00828 0.99172 86904   2050753 23.50
40      86538   784     0.00905 0.99095 86151   1963848 22.69
41      85754   849     0.00990 0.99010 85335   1877697 21.90
42      84905   918     0.01081 0.98919 84452   1792362 21.11
43      83987   989     0.01178 0.98822 83499   1707910 20.34
44      82998   1062    0.01280 0.98720 82473   1624412 19.57
45      81936   1138    0.01389 0.98611 81374   1541938 18.82
46      80798   1218    0.01507 0.98493 80196   1460565 18.08
47      79580   1304    0.01639 0.98361 78936   1380369 17.35
48      78276   1398    0.01786 0.98214 77585   1301433 16.63
49      76878   1502    0.01953 0.98047 76136   1223848 15.92
50      75376   1614    0.02142 0.97858 74579   1147712 15.23
51      73762   1736    0.02353 0.97647 72904   1073133 14.55
52      72026   1864    0.02588 0.97412 71105   1000229 13.89
