# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-MortalityRates-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1575    0.01575 0.98425 99213   5798441 57.98
1       98425   149     0.00151 0.99849 98351   5699228 57.90
2       98276   77      0.00078 0.99922 98238   5600878 56.99
3       98199   49      0.00050 0.99950 98175   5502640 56.04
4       98150   44      0.00045 0.99955 98128   5404466 55.06
5       98106   63      0.00065 0.99935 98077   5306338 54.09
6       98043   109     0.00111 0.99889 97993   5208260 53.12
7       97934   178     0.00182 0.99818 97850   5110267 52.18
8       97756   238     0.00243 0.99757 97640   5012417 51.27
9       97518   238     0.00244 0.99756 97397   4914777 50.40
10      97280   190     0.00195 0.99805 97181   4817380 49.52
11      97090   145     0.00150 0.99850 97015   4720199 48.62
12      96945   119     0.00123 0.99877 96884   4623185 47.69
13      96826   111     0.00114 0.99886 96771   4526301 46.75
14      96715   119     0.00123 0.99877 96657   4429530 45.80
15      96596   142     0.00147 0.99853 96527   4332873 44.86
16      96454   177     0.00184 0.99816 96369   4236346 43.92
17      96277   217     0.00225 0.99775 96172   4139977 43.00
18      96060   250     0.00260 0.99740 95937   4043806 42.10
19      95810   267     0.00278 0.99722 95677   3947869 41.21
20      95543   266     0.00278 0.99722 95410   3852191 40.32
21      95277   257     0.00270 0.99730 95148   3756782 39.43
22      95020   248     0.00261 0.99739 94895   3661634 38.54
23      94772   243     0.00257 0.99743 94650   3566739 37.63
24      94529   244     0.00258 0.99742 94407   3472088 36.73
25      94285   252     0.00267 0.99733 94160   3377681 35.82
26      94033   265     0.00282 0.99718 93902   3283521 34.92
27      93768   282     0.00301 0.99699 93629   3189619 34.02
28      93486   303     0.00324 0.99676 93336   3095991 33.12
29      93183   327     0.00351 0.99649 93022   3002654 32.22
