# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-MortalityRates-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2350    0.02350 0.97650 98825   4116545 41.17
1       97650   355     0.00364 0.99636 97473   4017720 41.14
2       97295   179     0.00184 0.99816 97206   3920247 40.29
3       97116   133     0.00137 0.99863 97050   3823042 39.37
4       96983   112     0.00115 0.99885 96927   3725992 38.42
5       96871   158     0.00163 0.99837 96799   3629065 37.46
6       96713   278     0.00287 0.99713 96587   3532266 36.52
7       96435   472     0.00490 0.99510 96214   3435679 35.63
8       95963   640     0.00667 0.99333 95650   3339465 34.80
9       95323   636     0.00667 0.99333 94999   3243815 34.03
10      94687   491     0.00519 0.99481 94430   3148817 33.26
11      94196   362     0.00384 0.99616 94007   3054387 32.43
12      93834   288     0.00307 0.99693 93686   2960380 31.55
13      93546   265     0.00283 0.99717 93413   2866694 30.64
14      93281   286     0.00307 0.99693 93142   2773281 29.73
15      92995   357     0.00384 0.99616 92825   2680139 28.82
16      92638   479     0.00518 0.99482 92411   2587314 27.93
17      92159   654     0.00710 0.99290 91848   2494903 27.07
18      91505   866     0.00947 0.99053 91090   2403055 26.26
19      90639   1080    0.01192 0.98808 90115   2311965 25.51
20      89559   1259    0.01406 0.98594 88943   2221850 24.81
21      88300   1404    0.01590 0.98410 87609   2132907 24.16
22      86896   1521    0.01750 0.98250 86145   2045298 23.54
23      85375   1621    0.01898 0.98102 84572   1959154 22.95
24      83754   1709    0.02041 0.97959 82906   1874581 22.38
25      82045   1784    0.02174 0.97826 81158   1791675 21.84
26      80261   1830    0.02280 0.97720 79348   1710517 21.31
27      78431   1838    0.02344 0.97656 77511   1631169 20.80
28      76593   1811    0.02364 0.97636 75684   1553658 20.28
29      74782   1756    0.02348 0.97652 73899   1477973 19.76
30      73026   1689    0.02314 0.97686 72176   1404075 19.23
31      71337   1632    0.02288 0.97712 70517   1331898 18.67
32      69705   1596    0.02289 0.97711 68905   1261381 18.10
33      68109   1586    0.02328 0.97672 67316   1192476 17.51
34      66523   1604    0.02411 0.97589 65724   1125160 16.91
35      64919   1646    0.02536 0.97464 64100   1059436 16.32
36      63273   1706    0.02696 0.97304 62425   995336  15.73
37      61567   1775    0.02883 0.97117 60685   932911  15.15
38      59792   1848    0.03091 0.96909 58874   872225  14.59
39      57944   1921    0.03315 0.96685 56989   813351  14.04
40      56023   1991    0.03553 0.96447 55033   756362  13.50
41      54032   2056    0.03806 0.96194 53009   701328  12.98
42      51976   2118    0.04075 0.95925 50922   648319  12.47
43      49858   2173    0.04359 0.95641 48776   597397  11.98
44      47685   2221    0.04658 0.95342 46578   548621  11.51
45      45464   2259    0.04968 0.95032 44337   502043  11.04
46      43205   2284    0.05286 0.94714 42065   457706  10.59
47      40921   2295    0.05609 0.94391 39774   415642  10.16
48      38626   2292    0.05934 0.94066 37479   375868  9.73
49      36334   2277    0.06267 0.93733 35194   338389  9.31
50      34057   2253    0.06615 0.93385 32928   303195  8.90
51      31804   2224    0.06992 0.93008 30689   270267  8.50
52      29580   2192    0.07412 0.92588 28481   239577  8.10
53      27388   2160    0.07886 0.92114 26305   211096  7.71
54      25228   2126    0.08425 0.91575 24162   184790  7.32
55      23102   2088    0.09036 0.90964 22055   160628  6.95
56      21014   2043    0.09721 0.90279 19988   138574  6.59
57      18971   1988    0.10477 0.89523 17972   118586  6.25
58      16983   1919    0.11301 0.88699 16017   100614  5.92
59      15064   1836    0.12185 0.87815 14138   84597   5.62
60      13228   1735    0.13115 0.86885 12351   70458   5.33
61      11493   1617    0.14069 0.85931 10674   58107   5.06
62      9876    1484    0.15030 0.84970 9123    47433   4.80
63      8392    1341    0.15985 0.84015 7709    38310   4.57
64      7051    1194    0.16931 0.83069 6442    30601   4.34
65      5857    1047    0.17880 0.82120 5322    24159   4.12
66      4810    907     0.18861 0.81139 4345    18838   3.92
67      3903    777     0.19904 0.80096 3504    14492   3.71
68      3126    657     0.21033 0.78967 2788    10988   3.52
69      2469    550     0.22266 0.77734 2186    8200    3.32
70      1919    453     0.23615 0.76385 1685    6015    3.13
71      1466    368     0.25075 0.74925 1275    4330    2.95
72      1098    293     0.26642 0.73358 946     3055    2.78
73      805     228     0.28309 0.71691 686     2109    2.62
74      577     173     0.30064 0.69936 486     1423    2.47
75      404     129     0.31891 0.68109 336     936     2.32
76      275     93      0.33769 0.66231 226     600     2.18
77      182     65      0.35689 0.64311 147     374     2.06
78      117     44      0.37653 0.62347 94      227     1.94
79      73      29      0.39683 0.60317 57      134     1.83
80      44      18      0.41829 0.58171 34      76      1.73
81      26      11      0.44172 0.55828 20      42      1.61
82      15      7       0.46787 0.53213 11      22      1.45
83      8       4       0.49744 0.50256 6       11      1.32
84      4       2       0.53098 0.46902 3       5       1.20
85      2       1       0.56882 0.43118 1       2       0.96
86      1       1       0.61099 0.38901 0       0       0.46
87      0       0       0.65746 0.34254 0       0       0.00
88      0       0       0.70812 0.29188 0       0       0.00
89      0       0       0.76279 0.23721 0       0       0.00
90      0       0       0.82120 0.17880 0       0       0.00
91      0       0       0.88297 0.11703 0       0       0.00
92      0       0       0.94762 0.05238 0       0       0.00
93      0       0       1.00000 0.00000 0       0       0.00
94      0       0       1.00000 0.00000 0       0       0.00
95      0       0       1.00000 0.00000 0       0       0.00
96      0       0       1.00000 0.00000 0       0       0.00
97      0       0       1.00000 0.00000 0       0       0.00
98      0       0       1.00000 0.00000 0       0       0.00
99      0       0       1.00000 0.00000 0       0       0.00
100     0       0       1.00000 0.00000 0       0       0.00
