# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-MortalityRates-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2228    0.02228 0.97772 98886   4486924 44.87
1       97772   234     0.00239 0.99761 97655   4388038 44.88
2       97538   116     0.00119 0.99881 97480   4290383 43.99
3       97422   86      0.00088 0.99912 97379   4192903 43.04
4       97336   76      0.00078 0.99922 97298   4095524 42.08
5       97260   113     0.00117 0.99883 97209   3998226 41.11
6       97147   208     0.00214 0.99786 97054   3901017 40.16
7       96939   366     0.00377 0.99623 96769   3803964 39.24
8       96573   508     0.00526 0.99474 96325   3707195 38.39
9       96065   510     0.00531 0.99469 95805   3610870 37.59
10      95555   395     0.00413 0.99587 95348   3515065 36.79
11      95160   292     0.00307 0.99693 95007   3419716 35.94
12      94868   236     0.00249 0.99751 94747   3324709 35.05
13      94632   222     0.00234 0.99766 94522   3229962 34.13
14      94410   248     0.00262 0.99738 94290   3135440 33.21
15      94162   319     0.00339 0.99661 94010   3041150 32.30
16      93843   437     0.00465 0.99535 93636   2947140 31.41
17      93406   593     0.00635 0.99365 93123   2853504 30.55
18      92813   758     0.00817 0.99183 92446   2760381 29.74
19      92055   887     0.00963 0.99037 91620   2667935 28.98
20      91168   950     0.01042 0.98958 90696   2576316 28.26
21      90218   967     0.01072 0.98928 89735   2485619 27.55
22      89251   964     0.01080 0.98920 88769   2395884 26.84
23      88287   959     0.01086 0.98914 87808   2307115 26.13
24      87328   965     0.01105 0.98895 86847   2219308 25.41
25      86363   986     0.01141 0.98859 85872   2132461 24.69
26      85377   1017    0.01191 0.98809 84871   2046589 23.97
27      84360   1057    0.01253 0.98747 83835   1961718 23.25
28      83303   1101    0.01322 0.98678 82756   1877883 22.54
29      82202   1149    0.01397 0.98603 81631   1795126 21.84
30      81053   1196    0.01475 0.98525 80459   1713495 21.14
31      79857   1242    0.01555 0.98445 79240   1633036 20.45
32      78615   1285    0.01634 0.98366 77976   1553796 19.76
33      77330   1325    0.01714 0.98286 76671   1475820 19.08
34      76005   1366    0.01797 0.98203 75325   1399149 18.41
35      74639   1408    0.01887 0.98113 73939   1323824 17.74
36      73231   1459    0.01992 0.98008 72506   1249885 17.07
37      71772   1521    0.02120 0.97880 71017   1177379 16.40
38      70251   1598    0.02275 0.97725 69459   1106362 15.75
39      68653   1690    0.02461 0.97539 67816   1036903 15.10
40      66963   1795    0.02680 0.97320 66075   969086  14.47
