# # Таблица построена модулем rtss.data.mortality.synthetic.MortalityTableGKS по данным в mortality_tables/RSFSR/RSFSR-MortalityRates-GKS-1986-1987.xlsx
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2176    0.02176 0.97824 98912   4611559 46.12
1       97824   182     0.00186 0.99814 97733   4512647 46.13
2       97642   91      0.00093 0.99907 97597   4414914 45.22
3       97551   66      0.00068 0.99932 97518   4317317 44.26
4       97485   61      0.00063 0.99937 97455   4219799 43.29
5       97424   95      0.00097 0.99903 97381   4122345 42.31
6       97329   178     0.00183 0.99817 97249   4024963 41.35
7       97151   320     0.00329 0.99671 97002   3927714 40.43
8       96831   452     0.00467 0.99533 96611   3830711 39.56
9       96379   460     0.00478 0.99522 96145   3734101 38.74
10      95919   360     0.00376 0.99624 95731   3637955 37.93
11      95559   269     0.00281 0.99719 95419   3542224 37.07
12      95290   219     0.00229 0.99771 95178   3446806 36.17
13      95071   207     0.00218 0.99782 94968   3351628 35.25
14      94864   233     0.00246 0.99754 94751   3256660 34.33
15      94631   302     0.00319 0.99681 94488   3161908 33.41
16      94329   414     0.00439 0.99561 94133   3067421 32.52
17      93915   558     0.00595 0.99405 93648   2973288 31.66
18      93357   702     0.00752 0.99248 93016   2879640 30.85
19      92655   801     0.00865 0.99135 92260   2786624 30.08
20      91854   833     0.00907 0.99093 91438   2694364 29.33
21      91021   824     0.00905 0.99095 90608   2602926 28.60
22      90197   799     0.00886 0.99114 89796   2512318 27.85
23      89398   778     0.00871 0.99129 89008   2422522 27.10
24      88620   772     0.00871 0.99129 88234   2333514 26.33
25      87848   783     0.00892 0.99108 87458   2245280 25.56
26      87065   810     0.00931 0.99069 86663   2157822 24.78
27      86255   851     0.00987 0.99013 85833   2071159 24.01
28      85404   904     0.01058 0.98942 84957   1985326 23.25
