# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  20587   0.20587 0.79413 89707   3511623 35.12
1       79413   8940    0.11257 0.88743 74943   3421917 43.09
2       70473   4607    0.06538 0.93462 68170   3346974 47.49
3       65866   2710    0.04114 0.95886 64511   3278804 49.78
4       63156   1767    0.02797 0.97203 62273   3214293 50.89
5       61389   1239    0.02019 0.97981 60734   3152021 51.35
6       60150   906     0.01507 0.98493 59674   3091287 51.39
7       59244   679     0.01146 0.98854 58888   3031614 51.17
8       58565   518     0.00885 0.99115 58295   2972725 50.76
9       58047   405     0.00697 0.99303 57837   2914431 50.21
10      57642   326     0.00566 0.99434 57474   2856594 49.56
11      57316   275     0.00479 0.99521 57175   2799121 48.84
12      57041   243     0.00426 0.99574 56918   2741946 48.07
13      56798   227     0.00400 0.99600 56684   2685028 47.27
14      56571   223     0.00394 0.99606 56460   2628344 46.46
15      56348   228     0.00405 0.99595 56235   2571885 45.64
16      56120   242     0.00430 0.99570 56000   2515650 44.83
17      55878   261     0.00467 0.99533 55749   2459650 44.02
18      55617   285     0.00512 0.99488 55477   2403900 43.22
19      55332   311     0.00562 0.99438 55179   2348424 42.44
20      55021   338     0.00614 0.99386 54854   2293245 41.68
21      54683   363     0.00664 0.99336 54503   2238391 40.93
22      54320   385     0.00708 0.99292 54129   2183887 40.20
23      53935   403     0.00747 0.99253 53735   2129758 39.49
24      53532   416     0.00778 0.99222 53325   2076023 38.78
25      53116   427     0.00805 0.99195 52903   2022698 38.08
26      52689   437     0.00830 0.99170 52471   1969795 37.39
27      52252   448     0.00857 0.99143 52029   1917324 36.69
28      51804   460     0.00887 0.99113 51575   1865295 36.01
29      51344   473     0.00922 0.99078 51109   1813720 35.32
30      50871   487     0.00958 0.99042 50629   1762611 34.65
31      50384   499     0.00991 0.99009 50135   1711983 33.98
32      49885   508     0.01018 0.98982 49632   1661847 33.31
33      49377   512     0.01038 0.98962 49121   1612216 32.65
34      48865   513     0.01050 0.98950 48609   1563094 31.99
35      48352   512     0.01058 0.98942 48096   1514486 31.32
36      47840   510     0.01067 0.98933 47585   1466390 30.65
37      47330   511     0.01080 0.98920 47075   1418805 29.98
38      46819   514     0.01098 0.98902 46562   1371730 29.30
39      46305   519     0.01121 0.98879 46046   1325168 28.62
40      45786   527     0.01152 0.98848 45523   1279122 27.94
41      45259   535     0.01182 0.98818 44992   1233599 27.26
42      44724   542     0.01212 0.98788 44454   1188607 26.58
43      44182   548     0.01241 0.98759 43909   1144153 25.90
44      43634   555     0.01271 0.98729 43357   1100245 25.22
45      43079   560     0.01300 0.98700 42800   1056888 24.53
46      42519   568     0.01337 0.98663 42236   1014088 23.85
47      41951   579     0.01380 0.98620 41663   971852  23.17
48      41372   592     0.01431 0.98569 41077   930190  22.48
49      40780   608     0.01492 0.98508 40477   889113  21.80
50      40172   622     0.01550 0.98450 39863   848635  21.13
51      39550   645     0.01631 0.98369 39230   808773  20.45
52      38905   670     0.01722 0.98278 38572   769543  19.78
53      38235   697     0.01824 0.98176 37889   730971  19.12
54      37538   727     0.01937 0.98063 37177   693082  18.46
55      36811   754     0.02049 0.97951 36437   655905  17.82
56      36057   789     0.02189 0.97811 35666   619469  17.18
57      35268   827     0.02345 0.97655 34858   583803  16.55
58      34441   868     0.02520 0.97480 34011   548946  15.94
59      33573   911     0.02715 0.97285 33121   514935  15.34
60      32662   956     0.02926 0.97074 32188   481814  14.75
61      31706   1000    0.03154 0.96846 31210   449626  14.18
62      30706   1043    0.03396 0.96604 30188   418417  13.63
63      29663   1083    0.03650 0.96350 29125   388229  13.09
64      28580   1120    0.03917 0.96083 28023   359104  12.56
65      27460   1152    0.04196 0.95804 26887   331081  12.06
66      26308   1185    0.04506 0.95494 25718   304194  11.56
67      25123   1218    0.04850 0.95150 24517   278476  11.08
68      23905   1251    0.05232 0.94768 23282   253959  10.62
69      22654   1281    0.05655 0.94345 22016   230677  10.18
70      21373   1301    0.06088 0.93912 20724   208662  9.76
71      20072   1319    0.06569 0.93431 19413   187937  9.36
72      18753   1324    0.07063 0.92937 18091   168524  8.99
73      17429   1317    0.07557 0.92443 16769   150433  8.63
74      16112   1297    0.08049 0.91951 15461   133664  8.30
75      14815   1266    0.08543 0.91457 14179   118202  7.98
76      13549   1225    0.09044 0.90956 12933   104023  7.68
77      12324   1179    0.09567 0.90433 11730   91090   7.39
78      11145   1127    0.10117 0.89883 10577   79360   7.12
79      10018   1071    0.10695 0.89305 9478    68783   6.87
80      8947    1007    0.11250 0.88750 8438    59306   6.63
81      7940    940     0.11843 0.88157 7464    50868   6.41
82      7000    869     0.12420 0.87580 6559    43403   6.20
83      6131    795     0.12963 0.87037 5727    36844   6.01
84      5336    718     0.13462 0.86538 4971    31117   5.83
85      4618    643     0.13914 0.86086 4290    26146   5.66
86      3975    569     0.14320 0.85680 3685    21856   5.50
87      3406    500     0.14687 0.85313 3151    18171   5.34
88      2906    437     0.15023 0.84977 2682    15021   5.17
89      2469    379     0.15333 0.84667 2275    12338   5.00
90      2090    327     0.15627 0.84373 1922    10063   4.81
91      1763    280     0.15909 0.84091 1619    8141    4.62
92      1483    240     0.16188 0.83812 1360    6521    4.40
93      1243    205     0.16468 0.83532 1138    5162    4.15
94      1038    174     0.16755 0.83245 949     4024    3.88
95      864     147     0.17055 0.82945 788     3075    3.56
96      717     125     0.17370 0.82630 653     2287    3.19
97      592     105     0.17704 0.82296 538     1634    2.76
98      487     88      0.18060 0.81940 442     1096    2.25
99      399     74      0.18440 0.81560 361     654     1.64
100     325     61      0.18845 0.81155 294     294     0.90
