# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  16066   0.16066 0.83934 91967   4881074 48.81
1       83934   5746    0.06846 0.93154 81061   4789107 57.06
2       78188   2478    0.03169 0.96831 76949   4708046 60.21
3       75710   1243    0.01641 0.98359 75089   4631097 61.17
4       74467   712     0.00956 0.99044 74111   4556008 61.18
5       73755   458     0.00621 0.99379 73510   4481897 60.77
6       73297   325     0.00443 0.99557 73126   4408387 60.14
7       72972   250     0.00343 0.99657 72842   4335261 59.41
8       72722   206     0.00284 0.99716 72616   4262419 58.61
9       72516   181     0.00249 0.99751 72424   4189803 57.78
10      72335   166     0.00230 0.99770 72251   4117379 56.92
11      72169   160     0.00221 0.99779 72089   4045128 56.05
12      72009   158     0.00220 0.99780 71930   3973040 55.17
13      71851   161     0.00223 0.99777 71771   3901109 54.29
14      71690   166     0.00232 0.99768 71608   3829339 53.42
15      71524   174     0.00244 0.99756 71438   3757731 52.54
16      71350   184     0.00258 0.99742 71259   3686293 51.66
17      71166   195     0.00274 0.99726 71069   3615034 50.80
18      70971   207     0.00292 0.99708 70868   3543965 49.94
19      70764   218     0.00309 0.99691 70656   3473097 49.08
20      70546   229     0.00325 0.99675 70432   3402441 48.23
21      70317   239     0.00340 0.99660 70198   3332008 47.39
22      70078   247     0.00352 0.99648 69955   3261810 46.55
23      69831   253     0.00363 0.99637 69705   3191855 45.71
24      69578   258     0.00372 0.99628 69449   3122150 44.87
25      69320   262     0.00379 0.99621 69189   3052701 44.04
26      69058   266     0.00386 0.99614 68925   2983511 43.20
27      68792   270     0.00393 0.99607 68657   2914586 42.37
28      68522   275     0.00402 0.99598 68385   2845929 41.53
29      68247   281     0.00412 0.99588 68107   2777544 40.70
30      67966   288     0.00424 0.99576 67823   2709437 39.86
31      67678   295     0.00436 0.99564 67531   2641614 39.03
32      67383   303     0.00450 0.99550 67232   2574083 38.20
33      67080   311     0.00464 0.99536 66925   2506851 37.37
34      66769   320     0.00479 0.99521 66610   2439926 36.54
35      66449   328     0.00493 0.99507 66286   2373316 35.72
36      66121   336     0.00509 0.99491 65954   2307030 34.89
37      65785   345     0.00524 0.99476 65613   2241076 34.07
38      65440   354     0.00541 0.99459 65264   2175463 33.24
39      65086   364     0.00560 0.99440 64905   2110199 32.42
40      64722   376     0.00581 0.99419 64535   2045294 31.60
41      64346   389     0.00605 0.99395 64153   1980759 30.78
42      63957   405     0.00634 0.99366 63756   1916607 29.97
43      63552   424     0.00667 0.99333 63342   1852851 29.15
44      63128   445     0.00704 0.99296 62907   1789509 28.35
45      62683   467     0.00745 0.99255 62451   1726602 27.54
46      62216   489     0.00787 0.99213 61973   1664150 26.75
47      61727   511     0.00827 0.99173 61473   1602177 25.96
48      61216   530     0.00866 0.99134 60953   1540704 25.17
49      60686   548     0.00904 0.99096 60414   1479751 24.38
50      60138   567     0.00942 0.99058 59856   1419338 23.60
51      59571   588     0.00986 0.99014 59279   1359482 22.82
52      58983   613     0.01039 0.98961 58679   1300203 22.04
53      58370   644     0.01104 0.98896 58051   1241524 21.27
54      57726   683     0.01183 0.98817 57388   1183473 20.50
55      57043   729     0.01279 0.98721 56683   1126085 19.74
56      56314   782     0.01389 0.98611 55928   1069402 18.99
57      55532   840     0.01513 0.98487 55117   1013475 18.25
58      54692   903     0.01651 0.98349 54246   958358  17.52
59      53789   969     0.01802 0.98198 53310   904112  16.81
60      52820   1038    0.01965 0.98035 52307   850802  16.11
61      51782   1109    0.02142 0.97858 51234   798495  15.42
62      50673   1183    0.02334 0.97666 50088   747261  14.75
63      49490   1259    0.02544 0.97456 48867   697174  14.09
64      48231   1340    0.02777 0.97223 47568   648307  13.44
65      46891   1426    0.03042 0.96958 46186   600739  12.81
66      45465   1523    0.03351 0.96649 44712   554553  12.20
67      43942   1632    0.03715 0.96285 43136   509841  11.60
68      42310   1753    0.04144 0.95856 41444   466705  11.03
69      40557   1883    0.04642 0.95358 39626   425261  10.49
70      38674   2012    0.05203 0.94797 37678   385635  9.97
71      36662   2127    0.05802 0.94198 35607   347957  9.49
72      34535   2214    0.06412 0.93588 33434   312350  9.04
73      32321   2265    0.07008 0.92992 31191   278916  8.63
74      30056   2277    0.07576 0.92424 28917   247725  8.24
75      27779   2256    0.08122 0.91878 26648   218808  7.88
76      25523   2215    0.08679 0.91321 24412   192160  7.53
77      23308   2162    0.09275 0.90725 22222   167748  7.20
78      21146   2100    0.09933 0.90067 20091   145526  6.88
79      19046   2031    0.10662 0.89338 18024   125435  6.59
80      17015   1948    0.11451 0.88549 16033   107411  6.31
81      15067   1848    0.12263 0.87737 14134   91378   6.06
82      13219   1726    0.13058 0.86942 12345   77244   5.84
83      11493   1586    0.13800 0.86200 10688   64899   5.65
84      9907    1433    0.14463 0.85537 9178    54211   5.47
85      8474    1274    0.15034 0.84966 7824    45034   5.31
86      7200    1118    0.15521 0.84479 6628    37210   5.17
87      6082    969     0.15933 0.84067 5586    30581   5.03
88      5113    832     0.16280 0.83720 4686    24996   4.89
89      4281    710     0.16577 0.83423 3916    20310   4.74
90      3571    601     0.16835 0.83165 3262    16393   4.59
91      2970    507     0.17068 0.82932 2709    13131   4.42
92      2463    426     0.17286 0.82714 2244    10422   4.23
93      2037    357     0.17503 0.82497 1853    8178    4.01
94      1680    298     0.17727 0.82273 1526    6325    3.76
95      1382    248     0.17969 0.82031 1254    4799    3.47
96      1134    207     0.18235 0.81765 1027    3544    3.13
97      927     172     0.18533 0.81467 838     2517    2.72
98      755     142     0.18868 0.81132 682     1679    2.22
99      613     118     0.19244 0.80756 552     997     1.63
100     495     97      0.19664 0.80336 445     445     0.90
