# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  9772    0.09772 0.90228 95114   5532605 55.33
1       90228   2234    0.02476 0.97524 89111   5437491 60.26
2       87994   756     0.00859 0.99141 87616   5348380 60.78
3       87238   373     0.00427 0.99573 87052   5260764 60.30
4       86865   254     0.00292 0.99708 86738   5173712 59.56
5       86611   217     0.00250 0.99750 86500   5086974 58.73
6       86394   205     0.00237 0.99763 86291   5000474 57.88
7       86189   198     0.00230 0.99770 86089   4914183 57.02
8       85991   185     0.00216 0.99784 85897   4828094 56.15
9       85806   166     0.00193 0.99807 85721   4742197 55.27
10      85640   145     0.00169 0.99831 85566   4656476 54.37
11      85495   129     0.00150 0.99850 85429   4570910 53.46
12      85366   120     0.00141 0.99859 85306   4485480 52.54
13      85246   120     0.00141 0.99859 85186   4400175 51.62
14      85126   128     0.00150 0.99850 85063   4314988 50.69
15      84998   143     0.00168 0.99832 84928   4229925 49.76
16      84855   165     0.00194 0.99806 84774   4144997 48.85
17      84690   190     0.00224 0.99776 84597   4060223 47.94
18      84500   216     0.00255 0.99745 84394   3975626 47.05
19      84284   240     0.00284 0.99716 84166   3891232 46.17
20      84044   260     0.00309 0.99691 83916   3807066 45.30
21      83784   277     0.00331 0.99669 83647   3723150 44.44
22      83507   293     0.00351 0.99649 83362   3639503 43.58
23      83214   308     0.00371 0.99629 83061   3556142 42.73
24      82906   323     0.00390 0.99610 82746   3473080 41.89
25      82583   338     0.00409 0.99591 82415   3390335 41.05
26      82245   350     0.00426 0.99574 82071   3307919 40.22
27      81895   361     0.00441 0.99559 81715   3225848 39.39
28      81534   369     0.00452 0.99548 81350   3144133 38.56
29      81165   375     0.00461 0.99539 80978   3062783 37.74
30      80790   379     0.00469 0.99531 80601   2981805 36.91
31      80411   383     0.00476 0.99524 80220   2901204 36.08
32      80028   388     0.00485 0.99515 79835   2820984 35.25
33      79640   396     0.00497 0.99503 79443   2741150 34.42
34      79244   406     0.00513 0.99487 79042   2661707 33.59
35      78838   420     0.00533 0.99467 78629   2582665 32.76
36      78418   438     0.00559 0.99441 78201   2504036 31.93
37      77980   459     0.00589 0.99411 77752   2425835 31.11
38      77521   484     0.00625 0.99375 77281   2348083 30.29
39      77037   513     0.00666 0.99334 76783   2270802 29.48
40      76524   544     0.00711 0.99289 76255   2194019 28.67
41      75980   577     0.00760 0.99240 75694   2117764 27.87
42      75403   611     0.00811 0.99189 75100   2042070 27.08
43      74792   646     0.00864 0.99136 74472   1966969 26.30
44      74146   682     0.00920 0.99080 73808   1892497 25.52
45      73464   721     0.00982 0.99018 73107   1818689 24.76
