# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  27081   0.27081 0.72919 86460   3402915 34.03
1       72919   8403    0.11524 0.88476 68718   3316455 45.48
2       64516   3572    0.05537 0.94463 62730   3247738 50.34
3       60944   1893    0.03106 0.96894 59998   3185008 52.26
4       59051   1190    0.02016 0.97984 58456   3125010 52.92
5       57861   848     0.01465 0.98535 57414   3066554 53.00
6       57013   648     0.01136 0.98864 56675   3009140 52.78
7       56365   514     0.00911 0.99089 56098   2952465 52.38
8       55851   416     0.00745 0.99255 55636   2896366 51.86
9       55435   343     0.00618 0.99382 55258   2840730 51.24
10      55092   289     0.00524 0.99476 54944   2785472 50.56
11      54803   252     0.00459 0.99541 54674   2730528 49.82
12      54551   228     0.00419 0.99581 54436   2675854 49.05
13      54323   216     0.00398 0.99602 54214   2621419 48.26
14      54107   213     0.00393 0.99607 54001   2567204 47.45
15      53894   216     0.00401 0.99599 53787   2513204 46.63
16      53678   225     0.00420 0.99580 53566   2459417 45.82
17      53453   239     0.00447 0.99553 53335   2405851 45.01
18      53214   255     0.00480 0.99520 53088   2352516 44.21
19      52959   273     0.00516 0.99484 52824   2299428 43.42
20      52686   292     0.00554 0.99446 52542   2246604 42.64
21      52394   310     0.00592 0.99408 52241   2194062 41.88
22      52084   328     0.00630 0.99370 51921   2141822 41.12
23      51756   344     0.00664 0.99336 51585   2089900 40.38
24      51412   358     0.00696 0.99304 51234   2038315 39.65
25      51054   369     0.00724 0.99276 50870   1987081 38.92
26      50685   380     0.00751 0.99249 50496   1936211 38.20
27      50305   391     0.00777 0.99223 50110   1885715 37.49
