# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  27660   0.27660 0.72340 86170   3192490 31.92
1       72340   8360    0.11557 0.88443 68160   3106320 42.94
2       63980   3533    0.05522 0.94478 62214   3038160 47.49
3       60447   1889    0.03126 0.96874 59503   2975947 49.23
4       58558   1213    0.02072 0.97928 57952   2916444 49.80
5       57345   887     0.01548 0.98452 56880   2858493 49.85
6       56458   695     0.01232 0.98768 56097   2801613 49.62
7       55763   563     0.01009 0.98991 55472   2745516 49.24
8       55200   461     0.00836 0.99164 54962   2690044 48.73
9       54739   382     0.00698 0.99302 54542   2635082 48.14
10      54357   322     0.00592 0.99408 54192   2580540 47.47
11      54035   280     0.00519 0.99481 53892   2526348 46.75
12      53755   255     0.00475 0.99525 53626   2472456 45.99
13      53500   243     0.00455 0.99545 53378   2418830 45.21
14      53257   242     0.00454 0.99546 53136   2365452 44.42
15      53015   248     0.00467 0.99533 52892   2312316 43.62
16      52767   258     0.00488 0.99512 52639   2259424 42.82
17      52509   268     0.00511 0.99489 52376   2206785 42.03
18      52241   277     0.00531 0.99469 52103   2154410 41.24
19      51964   284     0.00546 0.99454 51822   2102307 40.46
20      51680   288     0.00557 0.99443 51536   2050484 39.68
21      51392   291     0.00566 0.99434 51247   1998948 38.90
22      51101   294     0.00576 0.99424 50954   1947701 38.11
23      50807   299     0.00588 0.99412 50658   1896747 37.33
24      50508   305     0.00604 0.99396 50356   1846089 36.55
25      50203   312     0.00622 0.99378 50048   1795733 35.77
26      49891   321     0.00643 0.99357 49731   1745685 34.99
27      49570   330     0.00666 0.99334 49406   1695954 34.21
28      49240   340     0.00690 0.99310 49071   1646548 33.44
29      48900   351     0.00717 0.99283 48725   1597477 32.67
30      48549   363     0.00748 0.99252 48369   1548752 31.90
31      48186   378     0.00784 0.99216 47998   1500383 31.14
32      47808   396     0.00828 0.99172 47612   1452385 30.38
33      47412   418     0.00881 0.99119 47205   1404773 29.63
34      46994   442     0.00941 0.99059 46775   1357568 28.89
35      46552   468     0.01006 0.98994 46320   1310793 28.16
36      46084   493     0.01070 0.98930 45839   1264473 27.44
37      45591   515     0.01130 0.98870 45335   1218633 26.73
38      45076   533     0.01183 0.98817 44811   1173298 26.03
39      44543   547     0.01229 0.98771 44271   1128487 25.33
40      43996   561     0.01275 0.98725 43717   1084217 24.64
41      43435   577     0.01329 0.98671 43148   1040500 23.96
42      42858   600     0.01399 0.98601 42560   997352  23.27
43      42258   630     0.01491 0.98509 41946   954792  22.59
44      41628   668     0.01606 0.98394 41297   912846  21.93
45      40960   713     0.01740 0.98260 40607   871548  21.28
46      40247   757     0.01882 0.98118 39872   830941  20.65
47      39490   798     0.02021 0.97979 39094   791069  20.03
48      38692   831     0.02148 0.97852 38279   751975  19.43
49      37861   855     0.02258 0.97742 37435   713696  18.85
50      37006   871     0.02354 0.97646 36572   676261  18.27
51      36135   884     0.02446 0.97554 35694   639689  17.70
52      35251   897     0.02545 0.97455 34804   603995  17.13
53      34354   912     0.02656 0.97344 33899   569192  16.57
54      33442   931     0.02783 0.97217 32978   535292  16.01
55      32511   951     0.02926 0.97074 32037   502314  15.45
56      31560   971     0.03077 0.96923 31076   470277  14.90
57      30589   989     0.03232 0.96768 30096   439201  14.36
58      29600   1004    0.03391 0.96609 29099   409105  13.82
59      28596   1017    0.03556 0.96444 28089   380006  13.29
60      27579   1030    0.03736 0.96264 27065   351917  12.76
61      26549   1048    0.03947 0.96053 26027   324852  12.24
62      25501   1072    0.04203 0.95797 24967   298825  11.72
63      24429   1103    0.04514 0.95486 23880   273858  11.21
64      23326   1139    0.04884 0.95116 22760   249977  10.72
65      22187   1178    0.05310 0.94690 21601   227218  10.24
66      21009   1213    0.05773 0.94227 20405   205617  9.79
67      19796   1238    0.06254 0.93746 19179   185212  9.36
68      18558   1250    0.06736 0.93264 17933   166033  8.95
69      17308   1247    0.07206 0.92794 16684   148100  8.56
70      16061   1230    0.07661 0.92339 15444   131416  8.18
71      14831   1203    0.08110 0.91890 14227   115972  7.82
72      13628   1167    0.08565 0.91435 13041   101745  7.47
73      12461   1127    0.09043 0.90957 11894   88704   7.12
74      11334   1084    0.09564 0.90436 10788   76810   6.78
75      10250   1040    0.10151 0.89849 9726    66021   6.44
76      9210    998     0.10833 0.89167 8707    56295   6.11
77      8212    955     0.11632 0.88368 7731    47587   5.79
78      7257    912     0.12561 0.87439 6797    39857   5.49
79      6345    864     0.13619 0.86381 5909    33059   5.21
80      5481    810     0.14779 0.85221 5071    27151   4.95
81      4671    746     0.15977 0.84023 4292    22080   4.73
82      3925    673     0.17145 0.82855 3582    17787   4.53
83      3252    593     0.18222 0.81778 2949    14205   4.37
84      2659    509     0.19160 0.80840 2398    11256   4.23
85      2150    429     0.19935 0.80065 1929    8859    4.12
86      1721    354     0.20559 0.79441 1538    6930    4.03
87      1367    288     0.21050 0.78950 1218    5392    3.94
88      1079    231     0.21429 0.78571 959     4174    3.87
89      848     184     0.21719 0.78281 752     3215    3.79
90      664     146     0.21943 0.78057 588     2462    3.71
91      518     115     0.22124 0.77876 458     1874    3.62
92      403     90      0.22282 0.77718 356     1416    3.51
93      313     70      0.22438 0.77562 277     1060    3.39
94      243     55      0.22608 0.77392 214     783     3.22
95      188     43      0.22806 0.77194 166     569     3.03
96      145     33      0.23046 0.76954 128     403     2.78
97      112     26      0.23337 0.76663 98      275     2.46
98      86      20      0.23689 0.76311 76      177     2.06
99      66      16      0.24105 0.75895 58      101     1.54
100     50      12      0.24591 0.75409 44      44      0.87
