# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  11710   0.11710 0.88290 94145   5897659 58.98
1       88290   3309    0.03748 0.96252 86636   5803514 65.73
2       84981   1236    0.01454 0.98546 84363   5716878 67.27
3       83745   597     0.00713 0.99287 83447   5632515 67.26
4       83148   361     0.00434 0.99566 82968   5549069 66.74
5       82787   259     0.00313 0.99687 82651   5466101 66.03
6       82528   208     0.00252 0.99748 82421   5383450 65.23
7       82320   178     0.00216 0.99784 82229   5301030 64.40
8       82142   158     0.00192 0.99808 82062   5218801 63.53
9       81984   143     0.00175 0.99825 81911   5136739 62.66
10      81841   133     0.00163 0.99837 81774   5054828 61.76
11      81708   127     0.00156 0.99844 81644   4973054 60.86
12      81581   126     0.00154 0.99846 81518   4891410 59.96
13      81455   129     0.00159 0.99841 81391   4809892 59.05
14      81326   137     0.00168 0.99832 81258   4728501 58.14
15      81189   148     0.00183 0.99817 81116   4647242 57.24
16      81041   162     0.00200 0.99800 80961   4566126 56.34
17      80879   178     0.00220 0.99780 80791   4485165 55.46
18      80701   193     0.00239 0.99761 80606   4404374 54.58
19      80508   207     0.00257 0.99743 80406   4323768 53.71
20      80301   218     0.00272 0.99728 80193   4243362 52.84
21      80083   227     0.00284 0.99716 79970   4163170 51.99
22      79856   233     0.00292 0.99708 79740   4083199 51.13
23      79623   237     0.00298 0.99702 79505   4003460 50.28
24      79386   240     0.00302 0.99698 79266   3923955 49.43
25      79146   241     0.00304 0.99696 79026   3844689 48.58
26      78905   242     0.00306 0.99694 78784   3765663 47.72
27      78663   243     0.00309 0.99691 78542   3686879 46.87
28      78420   245     0.00312 0.99688 78298   3608337 46.01
29      78175   248     0.00317 0.99683 78051   3530040 45.16
30      77927   252     0.00323 0.99677 77801   3451988 44.30
31      77675   257     0.00331 0.99669 77547   3374187 43.44
32      77418   262     0.00339 0.99661 77287   3296640 42.58
33      77156   268     0.00348 0.99652 77023   3219353 41.73
34      76888   274     0.00357 0.99643 76752   3142330 40.87
35      76614   280     0.00366 0.99634 76474   3065579 40.01
36      76334   285     0.00373 0.99627 76192   2989104 39.16
37      76049   289     0.00380 0.99620 75905   2912912 38.30
38      75760   292     0.00386 0.99614 75614   2837007 37.45
39      75468   296     0.00392 0.99608 75320   2761393 36.59
40      75172   300     0.00399 0.99601 75022   2686073 35.73
41      74872   306     0.00409 0.99591 74720   2611050 34.87
42      74566   316     0.00424 0.99576 74409   2536331 34.01
43      74250   330     0.00444 0.99556 74086   2461922 33.16
44      73920   347     0.00470 0.99530 73748   2387835 32.30
45      73573   367     0.00499 0.99501 73391   2314087 31.45
46      73206   388     0.00530 0.99470 73014   2240696 30.61
47      72818   408     0.00561 0.99439 72616   2167683 29.77
48      72410   426     0.00588 0.99412 72198   2095067 28.93
49      71984   442     0.00614 0.99386 71764   2022869 28.10
50      71542   456     0.00638 0.99362 71315   1951104 27.27
51      71086   473     0.00665 0.99335 70851   1879789 26.44
52      70613   493     0.00699 0.99301 70368   1808938 25.62
53      70120   520     0.00741 0.99259 69863   1738569 24.79
54      69600   553     0.00795 0.99205 69327   1668707 23.98
55      69047   595     0.00862 0.99138 68753   1599380 23.16
56      68452   646     0.00944 0.99056 68134   1530627 22.36
57      67806   705     0.01040 0.98960 67459   1462493 21.57
58      67101   772     0.01151 0.98849 66721   1395035 20.79
59      66329   846     0.01276 0.98724 65912   1328314 20.03
60      65483   925     0.01413 0.98587 65027   1262401 19.28
61      64558   1006    0.01559 0.98441 64062   1197374 18.55
62      63552   1087    0.01710 0.98290 63015   1133312 17.83
63      62465   1166    0.01866 0.98134 61889   1070297 17.13
64      61299   1243    0.02027 0.97973 60684   1008409 16.45
65      60056   1321    0.02200 0.97800 59402   947725  15.78
66      58735   1409    0.02399 0.97601 58038   888322  15.12
67      57326   1511    0.02635 0.97365 56580   830284  14.48
68      55815   1630    0.02920 0.97080 55011   773704  13.86
69      54185   1768    0.03262 0.96738 53313   718694  13.26
70      52417   1918    0.03660 0.96340 51471   665381  12.69
71      50499   2069    0.04096 0.95904 49476   613910  12.16
72      48430   2205    0.04553 0.95447 47338   564434  11.65
73      46225   2315    0.05008 0.94992 45075   517096  11.19
74      43910   2392    0.05448 0.94552 42719   472021  10.75
75      41518   2436    0.05867 0.94133 40303   429302  10.34
76      39082   2453    0.06276 0.93724 37856   388999  9.95
77      36629   2449    0.06686 0.93314 35404   351143  9.59
78      34180   2429    0.07107 0.92893 32963   315739  9.24
79      31751   2395    0.07542 0.92458 30550   282776  8.91
80      29356   2345    0.07988 0.92012 28179   252226  8.59
81      27011   2278    0.08434 0.91566 25866   224048  8.29
82      24733   2193    0.08867 0.91133 23629   198182  8.01
83      22540   2091    0.09276 0.90724 21485   174553  7.74
84      20449   1974    0.09655 0.90345 19452   153068  7.49
85      18475   1848    0.10002 0.89998 17540   133616  7.23
86      16627   1716    0.10318 0.89682 15758   116076  6.98
87      14911   1582    0.10608 0.89392 14109   100318  6.73
88      13329   1450    0.10876 0.89124 12593   86209   6.47
89      11879   1322    0.11125 0.88875 11208   73616   6.20
90      10557   1199    0.11362 0.88638 9948    62408   5.91
91      9358    1084    0.11589 0.88411 8807    52461   5.61
92      8274    977     0.11812 0.88188 7777    43654   5.28
93      7297    878     0.12035 0.87965 6850    35877   4.92
94      6419    787     0.12262 0.87738 6018    29027   4.52
95      5632    704     0.12497 0.87503 5273    23009   4.09
96      4928    628     0.12743 0.87257 4608    17735   3.60
97      4300    559     0.13002 0.86998 4015    13127   3.05
98      3741    497     0.13278 0.86722 3488    9112    2.44
99      3244    440     0.13572 0.86428 3020    5625    1.73
100     2804    389     0.13886 0.86114 2605    2605    0.93
