# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 1967
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  2862    0.02862 0.97138 98569   6397519 63.98
1       97138   416     0.00428 0.99572 96930   6298950 64.85
2       96722   110     0.00113 0.99887 96667   6202020 64.12
3       96612   53      0.00055 0.99945 96586   6105353 63.19
4       96559   44      0.00045 0.99955 96537   6008767 62.23
5       96515   52      0.00053 0.99947 96490   5912230 61.26
6       96463   70      0.00073 0.99927 96430   5815740 60.29
7       96393   92      0.00096 0.99904 96348   5719310 59.33
8       96301   105     0.00109 0.99891 96249   5622962 58.39
9       96196   100     0.00104 0.99896 96145   5526713 57.45
10      96096   83      0.00086 0.99914 96053   5430568 56.51
11      96013   68      0.00071 0.99929 95978   5334515 55.56
12      95945   61      0.00064 0.99936 95914   5238537 54.60
13      95884   62      0.00064 0.99936 95853   5142622 53.63
14      95822   71      0.00074 0.99926 95788   5046769 52.67
15      95751   90      0.00094 0.99906 95708   4950981 51.71
16      95661   119     0.00124 0.99876 95604   4855273 50.75
17      95542   152     0.00159 0.99841 95469   4759669 49.82
18      95390   182     0.00191 0.99809 95301   4664201 48.90
19      95208   201     0.00211 0.99789 95109   4568900 47.99
20      95007   209     0.00219 0.99781 94903   4473791 47.09
21      94798   211     0.00223 0.99777 94693   4378888 46.19
22      94587   216     0.00228 0.99772 94480   4284195 45.29
23      94371   226     0.00240 0.99760 94259   4189716 44.40
24      94145   245     0.00260 0.99740 94024   4095456 43.50
25      93900   273     0.00290 0.99710 93766   4001432 42.61
26      93627   304     0.00325 0.99675 93478   3907666 41.74
27      93323   335     0.00359 0.99641 93158   3814188 40.87
28      92988   361     0.00388 0.99612 92809   3721030 40.02
29      92627   378     0.00408 0.99592 92439   3628221 39.17
30      92249   389     0.00422 0.99578 92055   3535782 38.33
31      91860   397     0.00432 0.99568 91662   3443727 37.49
32      91463   405     0.00443 0.99557 91261   3352065 36.65
33      91058   417     0.00458 0.99542 90851   3260803 35.81
34      90641   433     0.00478 0.99522 90426   3169953 34.97
35      90208   454     0.00503 0.99497 89983   3079527 34.14
36      89754   478     0.00532 0.99468 89517   2989544 33.31
37      89276   502     0.00563 0.99437 89027   2900027 32.48
38      88774   527     0.00594 0.99406 88513   2811000 31.66
39      88247   551     0.00624 0.99376 87973   2722487 30.85
40      87696   574     0.00654 0.99346 87411   2634514 30.04
41      87122   596     0.00684 0.99316 86826   2547103 29.24
42      86526   619     0.00716 0.99284 86219   2460277 28.43
43      85907   644     0.00750 0.99250 85587   2374058 27.64
44      85263   672     0.00788 0.99212 84929   2288471 26.84
45      84591   703     0.00831 0.99169 84242   2203542 26.05
46      83888   739     0.00881 0.99119 83522   2119299 25.26
47      83149   781     0.00939 0.99061 82762   2035778 24.48
48      82368   828     0.01006 0.98994 81958   1953015 23.71
49      81540   881     0.01081 0.98919 81104   1871057 22.95
50      80659   939     0.01164 0.98836 80194   1789953 22.19
51      79720   998     0.01252 0.98748 79226   1709759 21.45
52      78722   1058    0.01343 0.98657 78198   1630533 20.71
53      77664   1116    0.01437 0.98563 77111   1552335 19.99
54      76548   1175    0.01535 0.98465 75966   1475224 19.27
55      75373   1237    0.01641 0.98359 74760   1399259 18.56
56      74136   1306    0.01762 0.98238 73489   1324499 17.87
57      72830   1388    0.01905 0.98095 72143   1251009 17.18
58      71442   1485    0.02078 0.97922 70708   1178866 16.50
59      69957   1597    0.02283 0.97717 69168   1108158 15.84
60      68360   1723    0.02520 0.97480 67509   1038989 15.20
61      66637   1853    0.02781 0.97219 65721   971480  14.58
62      64784   1980    0.03056 0.96944 63804   905759  13.98
63      62804   2097    0.03339 0.96661 61765   841955  13.41
64      60707   2199    0.03623 0.96377 59615   780190  12.85
65      58508   2287    0.03908 0.96092 57371   720575  12.32
66      56221   2363    0.04203 0.95797 55046   663203  11.80
67      53858   2432    0.04516 0.95484 52648   608158  11.29
68      51426   2497    0.04855 0.95145 50183   555510  10.80
69      48929   2557    0.05226 0.94774 47655   505327  10.33
70      46372   2612    0.05632 0.94368 45070   457672  9.87
71      43760   2656    0.06070 0.93930 42435   412602  9.43
72      41104   2688    0.06539 0.93461 39762   370167  9.01
73      38416   2704    0.07038 0.92962 37065   330405  8.60
74      35712   2704    0.07571 0.92429 34359   293340  8.21
75      33008   2688    0.08145 0.91855 31662   258981  7.85
76      30320   2659    0.08770 0.91230 28988   227319  7.50
77      27661   2616    0.09456 0.90544 26349   198331  7.17
78      25045   2556    0.10204 0.89796 23761   171983  6.87
79      22489   2475    0.11005 0.88995 21244   148221  6.59
80      20014   2369    0.11835 0.88165 18819   126978  6.34
81      17645   2232    0.12651 0.87349 16516   108158  6.13
82      15413   2067    0.13408 0.86592 14365   91642   5.95
83      13346   1878    0.14068 0.85932 12391   77277   5.79
84      11468   1675    0.14608 0.85392 10614   64886   5.66
85      9793    1471    0.15020 0.84980 9041    54273   5.54
86      8322    1275    0.15317 0.84683 7669    45232   5.44
87      7047    1093    0.15517 0.84483 6486    37563   5.33
88      5954    931     0.15637 0.84363 5476    31077   5.22
89      5023    788     0.15698 0.84302 4618    25601   5.10
90      4235    666     0.15716 0.84284 3893    20983   4.95
91      3569    561     0.15709 0.84291 3280    17091   4.79
92      3008    472     0.15691 0.84309 2765    13810   4.59
93      2536    398     0.15677 0.84323 2331    11045   4.36
94      2138    335     0.15676 0.84324 1966    8714    4.08
95      1803    283     0.15698 0.84302 1658    6748    3.74
96      1520    239     0.15751 0.84249 1397    5091    3.35
97      1281    203     0.15841 0.84159 1177    3694    2.88
98      1078    172     0.15971 0.84029 990     2517    2.33
99      906     146     0.16144 0.83856 831     1527    1.69
100     760     124     0.16362 0.83638 696     696     0.92
