# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 1990
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1890    0.01890 0.98110 99055   6436055 64.36
1       98110   143     0.00146 0.99854 98039   6337000 64.59
2       97967   86      0.00088 0.99912 97924   6238962 63.68
3       97881   62      0.00064 0.99936 97850   6141038 62.74
4       97819   57      0.00058 0.99942 97791   6043188 61.78
5       97762   59      0.00061 0.99939 97732   5945397 60.82
6       97703   55      0.00057 0.99943 97676   5847665 59.85
7       97648   59      0.00060 0.99940 97619   5749989 58.88
8       97589   65      0.00067 0.99933 97556   5652370 57.92
9       97524   56      0.00057 0.99943 97495   5554814 56.96
10      97468   48      0.00049 0.99951 97444   5457319 55.99
11      97420   47      0.00049 0.99951 97397   5359875 55.02
12      97373   52      0.00053 0.99947 97348   5262478 54.04
13      97321   60      0.00062 0.99938 97292   5165131 53.07
14      97261   65      0.00067 0.99933 97230   5067839 52.11
15      97196   92      0.00094 0.99906 97152   4970609 51.14
16      97104   118     0.00122 0.99878 97047   4873457 50.19
17      96986   148     0.00152 0.99848 96914   4776410 49.25
18      96838   176     0.00182 0.99818 96752   4679496 48.32
19      96662   185     0.00191 0.99809 96570   4582744 47.41
20      96477   177     0.00183 0.99817 96389   4486174 46.50
21      96300   195     0.00203 0.99797 96204   4389786 45.58
22      96105   214     0.00222 0.99778 95999   4293581 44.68
23      95891   226     0.00236 0.99764 95779   4197582 43.77
24      95665   234     0.00245 0.99755 95549   4101803 42.88
25      95431   254     0.00266 0.99734 95305   4006254 41.98
26      95177   268     0.00282 0.99718 95044   3910949 41.09
27      94909   277     0.00292 0.99708 94771   3815905 40.21
28      94632   291     0.00307 0.99693 94488   3721133 39.32
29      94341   314     0.00333 0.99667 94186   3626645 38.44
30      94027   334     0.00355 0.99645 93861   3532459 37.57
31      93693   346     0.00369 0.99631 93521   3438598 36.70
32      93347   364     0.00390 0.99610 93166   3345077 35.83
33      92983   376     0.00404 0.99596 92797   3251911 34.97
34      92607   408     0.00440 0.99560 92405   3159114 34.11
35      92199   433     0.00469 0.99531 91984   3066708 33.26
36      91766   446     0.00486 0.99514 91544   2974724 32.42
37      91320   461     0.00505 0.99495 91092   2883180 31.57
38      90859   498     0.00548 0.99452 90612   2792089 30.73
39      90361   519     0.00574 0.99426 90104   2701476 29.90
40      89842   569     0.00633 0.99367 89562   2611372 29.07
41      89273   637     0.00714 0.99286 88955   2521809 28.25
42      88636   590     0.00666 0.99334 88344   2432854 27.45
