# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 1992
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1836    0.01836 0.98164 99082   6683228 66.83
1       98164   233     0.00237 0.99763 98048   6584146 67.07
2       97931   140     0.00143 0.99857 97861   6486098 66.23
3       97791   110     0.00112 0.99888 97736   6388237 65.33
4       97681   90      0.00093 0.99907 97636   6290501 64.40
5       97591   79      0.00081 0.99919 97551   6192865 63.46
6       97512   74      0.00075 0.99925 97475   6095315 62.51
7       97438   73      0.00075 0.99925 97401   5997840 61.56
8       97365   68      0.00070 0.99930 97330   5900439 60.60
9       97297   57      0.00058 0.99942 97268   5803108 59.64
10      97240   51      0.00053 0.99947 97214   5705840 58.68
11      97189   53      0.00054 0.99946 97163   5608626 57.71
12      97136   55      0.00056 0.99944 97109   5511463 56.74
13      97081   56      0.00058 0.99942 97054   5414355 55.77
14      97025   71      0.00073 0.99927 96991   5317301 54.80
15      96954   91      0.00094 0.99906 96911   5220310 53.84
16      96863   122     0.00126 0.99874 96805   5123400 52.89
17      96741   173     0.00179 0.99821 96657   5026594 51.96
18      96568   184     0.00190 0.99810 96476   4929937 51.05
19      96384   178     0.00185 0.99815 96297   4833461 50.15
20      96206   229     0.00238 0.99762 96095   4737164 49.24
21      95977   269     0.00281 0.99719 95845   4641069 48.36
22      95708   285     0.00298 0.99702 95566   4545224 47.49
23      95423   277     0.00290 0.99710 95284   4449658 46.63
24      95146   279     0.00294 0.99706 95006   4354374 45.77
25      94867   272     0.00287 0.99713 94731   4259368 44.90
26      94595   287     0.00303 0.99697 94453   4164636 44.03
27      94308   299     0.00317 0.99683 94159   4070184 43.16
28      94009   302     0.00321 0.99679 93860   3976024 42.29
29      93707   341     0.00364 0.99636 93538   3882165 41.43
30      93366   341     0.00365 0.99635 93196   3788627 40.58
31      93025   346     0.00372 0.99628 92853   3695431 39.73
32      92679   376     0.00405 0.99595 92493   3602577 38.87
33      92303   387     0.00419 0.99581 92111   3510085 38.03
34      91916   405     0.00440 0.99560 91715   3417974 37.19
35      91511   428     0.00467 0.99533 91299   3326259 36.35
36      91083   443     0.00487 0.99513 90864   3234960 35.52
37      90640   480     0.00529 0.99471 90403   3144096 34.69
38      90160   503     0.00558 0.99442 89910   3053694 33.87
39      89657   527     0.00588 0.99412 89397   2963784 33.06
40      89130   591     0.00663 0.99337 88837   2874386 32.25
41      88539   593     0.00670 0.99330 88245   2785549 31.46
42      87946   650     0.00739 0.99261 87626   2697304 30.67
43      87296   710     0.00813 0.99187 86943   2609678 29.89
44      86586   690     0.00796 0.99204 86246   2522736 29.14
45      85896   840     0.00977 0.99023 85479   2436489 28.37
46      85056   762     0.00896 0.99104 84676   2351010 27.64
47      84294   873     0.01036 0.98964 83863   2266334 26.89
48      83421   892     0.01069 0.98931 82972   2182471 26.16
49      82529   803     0.00973 0.99027 82134   2099499 25.44
50      81726   1039    0.01272 0.98728 81213   2017365 24.68
51      80687   966     0.01197 0.98803 80202   1936152 24.00
52      79721   981     0.01230 0.98770 79236   1855950 23.28
53      78740   1107    0.01406 0.98594 78191   1776714 22.56
54      77633   1084    0.01396 0.98604 77094   1698523 21.88
55      76549   1175    0.01535 0.98465 75968   1621429 21.18
56      75374   1245    0.01652 0.98348 74757   1545461 20.50
57      74129   1312    0.01770 0.98230 73474   1470704 19.84
58      72817   1265    0.01737 0.98263 72186   1397230 19.19
59      71552   1339    0.01871 0.98129 70890   1325044 18.52
60      70213   1453    0.02069 0.97931 69492   1254154 17.86
61      68760   1473    0.02142 0.97858 68029   1184662 17.23
62      67287   1581    0.02350 0.97650 66501   1116633 16.60
63      65706   1589    0.02418 0.97582 64917   1050132 15.98
64      64117   1708    0.02664 0.97336 63266   985215  15.37
65      62409   1667    0.02671 0.97329 61575   921949  14.77
66      60742   1705    0.02807 0.97193 59894   860373  14.16
67      59037   1772    0.03001 0.96999 58159   800480  13.56
68      57265   1890    0.03301 0.96699 56323   742321  12.96
69      55375   1842    0.03326 0.96674 54458   685998  12.39
70      53533   1977    0.03693 0.96307 52554   631540  11.80
71      51556   2066    0.04008 0.95992 50530   578987  11.23
72      49490   2149    0.04343 0.95657 48427   528456  10.68
73      47341   2334    0.04931 0.95069 46182   480030  10.14
74      45007   2352    0.05227 0.94773 43826   433847  9.64
75      42655   2210    0.05181 0.94819 41551   390021  9.14
76      40445   2370    0.05860 0.94140 39272   348471  8.62
77      38075   2501    0.06569 0.93431 36833   309198  8.12
78      35574   2585    0.07267 0.92733 34281   272365  7.66
79      32989   2487    0.07540 0.92460 31747   238084  7.22
80      30502   2625    0.08605 0.91395 29194   206337  6.76
81      27877   2590    0.09290 0.90710 26583   177143  6.35
82      25287   2638    0.10434 0.89566 23964   150561  5.95
83      22649   2489    0.10990 0.89010 21399   126597  5.59
84      20160   2499    0.12396 0.87604 18907   105198  5.22
85      17661   2408    0.13636 0.86364 16442   86291   4.89
86      15253   2140    0.14032 0.85968 14169   69849   4.58
87      13113   2065    0.15744 0.84256 12071   55680   4.25
88      11048   1900    0.17199 0.82801 10081   43610   3.95
89      9148    1655    0.18090 0.81910 8304    33529   3.67
90      7493    1496    0.19971 0.80029 6729    25225   3.37
91      5997    1279    0.21335 0.78665 5353    18496   3.08
92      4718    1393    0.29531 0.70469 4001    13143   2.79
93      3325    780     0.23472 0.76528 2910    9142    2.75
94      2545    783     0.30777 0.69223 2144    6232    2.45
95      1762    560     0.31762 0.68238 1465    4088    2.32
96      1202    370     0.30807 0.69193 1005    2623    2.18
97      832     273     0.32792 0.67208 689     1618    1.94
98      559     213     0.38062 0.61938 446     929     1.66
99      346     110     0.31800 0.68200 285     484     1.40
100     236     70      0.29708 0.70292 198     198     0.84
