# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 1993
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1635    0.01635 0.98365 99183   7186530 71.87
1       98365   166     0.00169 0.99831 98282   7087348 72.05
2       98199   95      0.00097 0.99903 98152   6989066 71.17
3       98104   71      0.00073 0.99927 98069   6890914 70.24
4       98033   68      0.00070 0.99930 97999   6792846 69.29
5       97965   50      0.00051 0.99949 97939   6694847 68.34
6       97915   46      0.00047 0.99953 97892   6596908 67.37
7       97869   42      0.00043 0.99957 97848   6499016 66.41
8       97827   35      0.00036 0.99964 97809   6401169 65.43
9       97792   34      0.00034 0.99966 97775   6303359 64.46
10      97758   33      0.00034 0.99966 97741   6205585 63.48
11      97725   32      0.00033 0.99967 97709   6107843 62.50
12      97693   31      0.00031 0.99969 97678   6010134 61.52
13      97662   36      0.00037 0.99963 97645   5912457 60.54
14      97626   46      0.00048 0.99952 97604   5814812 59.56
15      97580   58      0.00059 0.99941 97552   5717208 58.59
16      97522   71      0.00073 0.99927 97488   5619656 57.62
17      97451   84      0.00086 0.99914 97410   5522168 56.67
18      97367   83      0.00085 0.99915 97326   5424759 55.71
19      97284   92      0.00094 0.99906 97239   5327433 54.76
20      97192   95      0.00098 0.99902 97144   5230195 53.81
21      97097   91      0.00093 0.99907 97051   5133050 52.87
22      97006   91      0.00094 0.99906 96961   5035999 51.91
23      96915   96      0.00099 0.99901 96867   4939038 50.96
24      96819   100     0.00103 0.99897 96769   4842171 50.01
25      96719   102     0.00105 0.99895 96668   4745401 49.06
26      96617   107     0.00111 0.99889 96564   4648733 48.12
27      96510   110     0.00114 0.99886 96455   4552169 47.17
28      96400   114     0.00118 0.99882 96344   4455714 46.22
29      96286   128     0.00133 0.99867 96223   4359370 45.28
30      96158   131     0.00136 0.99864 96093   4263148 44.33
31      96027   142     0.00147 0.99853 95957   4167054 43.39
32      95885   153     0.00159 0.99841 95809   4071098 42.46
33      95732   155     0.00162 0.99838 95655   3975288 41.53
34      95577   176     0.00184 0.99816 95491   3879633 40.59
35      95401   200     0.00210 0.99790 95302   3784142 39.67
36      95201   206     0.00217 0.99783 95099   3688840 38.75
37      94995   217     0.00228 0.99772 94888   3593741 37.83
38      94778   243     0.00257 0.99743 94659   3498853 36.92
39      94535   271     0.00286 0.99714 94401   3404194 36.01
40      94264   287     0.00305 0.99695 94122   3309793 35.11
41      93977   316     0.00336 0.99664 93821   3215671 34.22
42      93661   329     0.00351 0.99649 93499   3121850 33.33
43      93332   368     0.00395 0.99605 93152   3028351 32.45
44      92964   417     0.00448 0.99552 92757   2935200 31.57
45      92547   397     0.00429 0.99571 92352   2842443 30.71
46      92150   512     0.00555 0.99445 91898   2750090 29.84
47      91638   496     0.00542 0.99458 91392   2658192 29.01
48      91142   550     0.00604 0.99396 90871   2566801 28.16
49      90592   596     0.00658 0.99342 90295   2475930 27.33
50      89996   573     0.00637 0.99363 89714   2385635 26.51
51      89423   712     0.00797 0.99203 89070   2295920 25.67
52      88711   654     0.00737 0.99263 88384   2206850 24.88
53      88057   702     0.00798 0.99202 87710   2118466 24.06
54      87355   755     0.00864 0.99136 86981   2030756 23.25
55      86600   787     0.00909 0.99091 86212   1943775 22.45
56      85813   878     0.01023 0.98977 85381   1857563 21.65
57      84935   943     0.01111 0.98889 84471   1772183 20.87
58      83992   1047    0.01246 0.98754 83473   1687712 20.09
59      82945   1060    0.01277 0.98723 82420   1604239 19.34
60      81885   1157    0.01413 0.98587 81313   1521819 18.58
61      80728   1223    0.01515 0.98485 80122   1440506 17.84
62      79505   1280    0.01609 0.98391 78871   1360385 17.11
63      78225   1374    0.01757 0.98243 77546   1281513 16.38
64      76851   1461    0.01901 0.98099 76130   1203968 15.67
65      75390   1591    0.02110 0.97890 74603   1127838 14.96
66      73799   1675    0.02270 0.97730 72971   1053235 14.27
67      72124   1810    0.02510 0.97490 71230   980264  13.59
