# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 2002
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1346    0.01346 0.98654 99327   6536905 65.37
1       98654   105     0.00107 0.99893 98602   6437578 65.25
2       98549   71      0.00072 0.99928 98514   6338976 64.32
3       98478   57      0.00058 0.99942 98450   6240463 63.37
4       98421   50      0.00051 0.99949 98396   6142013 62.41
5       98371   42      0.00042 0.99958 98349   6043617 61.44
6       98329   37      0.00038 0.99962 98310   5945268 60.46
7       98292   34      0.00035 0.99965 98275   5846958 59.49
8       98258   34      0.00035 0.99965 98241   5748683 58.51
9       98224   35      0.00036 0.99964 98207   5650442 57.53
10      98189   36      0.00037 0.99963 98171   5552235 56.55
11      98153   39      0.00040 0.99960 98134   5454064 55.57
12      98114   37      0.00037 0.99963 98096   5355930 54.59
13      98077   44      0.00045 0.99955 98055   5257835 53.61
14      98033   48      0.00049 0.99951 98010   5159779 52.63
15      97985   64      0.00065 0.99935 97955   5061769 51.66
16      97921   87      0.00089 0.99911 97879   4963815 50.69
17      97834   106     0.00108 0.99892 97783   4865936 49.74
18      97728   127     0.00130 0.99870 97667   4768153 48.79
19      97601   154     0.00158 0.99842 97526   4670486 47.85
20      97447   178     0.00183 0.99817 97360   4572960 46.93
21      97269   202     0.00207 0.99793 97170   4475600 46.01
22      97067   222     0.00229 0.99771 96958   4378430 45.11
23      96845   245     0.00253 0.99747 96724   4281473 44.21
24      96600   257     0.00266 0.99734 96474   4184749 43.32
25      96343   293     0.00304 0.99696 96198   4088275 42.43
26      96050   296     0.00309 0.99691 95903   3992077 41.56
27      95754   323     0.00337 0.99663 95595   3896174 40.69
28      95431   346     0.00363 0.99637 95259   3800579 39.83
29      95085   343     0.00361 0.99639 94916   3705320 38.97
30      94742   398     0.00420 0.99580 94545   3610405 38.11
31      94344   397     0.00421 0.99579 94146   3515859 37.27
32      93947   403     0.00429 0.99571 93747   3421714 36.42
33      93544   426     0.00455 0.99545 93333   3327967 35.58
34      93118   455     0.00488 0.99512 92894   3234634 34.74
35      92663   501     0.00541 0.99459 92415   3141740 33.91
36      92162   507     0.00551 0.99449 91910   3049326 33.09
37      91655   542     0.00591 0.99409 91387   2957415 32.27
38      91113   574     0.00630 0.99370 90828   2866029 31.46
39      90539   594     0.00657 0.99343 90248   2775200 30.65
40      89945   728     0.00809 0.99191 89585   2684952 29.85
41      89217   690     0.00773 0.99227 88872   2595367 29.09
42      88527   728     0.00822 0.99178 88166   2506495 28.31
43      87799   771     0.00878 0.99122 87418   2418329 27.54
44      87028   827     0.00950 0.99050 86621   2330911 26.78
45      86201   925     0.01073 0.98927 85743   2244290 26.04
46      85276   936     0.01097 0.98903 84812   2158547 25.31
47      84340   1016    0.01205 0.98795 83837   2073735 24.59
48      83324   1044    0.01252 0.98748 82805   1989899 23.88
49      82280   1081    0.01314 0.98686 81751   1907094 23.18
50      81199   1320    0.01626 0.98374 80545   1825343 22.48
51      79879   1217    0.01524 0.98476 79269   1744798 21.84
52      78662   1289    0.01638 0.98362 78025   1665529 21.17
53      77373   1397    0.01806 0.98194 76673   1587504 20.52
54      75976   1248    0.01643 0.98357 75361   1510831 19.89
55      74728   1616    0.02162 0.97838 73928   1435470 19.21
56      73112   1438    0.01967 0.98033 72391   1361542 18.62
57      71674   1567    0.02186 0.97814 70898   1289151 17.99
58      70107   1613    0.02300 0.97700 69295   1218254 17.38
59      68494   1427    0.02084 0.97916 67793   1148959 16.77
60      67067   1920    0.02863 0.97137 66120   1081166 16.12
61      65147   1731    0.02657 0.97343 64276   1015046 15.58
62      63416   1790    0.02823 0.97177 62528   950770  14.99
63      61626   1898    0.03079 0.96921 60678   888242  14.41
64      59728   1814    0.03037 0.96963 58824   827564  13.86
65      57914   1967    0.03396 0.96604 56939   768740  13.27
66      55947   2021    0.03612 0.96388 54942   711801  12.72
67      53926   2104    0.03902 0.96098 52876   656859  12.18
68      51822   2061    0.03977 0.96023 50794   603983  11.65
69      49761   2166    0.04353 0.95647 48687   553189  11.12
70      47595   2275    0.04781 0.95219 46461   504502  10.60
71      45320   2252    0.04970 0.95030 44196   458041  10.11
72      43068   2334    0.05419 0.94581 41907   413844  9.61
73      40734   2388    0.05863 0.94137 39545   371938  9.13
