# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 2003
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  1590    0.01590 0.98410 99205   5728843 57.29
1       98410   224     0.00228 0.99772 98298   5629638 57.21
2       98186   125     0.00128 0.99872 98124   5531340 56.34
3       98061   89      0.00091 0.99909 98017   5433217 55.41
4       97972   82      0.00084 0.99916 97931   5335200 54.46
5       97890   70      0.00072 0.99928 97854   5237269 53.50
6       97820   68      0.00069 0.99931 97786   5139415 52.54
7       97752   62      0.00064 0.99936 97721   5041629 51.58
8       97690   64      0.00066 0.99934 97658   4943908 50.61
9       97626   51      0.00053 0.99947 97600   4846251 49.64
10      97575   51      0.00053 0.99947 97550   4748651 48.67
11      97524   63      0.00065 0.99935 97493   4651101 47.69
12      97461   64      0.00066 0.99934 97429   4553608 46.72
13      97397   67      0.00069 0.99931 97364   4456178 45.75
14      97330   85      0.00087 0.99913 97290   4358814 44.78
15      97245   118     0.00121 0.99879 97190   4261524 43.82
16      97127   173     0.00178 0.99822 97046   4164335 42.88
17      96954   239     0.00246 0.99754 96840   4067289 41.95
18      96715   295     0.00305 0.99695 96572   3970450 41.05
19      96420   344     0.00357 0.99643 96254   3873878 40.18
20      96076   444     0.00462 0.99538 95860   3777624 39.32
21      95632   498     0.00521 0.99479 95385   3681763 38.50
22      95134   502     0.00527 0.99473 94884   3586378 37.70
23      94632   528     0.00558 0.99442 94370   3491494 36.90
24      94104   561     0.00596 0.99404 93826   3397123 36.10
25      93543   584     0.00624 0.99376 93253   3303297 35.31
26      92959   614     0.00660 0.99340 92655   3210044 34.53
27      92345   644     0.00697 0.99303 92024   3117390 33.76
28      91701   644     0.00703 0.99297 91381   3025365 32.99
29      91057   693     0.00761 0.99239 90713   2933984 32.22
30      90364   701     0.00775 0.99225 90014   2843271 31.46
31      89663   697     0.00777 0.99223 89315   2753258 30.71
32      88966   714     0.00803 0.99197 88614   2663943 29.94
33      88252   811     0.00919 0.99081 87850   2575329 29.18
34      87441   805     0.00921 0.99079 87039   2487479 28.45
35      86636   828     0.00956 0.99044 86224   2400439 27.71
36      85808   849     0.00989 0.99011 85387   2314216 26.97
37      84959   919     0.01081 0.98919 84504   2228828 26.23
38      84040   946     0.01126 0.98874 83571   2144325 25.52
39      83094   1008    0.01213 0.98787 82595   2060754 24.80
40      82086   1071    0.01305 0.98695 81553   1978159 24.10
41      81015   1072    0.01324 0.98676 80482   1896606 23.41
42      79943   1141    0.01427 0.98573 79378   1816124 22.72
43      78802   1208    0.01533 0.98467 78205   1736746 22.04
44      77594   1305    0.01681 0.98319 76946   1658541 21.37
45      76289   1315    0.01723 0.98277 75634   1581595 20.73
46      74974   1361    0.01815 0.98185 74302   1505961 20.09
47      73613   1508    0.02049 0.97951 72868   1431659 19.45
48      72105   1569    0.02177 0.97823 71326   1358792 18.84
49      70536   1634    0.02316 0.97684 69724   1287466 18.25
50      68902   1691    0.02454 0.97546 68062   1217742 17.67
51      67211   1771    0.02635 0.97365 66329   1149680 17.11
52      65440   1772    0.02707 0.97293 64559   1083351 16.55
53      63668   1879    0.02951 0.97049 62739   1018792 16.00
54      61789   2023    0.03274 0.96726 60777   956053  15.47
55      59766   1858    0.03109 0.96891 58844   895277  14.98
56      57908   2186    0.03775 0.96225 56819   836433  14.44
57      55722   1950    0.03500 0.96500 54745   779614  13.99
58      53772   2134    0.03968 0.96032 52713   724869  13.48
59      51638   2148    0.04159 0.95841 50559   672156  13.02
60      49490   2002    0.04045 0.95955 48503   621598  12.56
61      47488   2494    0.05252 0.94748 46250   573094  12.07
62      44994   2228    0.04953 0.95047 43868   526844  11.71
63      42766   2215    0.05179 0.94821 41660   482975  11.29
64      40551   2259    0.05572 0.94428 39415   441316  10.88
65      38292   2060    0.05379 0.94621 37257   401900  10.50
66      36232   2131    0.05881 0.94119 35169   364644  10.06
67      34101   2121    0.06219 0.93781 33037   329475  9.66
68      31980   2053    0.06421 0.93579 30948   296438  9.27
69      29927   1989    0.06646 0.93354 28931   265490  8.87
70      27938   2010    0.07193 0.92807 26934   236559  8.47
71      25928   2019    0.07787 0.92213 24915   209625  8.08
72      23909   1928    0.08066 0.91934 22941   184710  7.73
73      21981   1921    0.08738 0.91262 21017   161769  7.36
74      20060   1841    0.09176 0.90824 19137   140752  7.02
75      18219   1861    0.10216 0.89784 17282   121615  6.68
76      16358   1690    0.10334 0.89666 15503   104332  6.38
77      14668   1624    0.11072 0.88928 13848   88829   6.06
78      13044   1490    0.11422 0.88578 12295   74982   5.75
79      11554   1520    0.13158 0.86842 10786   62687   5.43
80      10034   1296    0.12913 0.87087 9374    51901   5.17
81      8738    1222    0.13988 0.86012 8121    42528   4.87
82      7516    1156    0.15374 0.84626 6931    34406   4.58
83      6360    1046    0.16452 0.83548 5827    27476   4.32
84      5314    921     0.17334 0.82666 4844    21649   4.07
85      4393    819     0.18644 0.81356 3975    16804   3.83
86      3574    728     0.20381 0.79619 3201    12829   3.59
87      2846    605     0.21250 0.78750 2535    9628    3.38
88      2241    530     0.23665 0.76335 1969    7093    3.16
89      1711    430     0.25161 0.74839 1488    5124    2.99
90      1281    328     0.25630 0.74370 1110    3636    2.84
91      953     268     0.28128 0.71872 813     2526    2.65
92      685     193     0.28186 0.71814 584     1713    2.50
93      492     158     0.32137 0.67863 410     1129    2.29
94      334     118     0.35338 0.64662 272     719     2.15
95      216     77      0.35855 0.64145 175     447     2.07
96      139     54      0.39186 0.60814 110     273     1.96
97      85      28      0.32641 0.67359 70      163     1.91
98      57      19      0.32598 0.67402 47      93      1.63
99      38      17      0.45172 0.54828 29      46      1.21
100     21      7       0.31968 0.68032 17      17      0.81
