# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 2010
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  640     0.00640 0.99360 99680   7538665 75.39
1       99360   64      0.00064 0.99936 99328   7438985 74.87
2       99296   36      0.00036 0.99964 99278   7339657 73.92
3       99260   29      0.00029 0.99971 99246   7240379 72.94
4       99231   25      0.00025 0.99975 99219   7141133 71.96
5       99206   28      0.00028 0.99972 99192   7041915 70.98
6       99178   20      0.00020 0.99980 99168   6942723 70.00
7       99158   21      0.00021 0.99979 99147   6843555 69.02
8       99137   19      0.00019 0.99981 99127   6744408 68.03
9       99118   19      0.00019 0.99981 99109   6645280 67.04
10      99099   19      0.00019 0.99981 99090   6546172 66.06
11      99080   19      0.00019 0.99981 99071   6447082 65.07
12      99061   21      0.00022 0.99978 99051   6348012 64.08
13      99040   27      0.00027 0.99973 99027   6248961 63.10
14      99013   30      0.00031 0.99969 98998   6149934 62.11
15      98983   36      0.00037 0.99963 98965   6050936 61.13
16      98947   36      0.00036 0.99964 98929   5951970 60.15
17      98911   42      0.00042 0.99958 98890   5853041 59.17
18      98869   44      0.00044 0.99956 98847   5754151 58.20
19      98825   50      0.00050 0.99950 98800   5655304 57.23
20      98775   55      0.00056 0.99944 98748   5556503 56.25
21      98720   62      0.00063 0.99937 98690   5457755 55.29
22      98658   68      0.00069 0.99931 98624   5359066 54.32
23      98590   72      0.00073 0.99927 98555   5260441 53.36
24      98518   82      0.00083 0.99917 98478   5161887 52.40
25      98436   91      0.00092 0.99908 98392   5063409 51.44
26      98345   108     0.00110 0.99890 98293   4965017 50.49
27      98237   127     0.00129 0.99871 98175   4866725 49.54
28      98110   138     0.00141 0.99859 98042   4768550 48.60
29      97972   148     0.00151 0.99849 97899   4670508 47.67
30      97824   161     0.00164 0.99836 97745   4572609 46.74
31      97663   172     0.00176 0.99824 97578   4474865 45.82
32      97491   185     0.00190 0.99810 97399   4377287 44.90
33      97306   181     0.00186 0.99814 97216   4279888 43.98
34      97125   187     0.00192 0.99808 97033   4182672 43.06
35      96938   209     0.00216 0.99784 96834   4085639 42.15
36      96729   208     0.00215 0.99785 96625   3988805 41.24
37      96521   215     0.00223 0.99777 96415   3892180 40.32
38      96306   235     0.00244 0.99756 96189   3795765 39.41
39      96071   235     0.00245 0.99755 95955   3699576 38.51
