# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 2017
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  538     0.00538 0.99462 99731   7272243 72.72
1       99462   50      0.00050 0.99950 99437   7172512 72.11
2       99412   34      0.00035 0.99965 99395   7073075 71.15
3       99378   27      0.00027 0.99973 99365   6973680 70.17
4       99351   22      0.00023 0.99977 99340   6874316 69.19
5       99329   20      0.00021 0.99979 99319   6774976 68.21
6       99309   21      0.00021 0.99979 99299   6675657 67.22
7       99288   21      0.00021 0.99979 99277   6576358 66.24
8       99267   19      0.00019 0.99981 99257   6477081 65.25
9       99248   18      0.00018 0.99982 99239   6377824 64.26
10      99230   19      0.00019 0.99981 99221   6278585 63.27
11      99211   20      0.00020 0.99980 99201   6179364 62.29
12      99191   23      0.00023 0.99977 99180   6080163 61.30
13      99168   28      0.00029 0.99971 99155   5980983 60.31
14      99140   35      0.00036 0.99964 99123   5881829 59.33
15      99105   41      0.00042 0.99958 99085   5782706 58.35
16      99064   49      0.00049 0.99951 99040   5683620 57.37
17      99015   52      0.00053 0.99947 98990   5584581 56.40
18      98963   77      0.00078 0.99922 98926   5485590 55.43
19      98886   85      0.00086 0.99914 98844   5386664 54.47
20      98801   89      0.00090 0.99910 98757   5287820 53.52
21      98712   88      0.00089 0.99911 98668   5189064 52.57
22      98624   98      0.00100 0.99900 98576   5090395 51.61
23      98526   110     0.00112 0.99888 98472   4991820 50.66
24      98416   117     0.00119 0.99881 98358   4893348 49.72
25      98299   131     0.00134 0.99866 98234   4794989 48.78
26      98168   133     0.00136 0.99864 98102   4696755 47.84
27      98035   154     0.00157 0.99843 97959   4598653 46.91
28      97881   168     0.00171 0.99829 97799   4500693 45.98
29      97713   197     0.00201 0.99799 97617   4402894 45.06
30      97516   219     0.00224 0.99776 97407   4305278 44.15
31      97297   220     0.00226 0.99774 97188   4207870 43.25
32      97077   246     0.00253 0.99747 96957   4110682 42.34
33      96831   283     0.00292 0.99708 96693   4013726 41.45
34      96548   323     0.00335 0.99665 96389   3917033 40.57
35      96225   353     0.00367 0.99633 96050   3820644 39.71
36      95872   359     0.00375 0.99625 95694   3724594 38.85
37      95513   377     0.00395 0.99605 95327   3628900 37.99
38      95136   415     0.00436 0.99564 94931   3533573 37.14
39      94721   436     0.00460 0.99540 94505   3438642 36.30
40      94285   451     0.00478 0.99522 94060   3344138 35.47
41      93834   445     0.00474 0.99526 93612   3250078 34.64
42      93389   466     0.00499 0.99501 93158   3156466 33.80
43      92923   496     0.00533 0.99467 92677   3063308 32.97
44      92427   507     0.00548 0.99452 92175   2970631 32.14
45      91920   534     0.00580 0.99420 91654   2878456 31.31
46      91386   532     0.00583 0.99417 91121   2786802 30.49
47      90854   554     0.00610 0.99390 90579   2695681 29.67
48      90300   584     0.00646 0.99354 90010   2605102 28.85
49      89716   613     0.00683 0.99317 89414   2515091 28.03
50      89103   693     0.00778 0.99222 88760   2425677 27.22
51      88410   693     0.00784 0.99216 88065   2336917 26.43
52      87717   722     0.00823 0.99177 87360   2248853 25.64
53      86995   780     0.00897 0.99103 86609   2161493 24.85
54      86215   829     0.00961 0.99039 85806   2074884 24.07
55      85386   920     0.01077 0.98923 84931   1989077 23.30
56      84466   957     0.01133 0.98867 83991   1904146 22.54
57      83509   998     0.01195 0.98805 83015   1820155 21.80
58      82511   1080    0.01309 0.98691 81977   1737140 21.05
59      81431   1143    0.01403 0.98597 80867   1655163 20.33
60      80288   1252    0.01559 0.98441 79668   1574296 19.61
61      79036   1297    0.01641 0.98359 78393   1494628 18.91
62      77739   1379    0.01774 0.98226 77055   1416235 18.22
63      76360   1435    0.01880 0.98120 75647   1339180 17.54
64      74925   1489    0.01987 0.98013 74188   1263533 16.86
65      73436   1622    0.02209 0.97791 72631   1189345 16.20
66      71814   1625    0.02262 0.97738 71005   1116714 15.55
67      70189   1716    0.02445 0.97555 69343   1045709 14.90
68      68473   1913    0.02794 0.97206 67518   976366  14.26
69      66560   1758    0.02641 0.97359 65692   908847  13.65
70      64802   2166    0.03342 0.96658 63725   843156  13.01
71      62636   1891    0.03019 0.96981 61685   779431  12.44
