# # Таблица построена модулем rtss.rosbris1959.ExportMortalityTables по данным в РосБРИС для РСФСР 2021
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  435     0.00435 0.99565 99783   7377365 73.77
1       99565   54      0.00055 0.99945 99538   7277583 73.09
2       99511   36      0.00036 0.99964 99493   7178045 72.13
3       99475   30      0.00030 0.99970 99460   7078552 71.16
4       99445   24      0.00024 0.99976 99433   6979092 70.18
5       99421   18      0.00018 0.99982 99412   6879659 69.20
6       99403   15      0.00015 0.99985 99395   6780247 68.21
7       99388   16      0.00016 0.99984 99380   6680852 67.22
8       99372   14      0.00014 0.99986 99365   6581472 66.23
9       99358   17      0.00017 0.99983 99350   6482107 65.24
10      99341   19      0.00019 0.99981 99331   6382757 64.25
11      99322   15      0.00016 0.99984 99315   6283426 63.26
12      99307   23      0.00023 0.99977 99296   6184111 62.27
13      99284   22      0.00022 0.99978 99273   6084815 61.29
14      99262   27      0.00027 0.99973 99249   5985542 60.30
15      99235   32      0.00032 0.99968 99220   5886293 59.32
16      99203   43      0.00044 0.99956 99182   5787073 58.34
17      99160   46      0.00047 0.99953 99138   5687891 57.36
18      99114   60      0.00060 0.99940 99085   5588754 56.39
19      99054   64      0.00065 0.99935 99022   5489669 55.42
20      98990   59      0.00059 0.99941 98960   5390647 54.46
21      98931   59      0.00059 0.99941 98902   5291687 53.49
22      98872   65      0.00066 0.99934 98841   5192785 52.52
23      98807   86      0.00087 0.99913 98764   5093944 51.55
24      98721   61      0.00061 0.99939 98690   4995180 50.60
25      98660   67      0.00068 0.99932 98628   4896491 49.63
26      98593   90      0.00092 0.99908 98549   4797863 48.66
27      98503   99      0.00101 0.99899 98454   4699314 47.71
28      98404   106     0.00108 0.99892 98352   4600859 46.75
29      98298   124     0.00126 0.99874 98237   4502507 45.80
30      98174   129     0.00131 0.99869 98110   4404270 44.86
31      98045   145     0.00148 0.99852 97974   4306160 43.92
32      97900   174     0.00178 0.99822 97815   4208186 42.98
33      97726   181     0.00185 0.99815 97637   4110371 42.06
34      97545   219     0.00225 0.99775 97437   4012734 41.14
35      97326   225     0.00232 0.99768 97214   3915297 40.23
36      97101   239     0.00246 0.99754 96984   3818082 39.32
37      96862   290     0.00299 0.99701 96720   3721098 38.42
38      96572   300     0.00311 0.99689 96423   3624378 37.53
39      96272   309     0.00321 0.99679 96118   3527956 36.65
40      95963   314     0.00327 0.99673 95808   3431838 35.76
41      95649   355     0.00372 0.99628 95474   3336030 34.88
42      95294   369     0.00387 0.99613 95111   3240556 34.01
43      94925   389     0.00410 0.99590 94733   3145445 33.14
44      94536   421     0.00445 0.99555 94327   3050712 32.27
45      94115   423     0.00450 0.99550 93904   2956385 31.41
46      93692   443     0.00472 0.99528 93471   2862481 30.55
47      93249   439     0.00471 0.99529 93031   2769010 29.69
48      92810   477     0.00514 0.99486 92576   2675979 28.83
49      92333   540     0.00584 0.99416 92066   2583403 27.98
