# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  17469   0.17469 0.82531 89314   4398587 43.99
                1       82531   6495    0.07870 0.92130 77938   4309273 52.21
                2       76036   2493    0.03279 0.96721 74286   4231335 55.65
                3       73543   1272    0.01729 0.98271 72666   4157049 56.53
                4       72271   764     0.01057 0.98943 71740   4084383 56.51
                                                                        
                5       71507   613     0.00857 0.99143 71190   4012643 56.12
                6       70894   490     0.00691 0.99309 70640   3941453 55.60
                7       70404   391     0.00555 0.99445 70202   3870813 54.98
                8       70013   314     0.00448 0.99552 69850   3800611 54.28
                9       69699   256     0.00367 0.99633 69567   3730761 53.53
                                                                        
                10      69443   215     0.00310 0.99690 69333   3661194 52.72
                11      69228   190     0.00275 0.99725 69131   3591861 51.88
                12      69038   178     0.00258 0.99742 68948   3522730 51.03
                13      68860   174     0.00253 0.99747 68773   3453782 50.16
                14      68686   176     0.00256 0.99744 68599   3385009 49.28
                                                                        
                15      68510   190     0.00277 0.99723 68417   3316410 48.41
                16      68320   216     0.00316 0.99684 68215   3247993 47.54
                17      68104   251     0.00369 0.99631 67981   3179778 46.69
                18      67853   273     0.00403 0.99597 67719   3111797 45.86
                19      67580   290     0.00429 0.99571 67436   3044078 45.04
                                                                        
                20      67290   301     0.00448 0.99552 67141   2976642 44.24
                21      66989   309     0.00461 0.99539 66836   2909501 43.43
                22      66680   313     0.00470 0.99530 66524   2842665 42.63
                23      66367   316     0.00476 0.99524 66209   2776141 41.83
                24      66051   317     0.00480 0.99520 65893   2709932 41.03
                                                                        
                25      65734   318     0.00484 0.99516 65575   2644039 40.22
                26      65416   320     0.00489 0.99511 65256   2578464 39.42
                27      65096   324     0.00497 0.99503 64934   2513208 38.61
                28      64772   330     0.00509 0.99491 64608   2448274 37.80
                29      64442   339     0.00526 0.99474 64274   2383666 36.99
                                                                        
                30      64103   352     0.00549 0.99451 63928   2319392 36.18
                31      63751   363     0.00569 0.99431 63571   2255464 35.38
                32      63388   378     0.00597 0.99403 63200   2191893 34.58
                33      63010   396     0.00628 0.99372 62814   2128693 33.78
                34      62614   415     0.00663 0.99337 62409   2065879 32.99
                                                                        
                35      62199   435     0.00700 0.99300 61984   2003470 32.21
                36      61764   455     0.00737 0.99263 61539   1941486 31.43
                37      61309   476     0.00776 0.99224 61073   1879947 30.66
                38      60833   498     0.00819 0.99181 60586   1818874 29.90
                39      60335   523     0.00866 0.99134 60076   1758288 29.14
                                                                        
                40      59812   547     0.00914 0.99086 59541   1698212 28.39
                41      59265   570     0.00962 0.99038 58982   1638671 27.65
                42      58695   595     0.01013 0.98987 58400   1579689 26.91
                43      58100   622     0.01070 0.98930 57791   1521289 26.18
                44      57478   650     0.01130 0.98870 57156   1463498 25.46
                                                                        
                45      56828   683     0.01201 0.98799 56490   1406342 24.75
                46      56145   720     0.01282 0.98718 55788   1349852 24.04
                47      55425   758     0.01367 0.98633 55049   1294064 23.35
                48      54667   795     0.01455 0.98545 54273   1239015 22.66
                49      53872   835     0.01550 0.98450 53458   1184742 21.99
                                                                        
                50      53037   874     0.01647 0.98353 52603   1131284 21.33
                51      52163   913     0.01750 0.98250 51710   1078681 20.68
                52      51250   953     0.01859 0.98141 50777   1026971 20.04
                53      50297   993     0.01975 0.98025 49804   976194  19.41
                54      49304   1033    0.02096 0.97904 48791   926390  18.79
                                                                        
                55      48271   1073    0.02222 0.97778 47738   877599  18.18
                56      47198   1111    0.02353 0.97647 46646   829861  17.58
                57      46087   1147    0.02489 0.97511 45517   783215  16.99
                58      44940   1182    0.02631 0.97369 44352   737698  16.42
                59      43758   1216    0.02778 0.97222 43153   693346  15.85
                                                                        
                60      42542   1249    0.02936 0.97064 41921   650193  15.28
                61      41293   1282    0.03105 0.96895 40655   608272  14.73
                62      40011   1312    0.03278 0.96722 39357   567617  14.19
                63      38699   1338    0.03458 0.96542 38032   528260  13.65
                64      37361   1366    0.03655 0.96345 36680   490228  13.12
                                                                        
                65      35995   1393    0.03871 0.96129 35301   453548  12.60
                66      34602   1424    0.04114 0.95886 33893   418247  12.09
                67      33178   1460    0.04399 0.95601 32451   384354  11.58
                68      31718   1498    0.04723 0.95277 30972   351903  11.09
                69      30220   1536    0.05083 0.94917 29455   320931  10.62
                                                                        
                70      28684   1569    0.05471 0.94529 27902   291476  10.16
                71      27115   1595    0.05882 0.94118 26320   263574  9.72
                72      25520   1614    0.06324 0.93676 24714   237254  9.30
                73      23906   1628    0.06812 0.93188 23093   212540  8.89
