# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  4060    0.04060 0.95940 97272   6859240 68.59
                1       95940   806     0.00840 0.99160 95390   6761968 70.48
                2       95134   354     0.00372 0.99628 94887   6666578 70.08
                3       94780   212     0.00224 0.99776 94638   6571691 69.34
                4       94568   152     0.00161 0.99839 94469   6477053 68.49
                                                                        
                5       94416   124     0.00131 0.99869 94353   6382584 67.60
                6       94292   116     0.00123 0.99877 94233   6288231 66.69
                7       94176   107     0.00114 0.99886 94122   6193998 65.77
                8       94069   97      0.00103 0.99897 94019   6099876 64.84
                9       93972   87      0.00093 0.99907 93928   6005857 63.91
                                                                        
                10      93885   79      0.00084 0.99916 93845   5911929 62.97
                11      93806   76      0.00081 0.99919 93768   5818084 62.02
                12      93730   76      0.00081 0.99919 93692   5724316 61.07
                13      93654   77      0.00082 0.99918 93616   5630624 60.12
                14      93577   80      0.00085 0.99915 93537   5537008 59.17
                                                                        
                15      93497   88      0.00094 0.99906 93454   5443471 58.22
                16      93409   99      0.00106 0.99894 93360   5350017 57.28
                17      93310   118     0.00126 0.99874 93252   5256657 56.34
                18      93192   132     0.00142 0.99858 93127   5163405 55.41
                19      93060   143     0.00154 0.99846 92990   5070278 54.48
                                                                        
                20      92917   150     0.00161 0.99839 92843   4977288 53.57
                21      92767   157     0.00169 0.99831 92689   4884445 52.65
                22      92610   166     0.00179 0.99821 92528   4791756 51.74
                23      92444   176     0.00190 0.99810 92357   4699228 50.83
                24      92268   184     0.00199 0.99801 92176   4606871 49.93
                                                                        
                25      92084   187     0.00203 0.99797 91991   4514695 49.03
                26      91897   191     0.00208 0.99792 91801   4422704 48.13
                27      91706   197     0.00215 0.99785 91609   4330903 47.23
                28      91509   206     0.00225 0.99775 91407   4239294 46.33
                29      91303   213     0.00233 0.99767 91197   4147887 45.43
                                                                        
                30      91090   219     0.00240 0.99760 90981   4056690 44.53
                31      90871   225     0.00248 0.99752 90758   3965709 43.64
                32      90646   230     0.00254 0.99746 90531   3874951 42.75
                33      90416   236     0.00261 0.99739 90299   3784420 41.86
                34      90180   243     0.00269 0.99731 90060   3694121 40.96
                                                                        
                35      89937   251     0.00279 0.99721 89812   3604061 40.07
                36      89686   261     0.00291 0.99709 89557   3514249 39.18
                37      89425   273     0.00305 0.99695 89289   3424692 38.30
                38      89152   286     0.00321 0.99679 89010   3335403 37.41
                39      88866   301     0.00339 0.99661 88717   3246393 36.53
                                                                        
                40      88565   319     0.00360 0.99640 88406   3157676 35.65
                41      88246   336     0.00381 0.99619 88079   3069270 34.78
                42      87910   352     0.00400 0.99600 87735   2981191 33.91
                43      87558   369     0.00421 0.99579 87375   2893456 33.05
                44      87189   384     0.00440 0.99560 86998   2806081 32.18
                                                                        
                45      86805   400     0.00461 0.99539 86607   2719083 31.32
                46      86405   423     0.00489 0.99511 86195   2632476 30.47
                47      85982   454     0.00528 0.99472 85758   2546281 29.61
                48      85528   493     0.00576 0.99424 85285   2460523 28.77
                49      85035   533     0.00627 0.99373 84771   2375238 27.93
                                                                        
                50      84502   573     0.00678 0.99322 84219   2290467 27.11
                51      83929   608     0.00725 0.99275 83628   2206248 26.29
                52      83321   649     0.00779 0.99221 83000   2122620 25.48
                53      82672   694     0.00839 0.99161 82329   2039620 24.67
                54      81978   742     0.00905 0.99095 81611   1957291 23.88
                                                                        
                55      81236   793     0.00976 0.99024 80844   1875680 23.09
                56      80443   848     0.01054 0.98946 80024   1794836 22.31
                57      79595   905     0.01137 0.98863 79147   1714812 21.54
                58      78690   966     0.01227 0.98773 78212   1635665 20.79
                59      77724   1031    0.01327 0.98673 77215   1557453 20.04
                                                                        
                60      76693   1099    0.01433 0.98567 76149   1480238 19.30
                61      75594   1170    0.01548 0.98452 75015   1404089 18.57
                62      74424   1247    0.01676 0.98324 73808   1329074 17.86
                63      73177   1330    0.01818 0.98182 72519   1255266 17.15
                64      71847   1418    0.01973 0.98027 71146   1182747 16.46
                                                                        
                65      70429   1516    0.02153 0.97847 69680   1111601 15.78
                66      68913   1625    0.02358 0.97642 68109   1041921 15.12
                67      67288   1733    0.02576 0.97424 66431   973812  14.47
                68      65555   1842    0.02810 0.97190 64643   907381  13.84
                69      63713   1951    0.03062 0.96938 62746   842738  13.23
                                                                        
                70      61762   2069    0.03350 0.96650 60738   779992  12.63
                71      59693   2184    0.03659 0.96341 58611   719254  12.05
                72      57509   2298    0.03996 0.96004 56369   660643  11.49
                73      55211   2409    0.04364 0.95636 54015   604274  10.94
                74      52802   2513    0.04759 0.95241 51554   550259  10.42
                                                                        
                75      50289   2605    0.05180 0.94820 48993   498705  9.92
                76      47684   2688    0.05637 0.94363 46347   449712  9.43
                77      44996   2767    0.06150 0.93850 43619   403365  8.96
                78      42229   2843    0.06733 0.93267 40813   359746  8.52
                79      39386   2905    0.07375 0.92625 37938   318933  8.10
                                                                        
                80      36481   2937    0.08051 0.91949 35013   280995  7.70
                81      33544   2933    0.08743 0.91257 32076   245982  7.33
                82      30611   2894    0.09453 0.90547 29160   213906  6.99
                83      27717   2826    0.10195 0.89805 26297   184746  6.67
                84      24891   2729    0.10964 0.89036 23517   158449  6.37
                                                                        
                85      22162   2600    0.11733 0.88267 20850   134932  6.09
                86      19562   2441    0.12479 0.87521 18328   114082  5.83
                87      17121   2258    0.13188 0.86812 15976   95754   5.59
                88      14863   2055    0.13828 0.86172 13819   79778   5.37
                89      12808   1867    0.14574 0.85426 11859   65959   5.15
                                                                        
                90      10941   1677    0.15326 0.84674 10086   54100   4.94
                91      9264    1490    0.16087 0.83913 8504    44014   4.75
                92      7774    1310    0.16852 0.83148 7104    35510   4.57
                93      6464    1139    0.17624 0.82376 5881    28406   4.39
                94      5325    980     0.18402 0.81598 4822    22525   4.23
                                                                        
                95      4345    834     0.19187 0.80813 3916    17703   4.07
                96      3511    701     0.19978 0.80022 3150    13787   3.93
                97      2810    584     0.20775 0.79225 2509    10637   3.79
                98      2226    480     0.21578 0.78422 1978    8128    3.65
                99      1746    391     0.22386 0.77614 1544    6150    3.52
                100     1355    314     0.23200 0.76800 1192    4606    3.40
