# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

                0       100000  4420    0.04420 0.95580 97089   6490130 64.90
                1       95580   935     0.00978 0.99022 94932   6393041 66.89
                2       94645   425     0.00449 0.99551 94340   6298109 66.54
                3       94220   254     0.00270 0.99730 94045   6203769 65.84
                4       93966   189     0.00201 0.99799 93837   6109724 65.02
                                                                        
                5       93777   152     0.00162 0.99838 93699   6015887 64.15
                6       93625   144     0.00154 0.99846 93552   5922188 63.25
                7       93481   135     0.00144 0.99856 93413   5828636 62.35
                8       93346   122     0.00131 0.99869 93284   5735223 61.44
                9       93224   110     0.00118 0.99882 93168   5641939 60.52
                                                                        
                10      93114   99      0.00106 0.99894 93063   5548771 59.59
                11      93015   97      0.00104 0.99896 92967   5455708 58.65
                12      92918   95      0.00102 0.99898 92870   5362741 57.71
                13      92823   96      0.00103 0.99897 92775   5269871 56.77
                14      92727   100     0.00108 0.99892 92678   5177096 55.83
                                                                        
                15      92627   111     0.00120 0.99880 92573   5084418 54.89
                16      92516   135     0.00146 0.99854 92450   4991845 53.96
                17      92381   163     0.00176 0.99824 92302   4899395 53.03
                18      92218   177     0.00192 0.99808 92130   4807093 52.13
                19      92041   183     0.00199 0.99801 91950   4714963 51.23
                                                                        
                20      91858   186     0.00203 0.99797 91765   4623013 50.33
                21      91672   193     0.00211 0.99789 91576   4531248 49.43
                22      91479   209     0.00228 0.99772 91377   4439672 48.53
                23      91270   230     0.00252 0.99748 91156   4348295 47.64
                24      91040   244     0.00268 0.99732 90919   4257139 46.76
                                                                        
                25      90796   255     0.00281 0.99719 90669   4166220 45.89
                26      90541   264     0.00292 0.99708 90410   4075551 45.01
                27      90277   271     0.00300 0.99700 90143   3985141 44.14
                28      90006   279     0.00310 0.99690 89867   3894998 43.27
                29      89727   287     0.00320 0.99680 89585   3805131 42.41
                                                                        
                30      89440   300     0.00335 0.99665 89291   3715546 41.54
                31      89140   312     0.00350 0.99650 88985   3626255 40.68
                32      88828   322     0.00362 0.99638 88668   3537270 39.82
                33      88506   332     0.00375 0.99625 88341   3448602 38.96
                34      88174   343     0.00389 0.99611 88003   3360261 38.11
                                                                        
                35      87831   355     0.00404 0.99596 87655   3272258 37.26
                36      87476   368     0.00421 0.99579 87293   3184603 36.41
                37      87108   383     0.00440 0.99560 86917   3097310 35.56
                38      86725   401     0.00462 0.99538 86527   3010393 34.71
                39      86324   422     0.00489 0.99511 86115   2923866 33.87
                                                                        
                40      85902   445     0.00518 0.99482 85681   2837751 33.03
                41      85457   469     0.00549 0.99451 85225   2752070 32.20
                42      84988   493     0.00580 0.99420 84743   2666845 31.38
                43      84495   520     0.00615 0.99385 84237   2582102 30.56
                44      83975   539     0.00642 0.99358 83708   2497865 29.75
                                                                        
                45      83436   559     0.00670 0.99330 83158   2414157 28.93
                46      82877   585     0.00706 0.99294 82588   2330999 28.13
                47      82292   627     0.00762 0.99238 81982   2248411 27.32
                48      81665   677     0.00829 0.99171 81331   2166429 26.53
                49      80988   730     0.00901 0.99099 80627   2085098 25.75
                                                                        
                50      80258   777     0.00968 0.99032 79873   2004471 24.98
                51      79481   822     0.01034 0.98966 79074   1924598 24.21
                52      78659   874     0.01111 0.98889 78227   1845524 23.46
                53      77785   931     0.01197 0.98803 77325   1767297 22.72
                54      76854   993     0.01292 0.98708 76362   1689972 21.99
                                                                        
                55      75861   1058    0.01394 0.98606 75337   1613610 21.27
                56      74803   1124    0.01502 0.98498 74247   1538273 20.56
                57      73679   1191    0.01616 0.98384 73090   1464026 19.87
                58      72488   1261    0.01739 0.98261 71863   1390936 19.19
                59      71227   1331    0.01868 0.98132 70568   1319073 18.52
                                                                        
                60      69896   1397    0.01999 0.98001 69202   1248505 17.86
                61      68499   1458    0.02129 0.97871 67775   1179303 17.22
                62      67041   1516    0.02262 0.97738 66288   1111528 16.58
                63      65525   1574    0.02402 0.97598 64743   1045240 15.95
                64      63951   1631    0.02551 0.97449 63141   980497  15.33
                                                                        
                65      62320   1699    0.02727 0.97273 61476   917356  14.72
                66      60621   1777    0.02932 0.97068 59740   855880  14.12
                67      58844   1858    0.03158 0.96842 57922   796140  13.53
                68      56986   1939    0.03402 0.96598 56023   738218  12.95
                69      55047   2018    0.03666 0.96334 54045   682195  12.39
                                                                        
                70      53029   2098    0.03957 0.96043 51987   628150  11.85
                71      50931   2178    0.04276 0.95724 49849   576163  11.31
                72      48753   2257    0.04630 0.95370 47631   526314  10.80
                73      46496   2328    0.05006 0.94994 45337   478683  10.30
                74      44168   2387    0.05405 0.94595 42978   433346  9.81
                                                                        
                75      41781   2435    0.05828 0.94172 40567   390368  9.34
                76      39346   2471    0.06279 0.93721 38112   349801  8.89
                77      36875   2491    0.06755 0.93245 35631   311689  8.45
                78      34384   2504    0.07283 0.92717 33133   276058  8.03
                79      31880   2523    0.07913 0.92087 30618   242925  7.62
                                                                        
                80      29357   2515    0.08568 0.91432 28099   212307  7.23
                81      26842   2487    0.09265 0.90735 25595   184208  6.86
                82      24355   2439    0.10015 0.89985 23131   158613  6.51
                83      21916   2369    0.10808 0.89192 20725   135482  6.18
                84      19547   2288    0.11707 0.88293 18395   114757  5.87
                                                                        
                85      17259   2178    0.12618 0.87382 16159   96362   5.58
                86      15081   2032    0.13472 0.86528 14052   80203   5.32
                87      13049   1862    0.14268 0.85732 12103   66151   5.07
                88      11187   1679    0.15007 0.84993 10334   54048   4.83
                89      9508    1515    0.15936 0.84064 8736    43714   4.60
                                                                        
                90      7993    1350    0.16894 0.83106 7304    34978   4.38
                91      6643    1188    0.17885 0.82115 6036    27674   4.17
                92      5455    1031    0.18907 0.81093 4927    21638   3.97
                93      4424    883     0.19961 0.80039 3970    16711   3.78
                94      3541    745     0.21049 0.78951 3158    12741   3.60
                                                                        
                95      2796    620     0.22168 0.77832 2476    9583    3.43
                96      2176    507     0.23320 0.76680 1913    7107    3.27
                97      1669    409     0.24507 0.75493 1457    5194    3.11
                98      1260    324     0.25726 0.74274 1092    3737    2.97
                99      936     253     0.26979 0.73021 804     2645    2.83
                100     683     193     0.28265 0.71735 583     1841    2.70
