Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  24530   0.24530 0.75470 87735   3146976 31.47
1       75470   9591    0.12708 0.87292 70675   3059241 40.54
2       65879   4657    0.07069 0.92931 63551   2988566 45.36
3       61222   2647    0.04323 0.95677 59899   2925016 47.78
4       58575   1699    0.02900 0.97100 57726   2865117 48.91
5       56876   1191    0.02094 0.97906 56246   2807392 49.36
6       55685   880     0.01581 0.98419 55223   2751145 49.41
7       54805   672     0.01226 0.98774 54454   2695922 49.19
8       54133   525     0.00969 0.99031 53860   2641468 48.80
9       53608   418     0.00780 0.99220 53391   2587608 48.27
10      53190   342     0.00643 0.99357 53014   2534216 47.64
11      52848   289     0.00548 0.99452 52700   2481203 46.95
12      52559   255     0.00485 0.99515 52429   2428503 46.21
13      52304   234     0.00447 0.99553 52186   2376074 45.43
14      52070   223     0.00428 0.99572 51958   2323888 44.63
15      51847   221     0.00426 0.99574 51737   2271930 43.82
16      51626   226     0.00438 0.99562 51514   2220193 43.01
17      51400   236     0.00460 0.99540 51283   2168680 42.19
18      51164   252     0.00493 0.99507 51040   2117397 41.38
19      50912   272     0.00533 0.99467 50778   2066357 40.59
20      50640   294     0.00580 0.99420 50495   2015579 39.80
21      50346   316     0.00628 0.99372 50190   1965085 39.03
22      50030   338     0.00675 0.99325 49863   1914895 38.27
23      49692   356     0.00716 0.99284 49515   1865032 37.53
24      49336   370     0.00751 0.99249 49152   1815517 36.80
25      48966   382     0.00779 0.99221 48776   1766365 36.07
26      48584   391     0.00805 0.99195 48389   1717589 35.35
27      48193   400     0.00829 0.99171 47994   1669200 34.64
28      47793   408     0.00855 0.99145 47590   1621206 33.92
29      47385   418     0.00882 0.99118 47177   1573616 33.21
30      46967   428     0.00912 0.99088 46754   1526439 32.50
31      46539   438     0.00942 0.99058 46321   1479685 31.79
32      46101   448     0.00971 0.99029 45878   1433365 31.09
33      45653   456     0.00999 0.99001 45426   1387487 30.39
34      45197   464     0.01026 0.98974 44966   1342061 29.69
35      44733   471     0.01053 0.98947 44498   1297096 29.00
36      44262   479     0.01082 0.98918 44023   1252597 28.30
37      43783   488     0.01115 0.98885 43540   1208574 27.60
38      43295   499     0.01153 0.98847 43047   1165034 26.91
39      42796   513     0.01198 0.98802 42541   1121988 26.22
40      42283   528     0.01249 0.98751 42020   1079447 25.53
41      41755   546     0.01308 0.98692 41484   1037427 24.85
42      41209   566     0.01374 0.98626 40928   995943  24.17
43      40643   588     0.01446 0.98554 40351   955015  23.50
44      40055   610     0.01523 0.98477 39752   914665  22.84
45      39445   632     0.01603 0.98397 39131   874913  22.18
46      38813   653     0.01684 0.98316 38488   835782  21.53
47      38160   672     0.01762 0.98238 37826   797294  20.89
48      37488   689     0.01838 0.98162 37145   759468  20.26
49      36799   704     0.01913 0.98087 36448   722323  19.63
50      36095   718     0.01990 0.98010 35737   685875  19.00
51      35377   734     0.02074 0.97926 35011   650138  18.38
52      34643   753     0.02173 0.97827 34268   615127  17.76
53      33890   776     0.02288 0.97712 33504   580858  17.14
54      33114   803     0.02425 0.97575 32715   547354  16.53
55      32311   835     0.02584 0.97416 31896   514639  15.93
56      31476   870     0.02763 0.97237 31044   482743  15.34
57      30606   907     0.02962 0.97038 30156   451699  14.76
58      29699   944     0.03179 0.96821 29230   421543  14.19
59      28755   981     0.03412 0.96588 28268   392313  13.64
60      27774   1016    0.03658 0.96342 27269   364046  13.11
61      26758   1048    0.03917 0.96083 26237   336777  12.59
62      25710   1077    0.04187 0.95813 25174   310540  12.08
63      24633   1101    0.04470 0.95530 24084   285367  11.58
64      23532   1122    0.04767 0.95233 22973   261282  11.10
65      22410   1140    0.05086 0.94914 21841   238310  10.63
66      21270   1156    0.05436 0.94564 20693   216468  10.18
67      20114   1172    0.05826 0.94174 19529   195775  9.73
68      18942   1186    0.06261 0.93739 18350   176246  9.30
69      17756   1197    0.06740 0.93260 17158   157896  8.89
70      16559   1202    0.07256 0.92744 15958   140738  8.50
71      15357   1196    0.07790 0.92210 14758   124780  8.13
72      14161   1179    0.08325 0.91675 13570   110021  7.77
73      12982   1149    0.08853 0.91147 12405   96452   7.43
74      11833   1109    0.09376 0.90624 11275   84047   7.10
75      10724   1063    0.09912 0.90088 10189   72772   6.79
76      9661    1014    0.10500 0.89500 9150    62584   6.48
77      8647    966     0.11170 0.88830 8160    53434   6.18
78      7681    917     0.11943 0.88057 7218    45274   5.89
79      6764    867     0.12824 0.87176 6326    38056   5.63
80      5897    813     0.13792 0.86208 5486    31729   5.38
81      5084    752     0.14790 0.85210 4703    26244   5.16
82      4332    683     0.15761 0.84239 3985    21541   4.97
83      3649    608     0.16653 0.83347 3339    17557   4.81
84      3041    530     0.17427 0.82573 2770    14218   4.68
85      2511    454     0.18065 0.81935 2278    11448   4.56
86      2057    382     0.18579 0.81421 1860    9171    4.46
87      1675    318     0.18985 0.81015 1511    7310    4.36
