# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  25730   0.25730 0.74270 87135   3597996 35.98
1       74270   8352    0.11245 0.88755 70094   3510861 47.27
2       65918   3644    0.05528 0.94472 64096   3440767 52.20
3       62274   1965    0.03156 0.96844 61292   3376671 54.22
4       60309   1249    0.02071 0.97929 59685   3315379 54.97
5       59060   891     0.01508 0.98492 58591   3255695 55.13
6       58169   675     0.01160 0.98840 57816   3197104 54.96
7       57494   526     0.00915 0.99085 57220   3139288 54.60
8       56968   415     0.00729 0.99271 56752   3082068 54.10
9       56553   332     0.00588 0.99412 56381   3025315 53.50
10      56221   271     0.00483 0.99517 56081   2968934 52.81
11      55950   230     0.00412 0.99588 55832   2912853 52.06
12      55720   205     0.00368 0.99632 55616   2857021 51.27
13      55515   192     0.00346 0.99654 55418   2801405 50.46
14      55323   189     0.00342 0.99658 55229   2745987 49.64
15      55134   194     0.00352 0.99648 55038   2690758 48.80
16      54940   205     0.00373 0.99627 54839   2635720 47.97
17      54735   221     0.00403 0.99597 54626   2580882 47.15
18      54514   240     0.00440 0.99560 54396   2526256 46.34
19      54274   261     0.00482 0.99518 54145   2471860 45.54
20      54013   284     0.00526 0.99474 53873   2417715 44.76
21      53729   306     0.00570 0.99430 53578   2363842 44.00
22      53423   327     0.00613 0.99387 53261   2310264 43.24
23      53096   347     0.00653 0.99347 52924   2257003 42.51
24      52749   363     0.00689 0.99311 52569   2204079 41.78
25      52386   378     0.00721 0.99279 52198   2151510 41.07
26      52008   391     0.00751 0.99249 51814   2099312 40.37
27      51617   403     0.00780 0.99220 51416   2047498 39.67
28      51214   414     0.00809 0.99191 51008   1996082 38.98
29      50800   426     0.00838 0.99162 50588   1945074 38.29
30      50374   436     0.00866 0.99134 50157   1894486 37.61
31      49938   445     0.00891 0.99109 49716   1844329 36.93
32      49493   452     0.00914 0.99086 49268   1794613 36.26
33      49041   457     0.00932 0.99068 48813   1745345 35.59
34      48584   460     0.00947 0.99053 48354   1696533 34.92
35      48124   461     0.00958 0.99042 47894   1648178 34.25
36      47663   461     0.00967 0.99033 47432   1600285 33.57
37      47202   460     0.00975 0.99025 46972   1552852 32.90
