Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  31980   0.31980 0.68020 84010   1798515 17.99
1       68020   11858   0.17433 0.82567 62091   1714505 25.21
2       56162   5668    0.10092 0.89908 53328   1652414 29.42
3       50494   3218    0.06372 0.93628 48885   1599086 31.67
4       47276   2091    0.04422 0.95578 46231   1550201 32.79
5       45185   1517    0.03358 0.96642 44389   1503971 33.28
6       43668   1202    0.02753 0.97247 43046   1459581 33.42
7       42466   1022    0.02407 0.97593 41943   1416535 33.36
8       41444   918     0.02214 0.97786 40978   1374592 33.17
9       40526   858     0.02118 0.97882 40093   1333613 32.91
10      39668   825     0.02079 0.97921 39253   1293520 32.61
11      38843   804     0.02070 0.97930 38439   1254267 32.29
12      38039   788     0.02070 0.97930 37644   1215828 31.96
13      37251   771     0.02069 0.97931 36864   1178184 31.63
14      36480   752     0.02061 0.97939 36102   1141320 31.29
15      35728   732     0.02049 0.97951 35360   1105218 30.93
16      34996   715     0.02042 0.97958 34637   1069857 30.57
17      34281   702     0.02046 0.97954 33929   1035220 30.20
18      33579   693     0.02064 0.97936 33232   1001291 29.82
19      32886   690     0.02097 0.97903 32541   968059  29.44
20      32196   690     0.02143 0.97857 31851   935518  29.06
21      31506   692     0.02196 0.97804 31160   903667  28.68
22      30814   694     0.02251 0.97749 30467   872507  28.32
23      30120   694     0.02305 0.97695 29773   842040  27.96
24      29426   693     0.02355 0.97645 29079   812267  27.60
25      28733   689     0.02399 0.97601 28388   783187  27.26
26      28044   683     0.02436 0.97564 27702   754799  26.91
27      27361   675     0.02466 0.97534 27023   727097  26.57
28      26686   665     0.02490 0.97510 26353   700075  26.23
29      26021   653     0.02509 0.97491 25694   673722  25.89
30      25368   641     0.02526 0.97474 25046   648028  25.55
31      24727   628     0.02541 0.97459 24412   622982  25.19
32      24099   616     0.02558 0.97442 23790   598570  24.84
33      23483   605     0.02577 0.97423 23180   574780  24.48
34      22878   594     0.02598 0.97402 22580   551600  24.11
35      22284   584     0.02622 0.97378 21991   529020  23.74
36      21700   574     0.02647 0.97353 21412   507029  23.37
37      21126   564     0.02671 0.97329 20843   485617  22.99
38      20562   554     0.02694 0.97306 20284   464774  22.60
39      20008   543     0.02716 0.97284 19736   444490  22.22
40      19465   532     0.02735 0.97265 19198   424754  21.82
41      18933   521     0.02750 0.97250 18672   405556  21.42
42      18412   509     0.02762 0.97238 18156   386884  21.01
43      17903   496     0.02772 0.97228 17654   368728  20.60
44      17407   484     0.02781 0.97219 17164   351074  20.17
45      16923   472     0.02790 0.97210 16686   333910  19.73
46      16451   461     0.02803 0.97197 16220   317224  19.28
47      15990   451     0.02822 0.97178 15764   301004  18.82
48      15539   443     0.02849 0.97151 15317   285241  18.36
49      15096   436     0.02886 0.97114 14877   269924  17.88
50      14660   430     0.02934 0.97066 14445   255046  17.40
51      14230   426     0.02994 0.97006 14017   240602  16.91
52      13804   423     0.03067 0.96933 13592   226585  16.41
53      13381   422     0.03153 0.96847 13170   212993  15.92
54      12959   422     0.03253 0.96747 12748   199823  15.42
55      12537   422     0.03366 0.96634 12326   187075  14.92
56      12115   423     0.03491 0.96509 11904   174749  14.42
57      11692   424     0.03627 0.96373 11480   162845  13.93
58      11268   426     0.03776 0.96224 11055   151365  13.43
59      10842   427     0.03940 0.96060 10629   140310  12.94
60      10415   429     0.04123 0.95877 10201   129681  12.45
61      9986    432     0.04330 0.95670 9770    119480  11.96
62      9554    436     0.04567 0.95433 9336    109710  11.48
63      9118    441     0.04837 0.95163 8898    100374  11.01
64      8677    446     0.05143 0.94857 8454    91476   10.54
65      8231    451     0.05483 0.94517 8006    83021   10.09
66      7780    455     0.05852 0.94148 7553    75016   9.64
67      7325    457     0.06245 0.93755 7097    67463   9.21
68      6868    458     0.06663 0.93337 6639    60366   8.79
69      6410    456     0.07107 0.92893 6182    53727   8.38
70      5954    452     0.07586 0.92414 5728    47546   7.99
71      5502    447     0.08117 0.91883 5278    41818   7.60
72      5055    440     0.08714 0.91286 4834    36540   7.23
73      4615    433     0.09388 0.90612 4398    31705   6.87
74      4182    424     0.10145 0.89855 3969    27308   6.53
75      3758    413     0.10981 0.89019 3550    23338   6.21
76      3345    397     0.11876 0.88124 3145    19788   5.92
77      2948    378     0.12808 0.87192 2757    16643   5.65
78      2570    353     0.13752 0.86248 2391    13886   5.40
79      2217    326     0.14684 0.85316 2052    11495   5.18
