Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  23550   0.23550 0.76450 88225   3407156 34.07
1       76450   9356    0.12238 0.87762 71772   3318931 43.41
2       67094   4376    0.06522 0.93478 64906   3247159 48.40
3       62718   2269    0.03617 0.96383 61584   3182253 50.74
4       60449   1277    0.02112 0.97888 59811   3120670 51.62
5       59172   775     0.01310 0.98690 58752   3060859 51.73
6       58397   508     0.00870 0.99130 58126   3002107 51.41
7       57889   360     0.00622 0.99378 57699   2943981 50.86
8       57529   275     0.00478 0.99522 57386   2886282 50.17
9       57254   226     0.00395 0.99605 57138   2828896 49.41
10      57028   199     0.00349 0.99651 56927   2771758 48.60
11      56829   188     0.00331 0.99669 56735   2714831 47.77
12      56641   188     0.00332 0.99668 56547   2658097 46.93
13      56453   198     0.00351 0.99649 56355   2601549 46.08
14      56255   217     0.00386 0.99614 56148   2545194 45.24
15      56038   241     0.00430 0.99570 55920   2489046 44.42
16      55797   269     0.00482 0.99518 55665   2433126 43.61
17      55528   295     0.00531 0.99469 55382   2377461 42.82
18      55233   314     0.00568 0.99432 55077   2322079 42.04
19      54919   324     0.00591 0.99409 54757   2267002 41.28
20      54595   324     0.00594 0.99406 54433   2212244 40.52
21      54271   323     0.00595 0.99405 54109   2157811 39.76
22      53948   322     0.00596 0.99404 53787   2103702 38.99
23      53626   323     0.00602 0.99398 53465   2049915 38.23
24      53303   327     0.00613 0.99387 53140   1996450 37.45
25      52976   338     0.00637 0.99363 52808   1943310 36.68
26      52638   348     0.00660 0.99340 52465   1890502 35.92
27      52290   359     0.00687 0.99313 52112   1838037 35.15
28      51931   372     0.00717 0.99283 51746   1785926 34.39
29      51559   386     0.00749 0.99251 51367   1734180 33.63
30      51173   400     0.00782 0.99218 50974   1682812 32.88
31      50773   416     0.00819 0.99181 50566   1631838 32.14
32      50357   432     0.00859 0.99141 50142   1581272 31.40
33      49925   450     0.00902 0.99098 49702   1531129 30.67
34      49475   469     0.00948 0.99052 49242   1481428 29.94
35      49006   477     0.00974 0.99026 48769   1432186 29.22
36      48529   496     0.01022 0.98978 48283   1383418 28.51
37      48033   513     0.01068 0.98932 47778   1335135 27.80
38      47520   530     0.01114 0.98886 47256   1287357 27.09
39      46990   545     0.01160 0.98840 46719   1240101 26.39
40      46445   556     0.01197 0.98803 46168   1193382 25.69
41      45889   572     0.01245 0.98755 45604   1147214 25.00
42      45317   589     0.01299 0.98701 45024   1101610 24.31
43      44728   608     0.01360 0.98640 44426   1056586 23.62
44      44120   630     0.01429 0.98571 43807   1012160 22.94
45      43490   652     0.01499 0.98501 43166   968353  22.27
46      42838   681     0.01589 0.98411 42500   925187  21.60
47      42157   712     0.01690 0.98310 41804   882687  20.94
48      41445   747     0.01802 0.98198 41074   840883  20.29
49      40698   783     0.01923 0.98077 40309   799809  19.65
50      39915   805     0.02018 0.97982 39515   759500  19.03
51      39110   840     0.02148 0.97852 38693   719985  18.41
52      38270   872     0.02279 0.97721 37837   681292  17.80
53      37398   901     0.02409 0.97591 36950   643456  17.21
54      36497   926     0.02538 0.97462 36035   606506  16.62
55      35571   914     0.02569 0.97431 35114   570472  16.04
56      34657   937     0.02702 0.97298 34190   535357  15.45
57      33720   961     0.02850 0.97150 33242   501167  14.86
58      32759   988     0.03017 0.96983 32267   467925  14.28
59      31771   1019    0.03208 0.96792 31264   435658  13.71
60      30752   1056    0.03432 0.96568 30227   404393  13.15
61      29696   1091    0.03673 0.96327 29153   374166  12.60
62      28605   1125    0.03933 0.96067 28045   345013  12.06
63      27480   1157    0.04212 0.95788 26904   316968  11.53
64      26323   1187    0.04509 0.95491 25731   290064  11.02
65      25136   1193    0.04748 0.95252 24541   264333  10.52
66      23943   1223    0.05107 0.94893 23334   239792  10.02
67      22720   1254    0.05520 0.94480 22096   216458  9.53
68      21466   1288    0.05998 0.94002 20825   194362  9.05
69      20178   1320    0.06544 0.93456 19520   173537  8.60
70      18858   1333    0.07069 0.92931 18193   154017  8.17
71      17525   1351    0.07708 0.92292 16850   135824  7.75
72      16174   1352    0.08357 0.91643 15497   118974  7.36
73      14822   1334    0.08997 0.91003 14153   103477  6.98
74      13488   1298    0.09627 0.90373 12835   89324   6.62
75      12190   1243    0.10200 0.89800 11564   76489   6.27
76      10947   1195    0.10913 0.89087 10345   64925   5.93
