# Таблица построена модулем rtss.data.mortality.synthetic.RSFSR_1940 по данным в АДХ-Россия
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  24275   0.24275 0.75725 87863   3651127 36.51
1       75725   10057   0.13280 0.86720 70697   3563264 47.06
2       65668   3543    0.05395 0.94605 63897   3492568 53.19
3       62125   1527    0.02457 0.97543 61362   3428671 55.19
4       60598   821     0.01355 0.98645 60188   3367310 55.57
5       59777   508     0.00850 0.99150 59506   3307122 55.32
6       59269   415     0.00700 0.99300 59057   3247616 54.79
7       58854   393     0.00668 0.99332 58655   3188559 54.18
8       58461   351     0.00601 0.99399 58281   3129905 53.54
9       58110   294     0.00505 0.99495 57958   3071623 52.86
10      57816   233     0.00403 0.99597 57695   3013665 52.13
11      57583   181     0.00314 0.99686 57489   2955970 51.33
12      57402   149     0.00259 0.99741 57326   2898481 50.49
13      57253   147     0.00256 0.99744 57180   2841155 49.62
14      57106   168     0.00294 0.99706 57024   2783975 48.75
15      56938   199     0.00349 0.99651 56841   2726951 47.89
16      56739   227     0.00399 0.99601 56627   2670110 47.06
17      56512   240     0.00424 0.99576 56393   2613483 46.25
18      56272   240     0.00426 0.99574 56152   2557090 45.44
19      56032   237     0.00423 0.99577 55913   2500938 44.63
20      55795   232     0.00415 0.99585 55679   2445025 43.82
21      55563   229     0.00412 0.99588 55448   2389346 43.00
22      55334   229     0.00414 0.99586 55220   2333898 42.18
23      55105   234     0.00425 0.99575 54989   2278678 41.35
24      54871   244     0.00444 0.99556 54750   2223690 40.53
25      54627   256     0.00468 0.99532 54500   2168940 39.70
26      54371   267     0.00492 0.99508 54238   2114440 38.89
27      54104   277     0.00512 0.99488 53966   2060201 38.08
28      53827   284     0.00528 0.99472 53686   2006235 37.27
29      53543   290     0.00542 0.99458 53399   1952550 36.47
30      53253   296     0.00556 0.99444 53106   1899151 35.66
31      52957   303     0.00571 0.99429 52806   1846046 34.86
32      52654   312     0.00592 0.99408 52499   1793239 34.06
33      52342   328     0.00627 0.99373 52180   1740740 33.26
34      52014   352     0.00676 0.99324 51840   1688561 32.46
35      51662   376     0.00728 0.99272 51476   1636721 31.68
36      51286   402     0.00784 0.99216 51087   1585245 30.91
37      50884   423     0.00832 0.99168 50674   1534158 30.15
38      50461   439     0.00870 0.99130 50243   1483484 29.40
39      50022   452     0.00904 0.99096 49797   1433241 28.65
40      49570   459     0.00926 0.99074 49341   1383444 27.91
41      49111   472     0.00962 0.99038 48876   1334103 27.17
42      48639   489     0.01005 0.98995 48396   1285227 26.42
43      48150   509     0.01058 0.98942 47897   1236831 25.69
44      47641   533     0.01119 0.98881 47376   1188933 24.96
45      47108   556     0.01179 0.98821 46832   1141557 24.23
46      46552   581     0.01249 0.98751 46264   1094725 23.52
47      45971   606     0.01319 0.98681 45670   1048461 22.81
48      45365   630     0.01389 0.98611 45052   1002791 22.10
49      44735   652     0.01459 0.98541 44411   957739  21.41
50      44083   671     0.01522 0.98478 43749   913329  20.72
51      43412   696     0.01604 0.98396 43066   869579  20.03
52      42716   725     0.01698 0.98302 42356   826513  19.35
53      41991   760     0.01810 0.98190 41614   784157  18.67
54      41231   801     0.01942 0.98058 40833   742543  18.01
55      40430   817     0.02020 0.97980 40024   701710  17.36
56      39613   859     0.02168 0.97832 39187   661686  16.70
57      38754   898     0.02318 0.97682 38308   622499  16.06
58      37856   935     0.02470 0.97530 37392   584191  15.43
59      36921   970     0.02628 0.97372 36439   546799  14.81
60      35951   1003    0.02790 0.97210 35452   510360  14.20
61      34948   1040    0.02976 0.97024 34431   474908  13.59
62      33908   1079    0.03183 0.96817 33372   440477  12.99
