# Таблица построена модулем rtss.data.mortality.synthetic.RSFSR_1940 по данным в АДХ-Россия
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  22540   0.22540 0.77460 88730   3972345 39.72
1       77460   8653    0.11171 0.88829 73134   3883615 50.14
2       68807   3966    0.05764 0.94236 66824   3810481 55.38
3       64841   1957    0.03018 0.96982 63863   3743657 57.74
4       62884   1010    0.01607 0.98393 62379   3679795 58.52
5       61874   663     0.01071 0.98929 61519   3617416 58.46
6       61211   446     0.00729 0.99271 60975   3555897 58.09
7       60765   346     0.00570 0.99430 60584   3494922 57.52
8       60419   260     0.00430 0.99570 60283   3434338 56.84
9       60159   210     0.00350 0.99650 60051   3374054 56.09
10      59949   191     0.00319 0.99681 59852   3314003 55.28
11      59758   179     0.00299 0.99701 59667   3254151 54.46
12      59579   166     0.00279 0.99721 59496   3194484 53.62
13      59413   174     0.00293 0.99707 59327   3134988 52.77
14      59239   183     0.00309 0.99691 59149   3075661 51.92
15      59056   209     0.00353 0.99647 58953   3016512 51.08
16      58847   216     0.00368 0.99632 58739   2957559 50.26
17      58631   220     0.00375 0.99625 58521   2898820 49.44
18      58411   221     0.00378 0.99622 58300   2840299 48.63
19      58190   218     0.00375 0.99625 58081   2781998 47.81
20      57972   217     0.00375 0.99625 57863   2723917 46.99
21      57755   214     0.00371 0.99629 57648   2666054 46.16
22      57541   215     0.00374 0.99626 57434   2608406 45.33
23      57326   219     0.00383 0.99617 57217   2550972 44.50
24      57107   227     0.00397 0.99603 56994   2493755 43.67
25      56880   240     0.00421 0.99579 56761   2436761 42.84
26      56640   250     0.00441 0.99559 56516   2380000 42.02
27      56390   259     0.00460 0.99540 56261   2323484 41.20
28      56131   269     0.00479 0.99521 55997   2267223 40.39
29      55862   279     0.00499 0.99501 55723   2211226 39.58
30      55583   289     0.00521 0.99479 55439   2155502 38.78
31      55294   299     0.00541 0.99459 55145   2100063 37.98
32      54995   308     0.00561 0.99439 54842   2044918 37.18
33      54687   317     0.00580 0.99420 54529   1990076 36.39
34      54370   325     0.00598 0.99402 54208   1935547 35.60
35      54045   332     0.00615 0.99385 53880   1881339 34.81
36      53713   340     0.00633 0.99367 53544   1827459 34.02
37      53373   347     0.00651 0.99349 53200   1773915 33.24
38      53026   354     0.00668 0.99332 52850   1720715 32.45
39      52672   360     0.00683 0.99317 52492   1667866 31.67
40      52312   364     0.00696 0.99304 52130   1615373 30.88
41      51948   371     0.00714 0.99286 51763   1563243 30.09
42      51577   380     0.00737 0.99263 51388   1511480 29.31
43      51197   390     0.00763 0.99237 51003   1460092 28.52
44      50807   402     0.00791 0.99209 50607   1409089 27.73
45      50405   415     0.00824 0.99176 50199   1358482 26.95
46      49990   429     0.00859 0.99141 49777   1308283 26.17
47      49561   445     0.00898 0.99102 49340   1258507 25.39
48      49116   461     0.00938 0.99062 48887   1209167 24.62
49      48655   477     0.00981 0.99019 48418   1160280 23.85
50      48178   493     0.01023 0.98977 47933   1111862 23.08
51      47685   514     0.01077 0.98923 47430   1063929 22.31
52      47171   539     0.01142 0.98858 46904   1016499 21.55
53      46632   566     0.01214 0.98786 46351   969595  20.79
54      46066   596     0.01294 0.98706 45771   923244  20.04
55      45470   628     0.01382 0.98618 45159   877474  19.30
56      44842   665     0.01483 0.98517 44513   832315  18.56
57      44177   706     0.01598 0.98402 43828   787802  17.83
58      43471   750     0.01725 0.98275 43100   743974  17.11
59      42721   795     0.01861 0.98139 42327   700875  16.41
60      41926   844     0.02014 0.97986 41508   658547  15.71
61      41082   898     0.02186 0.97814 40638   617039  15.02
62      40184   958     0.02384 0.97616 39710   576401  14.34
63      39226   1019    0.02597 0.97403 38721   536691  13.68
64      38207   1077    0.02819 0.97181 37673   497970  13.03
65      37130   1125    0.03031 0.96969 36573   460297  12.40
66      36005   1198    0.03326 0.96674 35413   423724  11.77
67      34807   1284    0.03688 0.96312 34173   388312  11.16
68      33523   1383    0.04126 0.95874 32840   354139  10.56
69      32140   1488    0.04629 0.95371 31406   321299  10.00
70      30652   1617    0.05277 0.94723 29853   289893  9.46
71      29035   1705    0.05872 0.94128 28189   260041  8.96
72      27330   1772    0.06484 0.93516 26449   231852  8.48
73      25558   1814    0.07097 0.92903 24654   205403  8.04
74      23744   1833    0.07721 0.92279 22828   180750  7.61
75      21911   1816    0.08286 0.91714 21002   157922  7.21
76      20095   1808    0.08999 0.91001 19190   136920  6.81
77      18287   1792    0.09797 0.90203 17389   117730  6.44
78      16495   1770    0.10732 0.89268 15608   100341  6.08
79      14725   1735    0.11786 0.88214 13855   84733   5.75
80      12990   1706    0.13131 0.86869 12132   70878   5.46
81      11284   1604    0.14213 0.85787 10472   58747   5.21
82      9680    1469    0.15180 0.84820 8934    48274   4.99
83      8211    1317    0.16036 0.83964 7540    39341   4.79
84      6894    1161    0.16841 0.83159 6300    31801   4.61
85      5733    1003    0.17487 0.82513 5219    25501   4.45
86      4730    861     0.18211 0.81789 4288    20282   4.29
87      3869    732     0.18910 0.81090 3493    15994   4.13
88      3137    615     0.19593 0.80407 2820    12501   3.98
89      2522    511     0.20267 0.79733 2258    9681    3.84
90      2011    421     0.20940 0.79060 1794    7422    3.69
91      1590    344     0.21623 0.78377 1412    5629    3.54
92      1246    278     0.22322 0.77678 1102    4217    3.38
93      968     223     0.23038 0.76962 852     3115    3.22
94      745     177     0.23737 0.76263 653     2262    3.04
95      568     139     0.24420 0.75580 496     1609    2.83
96      429     108     0.25093 0.74907 373     1114    2.60
97      321     83      0.25767 0.74233 278     741     2.31
98      238     63      0.26450 0.73550 205     463     1.95
99      175     48      0.27149 0.72851 150     258     1.48
100     127     35      0.27873 0.72127 109     109     0.85
