# Таблица построена модулем rtss.data.mortality.synthetic.RSFSR_1940 по данным в АДХ-Россия
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  25980   0.25980 0.74020 87010   3333314 33.33
1       74020   10416   0.14072 0.85928 68812   3246304 43.86
2       63604   3535    0.05558 0.94442 61837   3177492 49.96
3       60069   1467    0.02442 0.97558 59336   3115655 51.87
4       58602   778     0.01328 0.98672 58213   3056320 52.15
5       57824   493     0.00852 0.99148 57563   2998107 51.85
6       57331   425     0.00741 0.99259 57115   2940544 51.29
7       56906   412     0.00724 0.99276 56698   2883429 50.67
8       56494   365     0.00647 0.99353 56307   2826731 50.04
9       56129   301     0.00536 0.99464 55973   2770424 49.36
10      55828   233     0.00418 0.99582 55706   2714451 48.62
11      55595   176     0.00316 0.99684 55503   2658745 47.82
12      55419   142     0.00256 0.99744 55347   2603242 46.97
13      55277   142     0.00256 0.99744 55207   2547895 46.09
14      55135   168     0.00304 0.99696 55054   2492688 45.21
15      54967   204     0.00371 0.99629 54868   2437635 44.35
16      54763   237     0.00432 0.99568 54647   2382767 43.51
17      54526   253     0.00464 0.99536 54400   2328120 42.70
18      54273   254     0.00468 0.99532 54146   2273720 41.89
19      54019   251     0.00465 0.99535 53893   2219574 41.09
20      53768   247     0.00460 0.99540 53644   2165681 40.28
21      53521   245     0.00457 0.99543 53398   2112037 39.46
22      53276   246     0.00461 0.99539 53153   2058638 38.64
23      53030   252     0.00475 0.99525 52905   2005485 37.82
24      52778   262     0.00496 0.99504 52648   1952580 37.00
25      52516   274     0.00521 0.99479 52380   1899932 36.18
26      52242   285     0.00546 0.99454 52100   1847552 35.37
27      51957   295     0.00567 0.99433 51810   1795452 34.56
28      51662   300     0.00580 0.99420 51512   1743642 33.75
29      51362   301     0.00586 0.99414 51212   1692130 32.95
30      51061   302     0.00591 0.99409 50910   1640918 32.14
31      50759   306     0.00602 0.99398 50607   1590008 31.32
32      50453   315     0.00624 0.99376 50297   1539401 30.51
33      50138   338     0.00675 0.99325 49972   1489105 29.70
34      49800   377     0.00757 0.99243 49615   1439133 28.90
35      49423   423     0.00855 0.99145 49215   1389518 28.11
36      49000   467     0.00954 0.99046 48770   1340303 27.35
37      48533   503     0.01037 0.98963 48284   1291533 26.61
38      48030   528     0.01100 0.98900 47768   1243249 25.88
39      47502   548     0.01154 0.98846 47230   1195481 25.17
40      46954   566     0.01206 0.98794 46673   1148251 24.45
41      46388   586     0.01264 0.98736 46097   1101579 23.75
42      45802   612     0.01335 0.98665 45498   1055482 23.04
43      45190   643     0.01422 0.98578 44871   1009983 22.35
44      44547   678     0.01522 0.98478 44211   965112  21.67
45      43869   715     0.01630 0.98370 43515   920901  20.99
46      43154   752     0.01742 0.98258 42781   877387  20.33
47      42402   786     0.01853 0.98147 42012   834606  19.68
48      41616   816     0.01960 0.98040 41210   792594  19.05
49      40800   842     0.02064 0.97936 40381   751384  18.42
50      39958   868     0.02173 0.97827 39526   711002  17.79
51      39090   897     0.02294 0.97706 38644   671476  17.18
52      38193   929     0.02432 0.97568 37732   632832  16.57
53      37264   969     0.02601 0.97399 36783   595101  15.97
54      36295   1016    0.02799 0.97201 35791   558318  15.38
55      35279   1063    0.03014 0.96986 34751   522527  14.81
56      34216   1106    0.03233 0.96767 33666   487775  14.26
57      33110   1140    0.03443 0.96557 32542   454109  13.72
58      31970   1163    0.03637 0.96363 31390   421567  13.19
59      30807   1177    0.03822 0.96178 30220   390177  12.67
60      29630   1188    0.04011 0.95989 29037   359957  12.15
61      28442   1199    0.04216 0.95784 27844   330920  11.63
62      27243   1212    0.04450 0.95550 26638   303077  11.12
63      26031   1227    0.04715 0.95285 25419   276439  10.62
64      24804   1242    0.05008 0.94992 24184   251020  10.12
65      23562   1257    0.05337 0.94663 22935   226836  9.63
66      22305   1273    0.05709 0.94291 21670   203901  9.14
67      21032   1290    0.06133 0.93867 20389   182231  8.66
68      19742   1315    0.06661 0.93339 19087   161842  8.20
69      18427   1347    0.07311 0.92689 17756   142755  7.75
70      17080   1372    0.08035 0.91965 16395   124999  7.32
71      15708   1380    0.08786 0.91214 15018   108604  6.91
72      14328   1363    0.09510 0.90490 13643   93586   6.53
73      12965   1305    0.10066 0.89934 12307   79943   6.17
74      11660   1219    0.10452 0.89548 11043   67637   5.80
75      10441   1132    0.10844 0.89156 9869    56593   5.42
76      9309    1063    0.11423 0.88577 8773    46725   5.02
77      8246    1022    0.12399 0.87601 7734    37952   4.60
78      7224    1046    0.14475 0.85525 6704    30218   4.18
79      6178    1094    0.17709 0.82291 5632    23514   3.81
80      5084    1080    0.21247 0.78753 4539    17881   3.52
81      4004    969     0.24197 0.75803 3507    13342   3.33
82      3035    781     0.25718 0.74282 2629    9835    3.24
83      2254    590     0.26193 0.73807 1945    7207    3.20
84      1664    442     0.26545 0.73455 1432    5262    3.16
85      1222    328     0.26827 0.73173 1050    3830    3.13
86      894     242     0.27047 0.72953 767     2780    3.11
87      652     177     0.27213 0.72787 559     2013    3.09
88      475     130     0.27334 0.72666 407     1454    3.06
89      345     95      0.27419 0.72581 295     1048    3.04
90      250     69      0.27474 0.72526 214     753     3.01
91      181     50      0.27509 0.72491 155     539     2.98
92      131     36      0.27531 0.72469 112     385     2.94
93      95      26      0.27549 0.72451 81      273     2.87
94      69      19      0.27572 0.72428 59      191     2.77
95      50      14      0.27606 0.72394 43      132     2.65
96      36      10      0.27661 0.72339 31      90      2.49
97      26      7       0.27746 0.72254 22      59      2.27
98      19      5       0.27867 0.72133 16      37      1.93
99      14      4       0.28033 0.71967 12      20      1.45
100     10      3       0.28253 0.71747 8       8       0.84
