# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  18985   0.18985 0.81015 90508   4305222 43.05
1       81015   6045    0.07461 0.92539 77993   4214715 52.02
2       74970   2463    0.03285 0.96715 73739   4136722 55.18
3       72507   1215    0.01676 0.98324 71900   4062984 56.04
4       71292   705     0.00989 0.99011 70940   3991084 55.98
5       70587   468     0.00663 0.99337 70338   3920145 55.54
6       70119   344     0.00491 0.99509 69939   3849807 54.90
7       69775   274     0.00393 0.99607 69633   3779868 54.17
8       69501   232     0.00334 0.99666 69382   3710235 53.38
9       69269   206     0.00297 0.99703 69164   3640853 52.56
10      69063   189     0.00274 0.99726 68967   3571688 51.72
11      68874   181     0.00262 0.99738 68783   3502721 50.86
12      68693   177     0.00258 0.99742 68604   3433938 49.99
13      68516   178     0.00260 0.99740 68427   3365333 49.12
14      68338   183     0.00268 0.99732 68247   3296906 48.24
15      68155   191     0.00280 0.99720 68060   3228659 47.37
16      67964   203     0.00299 0.99701 67864   3160599 46.50
17      67761   219     0.00323 0.99677 67653   3092735 45.64
18      67542   238     0.00352 0.99648 67425   3025082 44.79
19      67304   260     0.00387 0.99613 67176   2957658 43.94
20      67044   275     0.00411 0.99589 66908   2890482 43.11
21      66769   297     0.00445 0.99555 66622   2823574 42.29
22      66472   315     0.00474 0.99526 66316   2756952 41.48
23      66157   329     0.00498 0.99502 65994   2690636 40.67
24      65828   339     0.00514 0.99486 65659   2624642 39.87
25      65489   339     0.00517 0.99483 65320   2558984 39.08
26      65150   343     0.00527 0.99473 64979   2493664 38.28
27      64807   348     0.00538 0.99462 64634   2428685 37.48
28      64459   356     0.00552 0.99448 64282   2364051 36.68
29      64103   366     0.00571 0.99429 63921   2299770 35.88
30      63737   377     0.00592 0.99408 63550   2235849 35.08
31      63360   390     0.00615 0.99385 63166   2172299 34.29
32      62970   401     0.00637 0.99363 62770   2109133 33.49
33      62569   412     0.00658 0.99342 62364   2046363 32.71
34      62157   422     0.00678 0.99322 61947   1983999 31.92
35      61735   431     0.00698 0.99302 61520   1922052 31.13
36      61304   444     0.00724 0.99276 61083   1860532 30.35
37      60860   461     0.00757 0.99243 60631   1799449 29.57
38      60399   484     0.00801 0.99199 60159   1738817 28.79
39      59915   513     0.00856 0.99144 59661   1678658 28.02
40      59402   538     0.00906 0.99094 59136   1618997 27.25
41      58864   575     0.00977 0.99023 58580   1559862 26.50
42      58289   613     0.01052 0.98948 57986   1501282 25.76
43      57676   651     0.01128 0.98872 57354   1443297 25.02
44      57025   685     0.01201 0.98799 56684   1385943 24.30
45      56340   698     0.01240 0.98760 55993   1329259 23.59
46      55642   727     0.01306 0.98694 55281   1273266 22.88
47      54915   754     0.01373 0.98627 54540   1217985 22.18
48      54161   781     0.01441 0.98559 53773   1163445 21.48
49      53380   808     0.01513 0.98487 52979   1109672 20.79
50      52572   860     0.01635 0.98365 52145   1056693 20.10
51      51712   891     0.01723 0.98277 51269   1004547 19.43
52      50821   925     0.01820 0.98180 50361   953278  18.76
53      49896   961     0.01927 0.98073 49419   902917  18.10
