# Таблица построена по данным АДХ-РСФСР модулем rtss.data.mortality.synthetic.MortalityTableADH
# Возраст в годах, Числа доживающих до возраста х лет, Числа умирающих при переходе от возраста x к возрасту х+1 лет, Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lx, dx, qx, px, Lx, Tx, ex

0       100000  10480   0.10480 0.89520 94760   5520240 55.20
1       89520   2254    0.02518 0.97482 88393   5425480 60.61
2       87266   733     0.00840 0.99160 86900   5337087 61.16
3       86533   353     0.00408 0.99592 86357   5250187 60.67
4       86180   237     0.00275 0.99725 86062   5163831 59.92
5       85943   201     0.00233 0.99767 85841   5077769 59.08
6       85742   189     0.00221 0.99779 85647   4991929 58.22
7       85553   183     0.00214 0.99786 85461   4906282 57.35
8       85370   172     0.00201 0.99799 85283   4820821 56.47
9       85198   154     0.00181 0.99819 85119   4735538 55.58
10      85044   134     0.00158 0.99842 84976   4650419 54.68
11      84910   119     0.00141 0.99859 84850   4565443 53.77
12      84791   111     0.00131 0.99869 84735   4480594 52.84
13      84680   111     0.00131 0.99869 84625   4395859 51.91
14      84569   118     0.00139 0.99861 84511   4311234 50.98
15      84451   132     0.00156 0.99844 84386   4226723 50.05
16      84319   152     0.00180 0.99820 84245   4142337 49.13
17      84167   175     0.00208 0.99792 84082   4058092 48.21
18      83992   200     0.00238 0.99762 83894   3974010 47.31
19      83792   224     0.00267 0.99733 83682   3890116 46.43
20      83568   244     0.00292 0.99708 83448   3806435 45.55
21      83324   262     0.00314 0.99686 83194   3722987 44.68
22      83062   276     0.00332 0.99668 82925   3639793 43.82
23      82786   288     0.00348 0.99652 82643   3556868 42.96
24      82498   299     0.00363 0.99637 82349   3474225 42.11
25      82199   309     0.00376 0.99624 82045   3391875 41.26
26      81890   318     0.00388 0.99612 81732   3309830 40.42
27      81572   326     0.00400 0.99600 81410   3228098 39.57
28      81246   335     0.00412 0.99588 81079   3146689 38.73
29      80911   343     0.00424 0.99576 80740   3065609 37.89
30      80568   351     0.00436 0.99564 80393   2984869 37.05
31      80217   359     0.00447 0.99553 80038   2904476 36.21
32      79858   367     0.00459 0.99541 79675   2824438 35.37
33      79491   375     0.00472 0.99528 79304   2744763 34.53
34      79116   384     0.00486 0.99514 78925   2665458 33.69
35      78732   396     0.00503 0.99497 78535   2586534 32.85
36      78336   411     0.00525 0.99475 78132   2507998 32.02
37      77925   431     0.00553 0.99447 77711   2429866 31.18
38      77494   456     0.00589 0.99411 77268   2352155 30.35
39      77038   486     0.00631 0.99369 76798   2274887 29.53
40      76552   519     0.00678 0.99322 76295   2198089 28.71
41      76033   552     0.00727 0.99273 75760   2121794 27.91
42      75481   583     0.00773 0.99227 75192   2046034 27.11
43      74898   611     0.00816 0.99184 74595   1970842 26.31
44      74287   636     0.00857 0.99143 73971   1896248 25.53
45      73651   663     0.00901 0.99099 73322   1822276 24.74
46      72988   699     0.00957 0.99043 72642   1748954 23.96
47      72289   748     0.01034 0.98966 71920   1676312 23.19
48      71541   814     0.01138 0.98862 71140   1604392 22.43
49      70727   898     0.01270 0.98730 70286   1533252 21.68
50      69829   997     0.01427 0.98573 69339   1462967 20.95
51      68832   1095    0.01591 0.98409 68292   1393628 20.25
52      67737   1181    0.01744 0.98256 67153   1325336 19.57
53      66556   1245    0.01871 0.98129 65938   1258183 18.90
54      65311   1285    0.01967 0.98033 64671   1192245 18.25
55      64026   1308    0.02043 0.97957 63374   1127574 17.61
56      62718   1333    0.02126 0.97874 62054   1064200 16.97
57      61385   1373    0.02237 0.97763 60703   1002146 16.33
58      60012   1436    0.02393 0.97607 59300   941443  15.69
59      58576   1523    0.02601 0.97399 57823   882143  15.06
60      57053   1630    0.02857 0.97143 56247   824320  14.45
61      55423   1739    0.03138 0.96862 54562   768073  13.86
62      53684   1835    0.03418 0.96582 52774   713511  13.29
63      51849   1907    0.03678 0.96322 50900   660738  12.74
64      49942   1953    0.03910 0.96090 48969   609837  12.21
65      47989   1980    0.04126 0.95874 47001   560869  11.69
66      46009   2006    0.04360 0.95640 45009   513867  11.17
67      44003   2043    0.04642 0.95358 42985   468859  10.66
68      41960   2096    0.04995 0.95005 40917   425874  10.15
69      39864   2164    0.05428 0.94572 38788   384957  9.66
70      37700   2237    0.05935 0.94065 36587   346169  9.18
71      35463   2296    0.06475 0.93525 34319   309582  8.73
72      33167   2326    0.07013 0.92987 32005   275263  8.30
73      30841   2320    0.07524 0.92476 29679   243258  7.89
74      28521   2283    0.08004 0.91996 27376   213579  7.49
75      26238   2226    0.08484 0.91516 25120   186203  7.10
76      24012   2169    0.09034 0.90966 22923   161083  6.71
77      21843   2123    0.09719 0.90281 20778   138160  6.33
78      19720   2088    0.10589 0.89411 18673   117382  5.95
79      17632   2058    0.11673 0.88327 16600   98708   5.60
80      15574   2018    0.12960 0.87040 14560   82108   5.27
81      13556   1948    0.14368 0.85632 12574   67548   4.98
82      11608   1834    0.15798 0.84202 10680   54973   4.74
83      9774    1676    0.17148 0.82852 8921    44294   4.53
84      8098    1484    0.18329 0.81671 7339    35372   4.37
85      6614    1276    0.19288 0.80712 5959    28033   4.24
86      5338    1069    0.20036 0.79964 4787    22074   4.14
87      4269    879     0.20590 0.79410 3815    17287   4.05
88      3390    711     0.20981 0.79019 3022    13473   3.97
89      2679    569     0.21239 0.78761 2384    10451   3.90
90      2110    452     0.21400 0.78600 1875    8068    3.82
91      1658    356     0.21496 0.78504 1473    6192    3.73
92      1302    281     0.21558 0.78442 1156    4720    3.62
93      1021    221     0.21613 0.78387 906     3564    3.49
94      800     173     0.21686 0.78314 710     2658    3.32
95      627     137     0.21796 0.78204 556     1948    3.11
96      490     108     0.21961 0.78039 434     1392    2.84
97      382     85      0.22196 0.77804 338     958     2.51
98      297     67      0.22509 0.77491 262     620     2.09
99      230     53      0.22910 0.77090 202     358     1.56
100     177     41      0.23403 0.76597 156     156     0.88
