# Возраст в годах, Числа доживающих до возраста х лет , Числа умирающих при переходе от возраста x к возрасту х+1 лет , Вероятность умереть в течение предстоящего года жизни, Вероятность дожить до возраста х+1 лет, Числа живущих в возрасте х лет, Числа прожитых человеколет, Средняя продолжительность предстоящей жизни
# x, lх, dх, qх, pх, Lх, Tх, eх

0       100000  4328    0.04328 0.95672 97044   6783850 67.84
1       95672   775     0.00810 0.99190 95155   6686806 69.89
2       94897   344     0.00363 0.99637 94661   6591651 69.46
3       94553   218     0.00231 0.99769 94406   6496990 68.71
4       94335   170     0.00180 0.99820 94221   6402584 67.87
5       94165   154     0.00164 0.99836 94086   6308363 66.99
6       94011   133     0.00142 0.99858 93943   6214277 66.10
7       93878   116     0.00124 0.99876 93819   6120334 65.19
8       93762   106     0.00113 0.99887 93708   6026515 64.27
9       93656   96      0.00103 0.99897 93607   5932807 63.35
10      93560   90      0.00096 0.99904 93515   5839200 62.41
11      93470   86      0.00092 0.99908 93427   5745685 61.47
12      93384   87      0.00093 0.99907 93341   5652258 60.53
13      93297   89      0.00095 0.99905 93253   5558917 59.58
14      93208   95      0.00102 0.99898 93162   5465664 58.64
15      93113   107     0.00115 0.99885 93061   5372502 57.70
16      93006   126     0.00135 0.99865 92944   5279441 56.76
17      92880   139     0.00150 0.99850 92812   5186497 55.84
18      92741   154     0.00166 0.99834 92665   5093685 54.92
19      92587   167     0.00180 0.99820 92505   5001020 54.01
20      92420   172     0.00186 0.99814 92334   4908515 53.11
21      92248   178     0.00193 0.99807 92160   4816181 52.21
22      92070   184     0.00200 0.99800 91979   4724021 51.31
23      91886   196     0.00213 0.99787 91789   4632042 50.41
24      91690   207     0.00226 0.99774 91588   4540253 49.52
25      91483   216     0.00236 0.99764 91376   4448665 48.63
26      91267   222     0.00243 0.99757 91157   4357289 47.74
27      91045   228     0.00250 0.99750 90932   4266132 46.86
28      90817   234     0.00258 0.99742 90701   4175200 45.97
29      90583   242     0.00267 0.99733 90463   4084499 45.09
30      90341   249     0.00276 0.99724 90218   3994036 44.21
31      90092   256     0.00284 0.99716 89964   3903818 43.33
32      89836   260     0.00289 0.99711 89706   3813854 42.45
33      89576   261     0.00291 0.99709 89446   3724148 41.58
34      89315   271     0.00303 0.99697 89181   3634702 40.70
35      89044   294     0.00330 0.99670 88899   3545521 39.82
36      88750   316     0.00356 0.99644 88594   3456622 38.95
37      88434   330     0.00373 0.99627 88270   3368028 38.09
38      88104   336     0.00381 0.99619 87937   3279758 37.23
39      87768   342     0.00390 0.99610 87598   3191821 36.37
40      87426   354     0.00405 0.99595 87250   3104223 35.51
41      87072   367     0.00422 0.99578 86890   3016973 34.65
42      86705   385     0.00444 0.99556 86515   2930083 33.79
43      86320   405     0.00469 0.99531 86120   2843568 32.94
44      85915   427     0.00497 0.99503 85704   2757448 32.10
45      85488   446     0.00522 0.99478 85266   2671744 31.25
46      85042   460     0.00541 0.99459 84814   2586478 30.41
47      84582   484     0.00572 0.99428 84342   2501664 29.58
48      84098   511     0.00608 0.99392 83845   2417322 28.74
49      83587   541     0.00647 0.99353 83320   2333477 27.92
50      83046   572     0.00689 0.99311 82763   2250157 27.10
51      82474   605     0.00733 0.99267 82175   2167394 26.28
52      81869   643     0.00785 0.99215 81551   2085219 25.47
53      81226   685     0.00843 0.99157 80888   2003668 24.67
54      80541   731     0.00907 0.99093 80180   1922780 23.87
55      79810   781     0.00978 0.99022 79424   1842600 23.09
56      79029   833     0.01054 0.98946 78618   1763176 22.31
57      78196   889     0.01137 0.98863 77757   1684558 21.54
58      77307   949     0.01228 0.98772 76838   1606801 20.78
59      76358   1014    0.01328 0.98672 75856   1529963 20.04
60      75344   1080    0.01434 0.98566 74810   1454107 19.30
61      74264   1149    0.01547 0.98453 73696   1379297 18.57
62      73115   1224    0.01674 0.98326 72509   1305601 17.86
63      71891   1304    0.01814 0.98186 71246   1233092 17.15
64      70587   1389    0.01968 0.98032 69901   1161846 16.46
65      69198   1488    0.02150 0.97850 68463   1091945 15.78
66      67710   1597    0.02358 0.97642 66921   1023482 15.12
67      66113   1704    0.02577 0.97423 65270   956561  14.47
68      64409   1810    0.02810 0.97190 63513   891291  13.84
69      62599   1915    0.03059 0.96941 61651   827778  13.22
70      60684   2023    0.03334 0.96666 59682   766127  12.62
71      58661   2135    0.03640 0.96360 57603   706445  12.04
72      56526   2245    0.03972 0.96028 55413   648842  11.48
73      54281   2350    0.04330 0.95670 53115   593429  10.93
74      51931   2452    0.04722 0.95278 50713   540314  10.40
75      49479   2546    0.05146 0.94854 48214   489601  9.90
76      46933   2633    0.05611 0.94389 45624   441387  9.40
77      44300   2710    0.06117 0.93883 42951   395763  8.93
78      41590   2775    0.06673 0.93327 40208   352812  8.48
79      38815   2825    0.07277 0.92723 37411   312604  8.05
80      35990   2851    0.07922 0.92078 34566   275193  7.65
81      33139   2852    0.08605 0.91395 31712   240627  7.26
82      30287   2824    0.09325 0.90675 28871   208915  6.90
83      27463   2767    0.10074 0.89926 26074   180044  6.56
84      24696   2678    0.10845 0.89155 23348   153970  6.23
85      22018   2562    0.11637 0.88363 20726   130622  5.93
86      19456   2420    0.12436 0.87564 18233   109896  5.65
87      17036   2256    0.13240 0.86760 15894   91663   5.38
88      14780   2080    0.14072 0.85928 13725   75769   5.13
89      12700   1897    0.14937 0.85063 11737   62044   4.89
90      10803   1711    0.15836 0.84164 9932    50307   4.66
91      9092    1523    0.16752 0.83248 8315    40375   4.44
92      7569    1338    0.17681 0.82319 6885    32060   4.24
93      6231    1161    0.18631 0.81369 5637    25175   4.04
94      5070    994     0.19601 0.80399 4560    19538   3.85
95      4076    839     0.20587 0.79413 3645    14978   3.67
96      3237    700     0.21626 0.78374 2876    11333   3.50
97      2537    576     0.22717 0.77283 2239    8457    3.33
98      1961    469     0.23899 0.76101 1719    6218    3.17
99      1492    375     0.25142 0.74858 1298    4499    3.02
100     1117    295     0.26406 0.73594 964     3201    2.87

